# 
{"kP":"0.5","kD":"0","kI":"0","density":"997","profile":["dive: 2, 0.3, 30.00, 100.00"]}

dive: 2, 0.3, 30.00, 100.00
EX20, 00:09:27, 0.00, -0.12
EX20, 00:09:27, 0.00, -0.11
EX20, 00:09:27, 0.00, -0.11
EX20, 00:09:27, 0.00, -0.11
EX20, 00:09:27, 0.00, -0.11
EX20, 00:09:27, 0.00, -0.11
EX20, 00:09:27, 0.00, -0.11
EX20, 00:09:28, 0.01, -0.11
EX20, 00:09:28, 0.01, -0.11
EX20, 00:09:28, 0.01, -0.11
EX20, 00:09:28, 0.01, -0.11
EX20, 00:09:28, 0.01, -0.11
EX20, 00:09:28, 0.01, -0.11
EX20, 00:09:28, 0.01, -0.11
EX20, 00:09:29, 0.01, -0.11
EX20, 00:09:29, 0.01, -0.11
EX20, 00:09:29, 0.01, -0.11
EX20, 00:09:29, 0.01, -0.11
EX20, 00:09:29, 0.01, -0.11
EX20, 00:09:29, 0.00, -0.11
EX20, 00:09:29, 0.00, -0.11
EX20, 00:09:29, 0.00, -0.11
EX20, 00:09:30, 0.00, -0.11
EX20, 00:09:30, 0.00, -0.11
EX20, 00:09:30, 0.00, -0.11
EX20, 00:09:30, 0.01, -0.11
EX20, 00:09:30, 0.01, -0.11
EX20, 00:09:30, 0.01, -0.11
EX20, 00:09:30, 0.01, -0.11
EX20, 00:09:30, 0.01, -0.11
EX20, 00:09:31, 0.01, -0.11
EX20, 00:09:31, 0.01, -0.11
EX20, 00:09:31, 0.01, -0.11
EX20, 00:09:31, 0.01, -0.11
EX20, 00:09:31, 0.01, -0.11

EX20, 00:09:31, 0.01, -0.11
EX20, 00:09:31, 0.01, -0.11
EX20, 00:09:31, 0.00, -0.11
EX20, 00:09:32, 0.00, -0.11
EX20, 00:09:32, 0.00, -0.11
EX20, 00:09:32, 0.00, -0.11
EX20, 00:09:32, 0.00, -0.11
EX20, 00:09:32, 0.00, -0.11
EX20, 00:09:32, 0.00, -0.11
EX20, 00:09:32, 0.00, -0.11
EX20, 00:09:32, 0.00, -0.11
EX20, 00:09:33, 0.00, -0.11
EX20, 00:09:33, 0.00, -0.11
EX20, 00:09:33, 0.00, -0.11
EX20, 00:09:33, 0.00, -0.11
EX20, 00:09:33, 0.00, -0.11
EX20, 00:09:33, 0.00, -0.11
EX20, 00:09:33, 0.00, -0.11
EX20, 00:09:33, 0.00, -0.11
EX20, 00:09:34, 0.00, -0.11
EX20, 00:09:34, 0.01, -0.11
EX20, 00:09:34, 0.01, -0.11
EX20, 00:09:34, 0.01, -0.11
EX20, 00:09:34, 0.01, -0.11
EX20, 00:09:34, 0.01, -0.11
EX20, 00:09:34, 0.01, -0.11
EX20, 00:09:35, 0.01, -0.11
EX20, 00:09:35, 0.01, -0.11
EX20, 00:09:35, 0.01, -0.11
EX20, 00:09:35, 0.01, -0.11
EX20, 00:09:35, 0.01, -0.11
EX20, 00:09:35, 0.01, -0.11
EX20, 00:09:35, 0.00, -0.11
EX20, 00:09:35, 0.00, -0.11
EX20, 00:09:36, 0.00, -0.11

EX20, 00:09:36, 0.00, -0.11
EX20, 00:09:36, 0.00, -0.11
EX20, 00:09:36, 0.00, -0.11
EX20, 00:09:36, 0.00, -0.11
EX20, 00:09:36, 0.00, -0.11
EX20, 00:09:36, 0.00, -0.11
EX20, 00:09:36, 0.00, -0.11
EX20, 00:09:37, 0.00, -0.11
EX20, 00:09:37, 0.00, -0.11
EX20, 00:09:37, 0.01, -0.11
EX20, 00:09:37, 0.01, -0.11
EX20, 00:09:37, 0.01, -0.11
EX20, 00:09:37, 0.01, -0.11
EX20, 00:09:37, 0.01, -0.11
EX20, 00:09:37, 0.01, -0.11
EX20, 00:09:38, 0.00, -0.11
EX20, 00:09:38, 0.00, -0.11
EX20, 00:09:38, 0.00, -0.11
EX20, 00:09:38, 0.00, -0.11
EX20, 00:09:38, 0.00, -0.11
EX20, 00:09:38, 0.00, -0.11
EX20, 00:09:38, 0.00, -0.11
EX20, 00:09:38, 0.00, -0.11
EX20, 00:09:39, 0.00, -0.11
EX20, 00:09:39, 0.00, -0.11
EX20, 00:09:39, 0.00, -0.11
EX20, 00:09:39, 0.00, -0.11
EX20, 00:09:39, 0.00, -0.11
