# 
{"kP":"10","kD":"0","kI":"0","density":"997","profile":["led: 25, 25, 100","dive: 5.0, 0.30, 30.00, 500.00"]}

led: 25, 25, 100
EX20, 00:02:29, 100.53, -0.08


# dive: 5.0, 0.30, 30.00, 500.00
EX20, 00:02:29, 100.53, -0.08
EX20, 00:02:29, 100.53, -0.08
EX20, 00:02:29, 100.54, -0.08
EX20, 00:02:29, 100.54, -0.08
EX20, 00:02:29, 100.54, -0.08
EX20, 00:02:30, 100.54, -0.08
EX20, 00:02:30, 100.54, -0.08
EX20, 00:02:30, 100.55, -0.08
EX20, 00:02:30, 100.54, -0.08
EX20, 00:02:30, 100.54, -0.08
EX20, 00:02:30, 100.54, -0.08
EX20, 00:02:30, 100.55, -0.08
EX20, 00:02:31, 100.54, -0.08
EX20, 00:02:31, 100.55, -0.08
EX20, 00:02:31, 100.55, -0.08
EX20, 00:02:31, 100.55, -0.08
EX20, 00:02:31, 100.54, -0.08
EX20, 00:02:31, 100.54, -0.08
EX20, 00:02:31, 100.55, -0.08
EX20, 00:02:31, 100.55, -0.08
EX20, 00:02:32, 100.54, -0.08
EX20, 00:02:32, 100.55, -0.08
EX20, 00:02:32, 100.55, -0.08
EX20, 00:02:32, 100.54, -0.08
EX20, 00:02:32, 100.55, -0.08
EX20, 00:02:32, 100.55, -0.08
EX20, 00:02:32, 100.55, -0.08
EX20, 00:02:32, 100.55, -0.08
EX20, 00:02:33, 100.55, -0.08
EX20, 00:02:33, 100.55, -0.08
EX20, 00:02:33, 100.54, -0.08
EX20, 00:02:33, 100.55, -0.08
EX20, 00:02:33, 100.55, -0.08

EX20, 00:02:33, 100.55, -0.08
EX20, 00:02:33, 100.55, -0.08
EX20, 00:02:33, 100.55, -0.08
EX20, 00:02:34, 100.55, -0.08
EX20, 00:02:34, 100.54, -0.08
EX20, 00:02:34, 100.55, -0.08
EX20, 00:02:34, 100.55, -0.08
EX20, 00:02:34, 100.55, -0.08
EX20, 00:02:34, 100.55, -0.08
EX20, 00:02:34, 100.54, -0.08
EX20, 00:02:34, 100.54, -0.08
EX20, 00:02:35, 100.55, -0.08
EX20, 00:02:35, 100.55, -0.08
EX20, 00:02:35, 100.55, -0.08
EX20, 00:02:35, 100.55, -0.08
EX20, 00:02:35, 100.55, -0.08
EX20, 00:02:35, 100.55, -0.08
EX20, 00:02:35, 100.55, -0.08
EX20, 00:02:35, 100.55, -0.08
