# 
{"kP":"0.1","kD":"0","kI":"0","density":"997","profile":["dive: 2.0, 0.30, 30.00, 400.00"]}

dive: 2.0, 0.30, 30.00, 400.00
EX20, 00:03:42, 125.63, 2.49
EX20, 00:03:42, 125.91, 2.52
EX20, 00:03:42, 126.20, 2.55
EX20, 00:03:42, 126.48, 2.58
EX20, 00:03:42, 126.76, 2.60
EX20, 00:03:42, 127.05, 2.63
EX20, 00:03:42, 127.34, 2.66
EX20, 00:03:42, 127.62, 2.69
EX20, 00:03:43, 127.91, 2.72
EX20, 00:03:43, 128.19, 2.75
EX20, 00:03:43, 128.48, 2.78
EX20, 00:03:43, 128.77, 2.81
EX20, 00:03:43, 129.05, 2.84
EX20, 00:03:43, 129.34, 2.87
EX20, 00:03:43, 129.63, 2.90
EX20, 00:03:43, 129.91, 2.93
EX20, 00:03:44, 130.20, 2.96
EX20, 00:03:44, 130.48, 2.98
EX20, 00:03:44, 130.76, 3.01
EX20, 00:03:44, 131.04, 3.04
EX20, 00:03:44, 131.33, 3.07

EX20, 00:03:44, 131.59, 3.10
EX20, 00:03:44, 131.87, 3.13
EX20, 00:03:44, 132.16, 3.16
EX20, 00:03:45, 132.45, 3.19
EX20, 00:03:45, 132.73, 3.21
EX20, 00:03:45, 133.01, 3.24
EX20, 00:03:45, 133.30, 3.27
EX20, 00:03:45, 133.58, 3.30
EX20, 00:03:45, 133.86, 3.33
EX20, 00:03:45, 134.16, 3.36
EX20, 00:03:45, 134.21, 3.37
EX20, 00:03:46, 134.18, 3.36
EX20, 00:03:46, 134.19, 3.36
EX20, 00:03:46, 134.21, 3.37
EX20, 00:03:46, 134.25, 3.37
EX20, 00:03:46, 134.28, 3.37
EX20, 00:03:46, 134.27, 3.37
EX20, 00:03:46, 134.24, 3.37
EX20, 00:03:46, 134.22, 3.37
EX20, 00:03:47, 134.22, 3.37
EX20, 00:03:47, 134.27, 3.37
EX20, 00:03:47, 134.22, 3.37
EX20, 00:03:47, 134.21, 3.37
