# 
"{""kP"":""0.1""","kD:""0""","kI:""0""","density:""997""","profile:[""dive: 2",0.3,30," 500.00""","dive: 0.4, 0.3, 30.00, 500.00","dive: 2, 0.3, 30.00, 500.00","dive: 0.4, 0.3, 30.00, 500.00]}"

dive: 2,0.3,500
EX20, 00:23:52,0.29 
EX20, 00:23:52,0.3 
EX20, 00:23:52,0.31 
EX20, 00:23:53,0.32 
EX20, 00:23:53,0.33 
EX20, 00:23:53,0.33 
EX20, 00:23:53,0.34 
EX20, 00:23:53,0.35 
EX20, 00:23:53,0.36 
EX20, 00:23:53,0.37 
EX20, 00:23:54,0.37 
EX20, 00:23:54,0.38 
EX20, 00:23:54,0.39 
EX20, 00:23:54,0.39 
EX20, 00:23:54,0.4 
EX20, 00:23:54,0.41 
EX20, 00:23:54,0.41 
EX20, 00:23:54,0.42 
EX20, 00:23:55,0.43 
EX20, 00:23:55,0.43 
EX20, 00:23:55,0.44 
EX20, 00:23:55,0.45 
EX20, 00:23:55,0.45 
EX20, 00:23:55,0.46 
EX20, 00:23:55,0.46 
EX20, 00:23:55,0.47 
EX20, 00:23:56,0.47 
EX20, 00:23:56,0.48 
EX20, 00:23:56,0.48 
EX20, 00:23:56,0.49 
EX20, 00:23:56,0.49 
 ,,
EX20, 00:23:56,0.5 
EX20, 00:23:56,0.5 
EX20, 00:23:56,0.51 
EX20, 00:23:57,0.51 
EX20, 00:23:57,0.51 
EX20, 00:23:57,0.52 
EX20, 00:23:57,0.52 
EX20, 00:23:57,0.53 
EX20, 00:23:57,0.53 
EX20, 00:23:57,0.53 
EX20, 00:23:57,0.54 
EX20, 00:23:58,0.54 
EX20, 00:23:58,0.55 
EX20, 00:23:58,0.55 
EX20, 00:23:58,0.55 
EX20, 00:23:58,0.56 
EX20, 00:23:58,0.56 
EX20, 00:23:58,0.57 
EX20, 00:23:58,0.57 
EX20, 00:23:59,0.57 
EX20, 00:23:59,0.58 
EX20, 00:23:59,0.58 
EX20, 00:23:59,0.59 
EX20, 00:23:59,0.59 
EX20, 00:23:59,0.59 
EX20, 00:23:59,0.6 
EX20, 00:23:59,0.6 
EX20, 00:24:00,0.61 
EX20, 00:24:00,0.61 
EX20, 00:24:00,0.62 
EX20, 00:24:00,0.62 
EX20, 00:24:00,0.63 
EX20, 00:24:00,0.63 
EX20, 00:24:00,0.64 
EX20, 00:24:01,0.64 
EX20, 00:24:01,0.65 
EX20, 00:24:01,0.65 
 ,,
EX20, 00:24:01,0.65 
EX20, 00:24:01,0.66 
EX20, 00:24:01,0.67 
EX20, 00:24:01,0.67 
EX20, 00:24:01,0.68 
EX20, 00:24:01,0.68 
EX20, 00:24:02,0.69 
EX20, 00:24:02,0.69 
EX20, 00:24:02,0.7 
EX20, 00:24:02,0.7 
EX20, 00:24:02,0.71 
EX20, 00:24:02,0.72 
EX20, 00:24:02,0.72 
EX20, 00:24:03,0.73 
EX20, 00:24:03,0.73 
EX20, 00:24:03,0.74 
EX20, 00:24:03,0.74 
EX20, 00:24:03,0.75 
EX20, 00:24:03,0.75 
EX20, 00:24:03,0.76 
EX20, 00:24:03,0.77 
EX20, 00:24:04,0.77 
EX20, 00:24:04,0.78 
EX20, 00:24:04,0.78 
EX20, 00:24:04,0.79 
EX20, 00:24:04,0.79 
EX20, 00:24:04,0.8 
EX20, 00:24:04,0.8 
EX20, 00:24:04,0.81 
EX20, 00:24:05,0.81 
EX20, 00:24:05,0.82 
EX20, 00:24:05,0.82 
EX20, 00:24:05,0.82 
EX20, 00:24:05,0.83 
EX20, 00:24:05,0.83 
EX20, 00:24:05,0.84 
EX20, 00:24:05,0.84 
 ,,
EX20, 00:24:06,0.84 
EX20, 00:24:06,0.85 
EX20, 00:24:06,0.85 
EX20, 00:24:06,0.86 
EX20, 00:24:06,0.86 
EX20, 00:24:06,0.86 
EX20, 00:24:06,0.87 
EX20, 00:24:06,0.87 
EX20, 00:24:07,0.87 
EX20, 00:24:07,0.88 
EX20, 00:24:07,0.88 
EX20, 00:24:07,0.88 
EX20, 00:24:07,0.88 
EX20, 00:24:07,0.89 
EX20, 00:24:07,0.89 
EX20, 00:24:07,0.89 
EX20, 00:24:08,0.89 
EX20, 00:24:08,0.9 
EX20, 00:24:08,0.9 
EX20, 00:24:08,0.9 
EX20, 00:24:08,0.9 
EX20, 00:24:08,0.91 
EX20, 00:24:08,0.91 
EX20, 00:24:08,0.91 
EX20, 00:24:09,0.91 
EX20, 00:24:09,0.92 
EX20, 00:24:09,0.92 
EX20, 00:24:09,0.92 
EX20, 00:24:09,0.92 
EX20, 00:24:09,0.93 
EX20, 00:24:09,0.93 
EX20, 00:24:10,0.93 
EX20, 00:24:10,0.93 
EX20, 00:24:10,0.94 
EX20, 00:24:10,0.94 
EX20, 00:24:10,0.94 
EX20, 00:24:10,0.95 
 ,,
EX20, 00:24:10,0.95 
EX20, 00:24:10,0.95 
EX20, 00:24:11,0.96 
EX20, 00:24:11,0.96 
EX20, 00:24:11,0.96 
EX20, 00:24:11,0.97 
EX20, 00:24:11,0.97 
EX20, 00:24:11,0.97 
EX20, 00:24:11,0.98 
EX20, 00:24:11,0.98 
EX20, 00:24:12,0.99 
EX20, 00:24:12,0.99 
EX20, 00:24:12,0.99 
EX20, 00:24:12,1 
EX20, 00:24:12,1 
EX20, 00:24:12,1.01 
EX20, 00:24:12,1.01 
EX20, 00:24:12,1.02 
EX20, 00:24:13,1.02 
EX20, 00:24:13,1.03 
EX20, 00:24:13,1.03 
EX20, 00:24:13,1.03 
EX20, 00:24:13,1.04 
EX20, 00:24:13,1.04 
EX20, 00:24:13,1.05 
EX20, 00:24:13,1.05 
EX20, 00:24:14,1.06 
EX20, 00:24:14,1.06 
EX20, 00:24:14,1.07 
EX20, 00:24:14,1.07 
EX20, 00:24:14,1.08 
EX20, 00:24:14,1.08 
EX20, 00:24:14,1.09 
EX20, 00:24:14,1.09 
EX20, 00:24:15,1.09 
EX20, 00:24:15,1.1 
EX20, 00:24:15,1.1 
 ,,
EX20, 00:24:15,1.11 
EX20, 00:24:15,1.11 
EX20, 00:24:15,1.12 
EX20, 00:24:15,1.12 
EX20, 00:24:15,1.12 
EX20, 00:24:16,1.13 
EX20, 00:24:16,1.13 
EX20, 00:24:16,1.13 
EX20, 00:24:16,1.14 
EX20, 00:24:16,1.14 
EX20, 00:24:16,1.14 
EX20, 00:24:16,1.15 
EX20, 00:24:16,1.15 
EX20, 00:24:17,1.15 
EX20, 00:24:17,1.16 
EX20, 00:24:17,1.16 
EX20, 00:24:17,1.16 
EX20, 00:24:17,1.16 
EX20, 00:24:17,1.17 
EX20, 00:24:17,1.17 
EX20, 00:24:18,1.17 
EX20, 00:24:18,1.17 
EX20, 00:24:18,1.17 
EX20, 00:24:18,1.18 
EX20, 00:24:18,1.18 
EX20, 00:24:18,1.18 
EX20, 00:24:18,1.18 
EX20, 00:24:18,1.18 
EX20, 00:24:19,1.18 
EX20, 00:24:19,1.18 
EX20, 00:24:19,1.19 
EX20, 00:24:19,1.19 
EX20, 00:24:19,1.19 
EX20, 00:24:19,1.19 
EX20, 00:24:19,1.19 
EX20, 00:24:19,1.19 
EX20, 00:24:20,1.19 
 ,,
EX20, 00:24:20,1.19 
EX20, 00:24:20,1.19 
EX20, 00:24:20,1.19 
EX20, 00:24:20,1.19 
EX20, 00:24:20,1.19 
EX20, 00:24:20,1.2 
EX20, 00:24:20,1.2 
EX20, 00:24:21,1.2 
EX20, 00:24:21,1.2 
EX20, 00:24:21,1.2 
EX20, 00:24:21,1.2 
EX20, 00:24:21,1.2 
EX20, 00:24:21,1.2 
EX20, 00:24:21,1.2 
EX20, 00:24:21,1.21 
EX20, 00:24:22,1.21 
EX20, 00:24:22,1.21 
EX20, 00:24:22,1.21 
EX20, 00:24:22,1.21 
EX20, 00:24:22,1.21 
EX20, 00:24:22,1.22 
EX20, 00:24:22,1.22 
EX20, 00:24:22,1.22 
EX20, 00:24:23,1.22 
EX20, 00:24:23,1.23 
EX20, 00:24:23,1.23 
EX20, 00:24:23,1.23 
EX20, 00:24:23,1.24 
EX20, 00:24:23,1.24 
EX20, 00:24:23,1.24 
EX20, 00:24:23,1.25 
EX20, 00:24:24,1.25 
EX20, 00:24:24,1.25 
EX20, 00:24:24,1.26 
EX20, 00:24:24,1.26 
EX20, 00:24:24,1.27 
EX20, 00:24:24,1.27 
 ,,
EX20, 00:24:24,1.27 
EX20, 00:24:24,1.28 
EX20, 00:24:25,1.28 
EX20, 00:24:25,1.29 
EX20, 00:24:25,1.29 
EX20, 00:24:25,1.3 
EX20, 00:24:25,1.3 
EX20, 00:24:25,1.31 
EX20, 00:24:25,1.31 
EX20, 00:24:26,1.32 
EX20, 00:24:26,1.32 
EX20, 00:24:26,1.33 
EX20, 00:24:26,1.33 
EX20, 00:24:26,1.34 
EX20, 00:24:26,1.34 
EX20, 00:24:26,1.34 
EX20, 00:24:26,1.35 
EX20, 00:24:27,1.35 
EX20, 00:24:27,1.36 
EX20, 00:24:27,1.36 
EX20, 00:24:27,1.37 
EX20, 00:24:27,1.37 
EX20, 00:24:27,1.38 
EX20, 00:24:27,1.38 
EX20, 00:24:27,1.38 
EX20, 00:24:28,1.39 
EX20, 00:24:28,1.39 
EX20, 00:24:28,1.39 
EX20, 00:24:28,1.4 
EX20, 00:24:28,1.4 
EX20, 00:24:28,1.4 
EX20, 00:24:28,1.41 
EX20, 00:24:28,1.41 
EX20, 00:24:29,1.41 
EX20, 00:24:29,1.41 
EX20, 00:24:29,1.42 
EX20, 00:24:29,1.42 
 ,,
EX20, 00:24:29,1.42 
EX20, 00:24:29,1.42 
EX20, 00:24:29,1.42 
EX20, 00:24:29,1.42 
EX20, 00:24:30,1.43 
EX20, 00:24:30,1.43 
EX20, 00:24:30,1.43 
EX20, 00:24:30,1.43 
EX20, 00:24:30,1.43 
EX20, 00:24:30,1.43 
EX20, 00:24:30,1.43 
EX20, 00:24:30,1.43 
EX20, 00:24:31,1.43 
EX20, 00:24:31,1.43 
EX20, 00:24:31,1.43 
EX20, 00:24:31,1.43 
EX20, 00:24:31,1.43 
EX20, 00:24:31,1.43 
EX20, 00:24:31,1.43 
EX20, 00:24:31,1.43 
EX20, 00:24:32,1.42 
EX20, 00:24:32,1.42 
EX20, 00:24:32,1.42 
EX20, 00:24:32,1.42 
EX20, 00:24:32,1.42 
EX20, 00:24:32,1.42 
EX20, 00:24:32,1.42 
EX20, 00:24:32,1.42 
EX20, 00:24:33,1.42 
EX20, 00:24:33,1.42 
EX20, 00:24:33,1.42 
EX20, 00:24:33,1.42 
EX20, 00:24:33,1.42 
EX20, 00:24:33,1.42 
EX20, 00:24:33,1.42 
EX20, 00:24:34,1.42 
 ,,
EX20, 00:24:34,1.42 
EX20, 00:24:34,1.42 
EX20, 00:24:34,1.42 
EX20, 00:24:34,1.42 
EX20, 00:24:34,1.43 
EX20, 00:24:34,1.43 
EX20, 00:24:34,1.43 
EX20, 00:24:35,1.43 
EX20, 00:24:35,1.43 
EX20, 00:24:35,1.43 
EX20, 00:24:35,1.44 
EX20, 00:24:35,1.44 
EX20, 00:24:35,1.44 
EX20, 00:24:35,1.44 
EX20, 00:24:35,1.45 
EX20, 00:24:36,1.45 
EX20, 00:24:36,1.45 
EX20, 00:24:36,1.46 
EX20, 00:24:36,1.46 
EX20, 00:24:36,1.46 
EX20, 00:24:36,1.47 
EX20, 00:24:36,1.47 
EX20, 00:24:36,1.48 
EX20, 00:24:37,1.48 
EX20, 00:24:37,1.48 
EX20, 00:24:37,1.49 
EX20, 00:24:37,1.49 
EX20, 00:24:37,1.5 
EX20, 00:24:37,1.5 
EX20, 00:24:37,1.51 
EX20, 00:24:37,1.51 
EX20, 00:24:38,1.52 
EX20, 00:24:38,1.52 
EX20, 00:24:38,1.53 
EX20, 00:24:38,1.53 
EX20, 00:24:38,1.54 
EX20, 00:24:38,1.54 
 ,,
EX20, 00:24:38,1.55 
EX20, 00:24:38,1.55 
EX20, 00:24:39,1.56 
EX20, 00:24:39,1.56 
EX20, 00:24:39,1.57 
EX20, 00:24:39,1.57 
EX20, 00:24:39,1.58 
EX20, 00:24:39,1.58 
EX20, 00:24:39,1.59 
