# 
{"kP":"1","kD":"0","kI":"0","density":"997","profile":["dive: 0.5, 0.4, 15.00, 30.00"]}

dive: 0.5, 0.4, 15.00, 30.00
EX20, 00:02:49, 0.03, -0.10
EX20, 00:02:49, 0.03, -0.10
EX20, 00:02:49, 0.03, -0.10
EX20, 00:02:49, 0.03, -0.10
EX20, 00:02:49, 0.03, -0.10
EX20, 00:02:49, 0.03, -0.10
EX20, 00:02:50, 0.03, -0.10
EX20, 00:02:50, 0.03, -0.10
EX20, 00:02:50, 0.03, -0.10
EX20, 00:02:50, 0.03, -0.10
EX20, 00:02:50, 0.03, -0.10
EX20, 00:02:50, 0.03, -0.10
EX20, 00:02:50, 0.03, -0.10
EX20, 00:02:51, 0.03, -0.10
EX20, 00:02:51, 0.03, -0.10
EX20, 00:02:51, 0.03, -0.10
EX20, 00:02:51, 0.03, -0.10
EX20, 00:02:51, 0.03, -0.10
EX20, 00:02:51, 0.03, -0.10
EX20, 00:02:51, 0.03, -0.10
EX20, 00:02:51, 0.03, -0.10
EX20, 00:02:52, 0.03, -0.10
EX20, 00:02:52, 0.03, -0.10
EX20, 00:02:52, 0.03, -0.10
EX20, 00:02:52, 0.03, -0.10
EX20, 00:02:52, 0.03, -0.10
EX20, 00:02:52, 0.03, -0.10

EX20, 00:02:52, 0.03, -0.10
EX20, 00:02:52, 0.03, -0.10
EX20, 00:02:53, 0.03, -0.10
EX20, 00:02:53, 0.03, -0.10
EX20, 00:02:53, 0.03, -0.10
EX20, 00:02:53, 0.03, -0.10
EX20, 00:02:53, 0.03, -0.10
EX20, 00:02:53, 0.03, -0.10
EX20, 00:02:53, 0.03, -0.10
EX20, 00:02:53, 0.03, -0.10
EX20, 00:02:54, 0.03, -0.10
EX20, 00:02:54, 0.03, -0.10
EX20, 00:02:54, 0.03, -0.10
EX20, 00:02:54, 0.03, -0.10
EX20, 00:02:54, 0.03, -0.10
EX20, 00:02:54, 0.03, -0.10
EX20, 00:02:54, 0.03, -0.10
EX20, 00:02:55, 0.03, -0.10
EX20, 00:02:55, 0.03, -0.10
EX20, 00:02:55, 0.03, -0.10
EX20, 00:02:55, 0.03, -0.10
EX20, 00:02:55, 0.03, -0.10
EX20, 00:02:55, 0.03, -0.10
EX20, 00:02:55, 0.03, -0.10
EX20, 00:02:55, 0.03, -0.10
EX20, 00:02:56, 0.03, -0.10
EX20, 00:02:56, 0.03, -0.10
EX20, 00:02:56, 0.03, -0.10
EX20, 00:02:56, 0.03, -0.10
EX20, 00:02:56, 0.03, -0.10
EX20, 00:02:56, 0.03, -0.10
EX20, 00:02:56, 0.03, -0.10
EX20, 00:02:56, 0.03, -0.10
EX20, 00:02:57, 0.03, -0.10
EX20, 00:02:57, 0.03, -0.10

EX20, 00:02:57, 0.03, -0.10
EX20, 00:02:57, 0.03, -0.10
EX20, 00:02:57, 0.03, -0.10
EX20, 00:02:57, 0.03, -0.10
EX20, 00:02:57, 0.03, -0.10
EX20, 00:02:58, 0.03, -0.10
EX20, 00:02:58, 0.03, -0.10
EX20, 00:02:58, 0.03, -0.10
EX20, 00:02:58, 0.03, -0.10
EX20, 00:02:58, 0.03, -0.10
EX20, 00:02:58, 0.03, -0.10
EX20, 00:02:58, 0.03, -0.10
EX20, 00:02:58, 0.03, -0.10
EX20, 00:02:59, 0.03, -0.10
EX20, 00:02:59, 0.03, -0.10
EX20, 00:02:59, 0.03, -0.10
EX20, 00:02:59, 0.03, -0.10
EX20, 00:02:59, 0.03, -0.10
EX20, 00:02:59, 0.03, -0.10
EX20, 00:02:59, 0.03, -0.10
EX20, 00:02:59, 0.03, -0.10
EX20, 00:03:00, 0.03, -0.10
EX20, 00:03:00, 0.03, -0.10


# profile complete
