# 
{"kP":"1","kD":"0","kI":"0","density":"997","profile":["dive: 2, 0.3, 30.00, 30.00"]}

dive: 2, 0.3, 30.00, 30.00
EX20, 00:03:39, 0.01, -0.16
EX20, 00:03:39, 0.01, -0.16
EX20, 00:03:39, 0.01, -0.16
EX20, 00:03:39, 0.01, -0.16
EX20, 00:03:39, 0.01, -0.16
EX20, 00:03:39, 0.01, -0.16
EX20, 00:03:39, 0.01, -0.16
EX20, 00:03:40, 0.01, -0.16
EX20, 00:03:40, 0.01, -0.16
EX20, 00:03:40, 0.01, -0.16
EX20, 00:03:40, 0.01, -0.16
EX20, 00:03:40, 0.01, -0.16
EX20, 00:03:40, 0.01, -0.16
EX20, 00:03:40, 0.01, -0.16
EX20, 00:03:40, 0.01, -0.16
EX20, 00:03:41, 0.01, -0.16
EX20, 00:03:41, 0.01, -0.16
EX20, 00:03:41, 0.01, -0.16
EX20, 00:03:41, 0.01, -0.16
EX20, 00:03:41, 0.01, -0.16
EX20, 00:03:41, 0.01, -0.16
EX20, 00:03:41, 0.01, -0.16
EX20, 00:03:41, 0.01, -0.16
EX20, 00:03:42, 0.01, -0.16
EX20, 00:03:42, 0.01, -0.16
EX20, 00:03:42, 0.01, -0.16
EX20, 00:03:42, 0.01, -0.16
EX20, 00:03:42, 0.01, -0.15
EX20, 00:03:42, 0.01, -0.16
EX20, 00:03:42, 0.01, -0.15
EX20, 00:03:42, 0.01, -0.16
EX20, 00:03:43, 0.01, -0.16
EX20, 00:03:43, 0.01, -0.15
EX20, 00:03:43, 0.01, -0.16
EX20, 00:03:43, 0.01, -0.16

EX20, 00:03:43, 0.01, -0.16
EX20, 00:03:43, 0.01, -0.16
EX20, 00:03:43, 0.01, -0.15
EX20, 00:03:43, 0.01, -0.16
EX20, 00:03:44, 0.01, -0.15
EX20, 00:03:44, 0.01, -0.15
EX20, 00:03:44, 0.01, -0.16
EX20, 00:03:44, 0.01, -0.15
EX20, 00:03:44, 0.01, -0.16
EX20, 00:03:44, 0.01, -0.15
EX20, 00:03:44, 0.01, -0.15
EX20, 00:03:44, 0.01, -0.15
EX20, 00:03:45, 0.01, -0.15
EX20, 00:03:45, 0.01, -0.15
EX20, 00:03:45, 0.01, -0.16
EX20, 00:03:45, 0.01, -0.15
EX20, 00:03:45, 0.01, -0.15
EX20, 00:03:45, 0.01, -0.15
EX20, 00:03:45, 0.01, -0.15
EX20, 00:03:46, 0.01, -0.15
EX20, 00:03:46, 0.01, -0.16
EX20, 00:03:46, 0.01, -0.15
EX20, 00:03:46, 0.01, -0.15
EX20, 00:03:46, 0.01, -0.15
EX20, 00:03:46, 0.01, -0.15
EX20, 00:03:46, 0.01, -0.15
EX20, 00:03:46, 0.01, -0.15
EX20, 00:03:47, 0.01, -0.15
EX20, 00:03:47, 0.01, -0.15
EX20, 00:03:47, 0.01, -0.15
EX20, 00:03:47, 0.01, -0.15
EX20, 00:03:47, 0.01, -0.15
EX20, 00:03:47, 0.01, -0.15
