# 
{"kP":"1","kD":"0","kI":"0","density":"997","profile":["dive: -2, 0.30, 30.00, 300.00","surface"]}

dive: -2, 0.30, 30.00, 300.00
EX20, 00:00:39, 0.98, -0.04
EX20, 00:00:39, 0.98, -0.03
EX20, 00:00:39, 0.98, -0.03
EX20, 00:00:39, 0.98, -0.03
EX20, 00:00:39, 0.98, -0.02
EX20, 00:00:40, 0.98, -0.02
EX20, 00:00:40, 0.98, -0.01
EX20, 00:00:40, 0.98, -0.01
EX20, 00:00:40, 0.98, -0.01
EX20, 00:00:40, 1.00, -0.00
EX20, 00:00:40, 1.00, 0.00
EX20, 00:00:40, 1.00, 0.01
EX20, 00:00:40, 1.00, 0.01
EX20, 00:00:41, 1.00, 0.02
EX20, 00:00:41, 1.00, 0.02
EX20, 00:00:41, 1.00, 0.03
EX20, 00:00:41, 1.00, 0.03
EX20, 00:00:41, 1.00, 0.04
EX20, 00:00:41, 1.00, 0.04
EX20, 00:00:41, 1.00, 0.05
EX20, 00:00:41, 1.00, 0.05
EX20, 00:00:42, 1.00, 0.06
EX20, 00:00:42, 1.00, 0.07
EX20, 00:00:42, 1.00, 0.07
EX20, 00:00:42, 1.00, 0.08
EX20, 00:00:42, 1.00, 0.08
EX20, 00:00:42, 1.00, 0.09
EX20, 00:00:42, 1.00, 0.09

EX20, 00:00:42, 1.00, 0.10
EX20, 00:00:43, 1.00, 0.11
EX20, 00:00:43, 1.00, 0.11
EX20, 00:00:43, 1.00, 0.12
EX20, 00:00:43, 1.00, 0.13
EX20, 00:00:43, 1.00, 0.13
EX20, 00:00:43, 1.00, 0.14
EX20, 00:00:43, 1.00, 0.15
EX20, 00:00:43, 1.00, 0.15
EX20, 00:00:44, 1.00, 0.16
EX20, 00:00:44, 1.00, 0.17
EX20, 00:00:44, 1.00, 0.17
EX20, 00:00:44, 1.00, 0.18
EX20, 00:00:44, 1.00, 0.19
EX20, 00:00:44, 1.00, 0.19
EX20, 00:00:44, 1.00, 0.20
EX20, 00:00:44, 1.00, 0.21
EX20, 00:00:45, 1.00, 0.22
EX20, 00:00:45, 1.00, 0.22
EX20, 00:00:45, 1.00, 0.23
EX20, 00:00:45, 1.00, 0.24
EX20, 00:00:45, 1.00, 0.24
EX20, 00:00:45, 1.00, 0.25
EX20, 00:00:45, 1.00, 0.26
EX20, 00:00:46, 1.00, 0.27
EX20, 00:00:46, 1.00, 0.28
EX20, 00:00:46, 1.00, 0.28
EX20, 00:00:46, 1.00, 0.29
EX20, 00:00:46, 1.00, 0.30
EX20, 00:00:46, 1.00, 0.31
EX20, 00:00:46, 1.00, 0.31
EX20, 00:00:46, 1.00, 0.32
EX20, 00:00:47, 1.00, 0.33
EX20, 00:00:47, 1.00, 0.34
EX20, 00:00:47, 1.00, 0.35
EX20, 00:00:47, 1.00, 0.35
EX20, 00:00:47, 1.00, 0.36

EX20, 00:00:47, 1.00, 0.37
EX20, 00:00:47, 1.00, 0.38
EX20, 00:00:47, 1.00, 0.39
EX20, 00:00:48, 1.00, 0.40
EX20, 00:00:48, 1.00, 0.40
EX20, 00:00:48, 1.00, 0.41
EX20, 00:00:48, 1.00, 0.42
EX20, 00:00:48, 1.00, 0.43
EX20, 00:00:48, 1.00, 0.44
EX20, 00:00:48, 1.00, 0.45
EX20, 00:00:48, 1.00, 0.46
EX20, 00:00:49, 1.00, 0.47
EX20, 00:00:49, 1.00, 0.47
EX20, 00:00:49, 1.00, 0.48
EX20, 00:00:49, 1.00, 0.49
EX20, 00:00:49, 1.00, 0.50
EX20, 00:00:49, 1.00, 0.51
EX20, 00:00:49, 1.00, 0.52
EX20, 00:00:49, 1.00, 0.53
EX20, 00:00:50, 1.00, 0.54
EX20, 00:00:50, 1.00, 0.55
EX20, 00:00:50, 1.00, 0.56
EX20, 00:00:50, 1.00, 0.57
EX20, 00:00:50, 1.00, 0.58
EX20, 00:00:50, 1.00, 0.59
EX20, 00:00:50, 1.00, 0.60
EX20, 00:00:50, 1.00, 0.60
EX20, 00:00:51, 1.00, 0.61
EX20, 00:00:51, 1.00, 0.62
EX20, 00:00:51, 1.00, 0.63
EX20, 00:00:51, 1.00, 0.64
EX20, 00:00:51, 1.00, 0.65
EX20, 00:00:51, 1.00, 0.66
EX20, 00:00:51, 1.00, 0.67
EX20, 00:00:52, 1.00, 0.68
EX20, 00:00:52, 1.00, 0.69
EX20, 00:00:52, 1.00, 0.70

EX20, 00:00:52, 1.00, 0.71
EX20, 00:00:52, 1.00, 0.72
EX20, 00:00:52, 1.00, 0.73
EX20, 00:00:52, 1.00, 0.74
EX20, 00:00:52, 1.00, 0.75
EX20, 00:00:53, 1.00, 0.76
EX20, 00:00:53, 1.00, 0.77
EX20, 00:00:53, 1.00, 0.78
EX20, 00:00:53, 1.00, 0.80
EX20, 00:00:53, 1.00, 0.81
EX20, 00:00:53, 1.00, 0.82
EX20, 00:00:53, 1.00, 0.83
EX20, 00:00:53, 1.00, 0.84
EX20, 00:00:54, 1.00, 0.85
EX20, 00:00:54, 1.00, 0.86
EX20, 00:00:54, 1.00, 0.87
EX20, 00:00:54, 1.00, 0.88
EX20, 00:00:54, 1.00, 0.89
EX20, 00:00:54, 1.00, 0.90
EX20, 00:00:54, 1.00, 0.91
EX20, 00:00:54, 1.00, 0.92
EX20, 00:00:55, 1.00, 0.93
EX20, 00:00:55, 1.00, 0.94
EX20, 00:00:55, 1.00, 0.96
EX20, 00:00:55, 1.00, 0.97
EX20, 00:00:55, 1.00, 0.98
EX20, 00:00:55, 1.00, 0.99
EX20, 00:00:55, 1.00, 1.00
EX20, 00:00:55, 1.00, 1.01
EX20, 00:00:56, 1.00, 1.02
EX20, 00:00:56, 1.00, 1.03
EX20, 00:00:56, 1.00, 1.05
EX20, 00:00:56, 1.00, 1.06
EX20, 00:00:56, 1.00, 1.07
EX20, 00:00:56, 1.00, 1.08
EX20, 00:00:56, 1.00, 1.09
EX20, 00:00:57, 1.00, 1.10

EX20, 00:00:57, 1.00, 1.12
EX20, 00:00:57, 1.00, 1.13
EX20, 00:00:57, 1.00, 1.14
EX20, 00:00:57, 1.00, 1.15
EX20, 00:00:57, 1.00, 1.16
EX20, 00:00:57, 1.00, 1.17
EX20, 00:00:57, 1.00, 1.19
EX20, 00:00:58, 1.00, 1.20
EX20, 00:00:58, 1.00, 1.21
EX20, 00:00:58, 1.00, 1.22
EX20, 00:00:58, 1.00, 1.23
EX20, 00:00:58, 1.00, 1.25
EX20, 00:00:58, 1.00, 1.26
EX20, 00:00:58, 1.00, 1.27
EX20, 00:00:58, 1.00, 1.28
EX20, 00:00:59, 1.00, 1.29
EX20, 00:00:59, 1.00, 1.31
EX20, 00:00:59, 1.00, 1.32
EX20, 00:00:59, 1.00, 1.33
EX20, 00:00:59, 1.00, 1.34
EX20, 00:00:59, 1.00, 1.36
EX20, 00:00:59, 1.00, 1.37
EX20, 00:00:59, 1.00, 1.38
EX20, 00:01:00, 1.00, 1.39
EX20, 00:01:00, 1.00, 1.40
EX20, 00:01:00, 1.00, 1.42
EX20, 00:01:00, 1.00, 1.43
EX20, 00:01:00, 1.00, 1.44
EX20, 00:01:00, 1.00, 1.45
EX20, 00:01:00, 1.00, 1.47
EX20, 00:01:00, 1.00, 1.48
EX20, 00:01:01, 1.00, 1.49
EX20, 00:01:01, 1.00, 1.50
EX20, 00:01:01, 1.00, 1.51
EX20, 00:01:01, 1.00, 1.53
EX20, 00:01:01, 1.00, 1.54
EX20, 00:01:01, 1.00, 1.55

