# 
{"kP":"0.1","kD":"0","kI":"0","density":"997","profile":["dive: 1.8, 0.30, 30.00, 300.00","surface"]}

dive: 1.8, 0.30, 30.00, 300.00
EX20, 00:00:32, 0.00, -0.08
EX20, 00:00:33, nan, -0.08
EX20, 00:00:33, nan, -0.08
EX20, 00:00:33, nan, -0.07
EX20, 00:00:33, nan, -0.07
EX20, 00:00:33, nan, -0.07
EX20, 00:00:33, nan, -0.07
EX20, 00:00:33, nan, -0.07
EX20, 00:00:33, nan, -0.07
EX20, 00:00:34, nan, -0.07
EX20, 00:00:34, nan, -0.07
EX20, 00:00:34, nan, -0.07
EX20, 00:00:34, nan, -0.07
EX20, 00:00:34, nan, -0.07
EX20, 00:00:35, nan, -0.07
EX20, 00:00:35, nan, -0.07
EX20, 00:00:35, nan, -0.07
EX20, 00:00:35, nan, -0.07
EX20, 00:00:35, nan, -0.07
EX20, 00:00:35, nan, -0.07
EX20, 00:00:35, nan, -0.07
EX20, 00:00:35, nan, -0.07
EX20, 00:00:37, nan, -0.07
EX20, 00:00:38, nan, -0.08
EX20, 00:00:41, nan, -0.08
EX20, 00:00:44, nan, -0.08
EX20, 00:00:44, nan, -0.08
EX20, 00:00:44, nan, -0.08
EX20, 00:00:44, nan, -0.08
EX20, 00:00:44, nan, -0.07
EX20, 00:00:44, nan, -0.07
EX20, 00:00:44, nan, -0.07
EX20, 00:00:45, nan, -0.07
EX20, 00:00:45, nan, -0.07
EX20, 00:00:45, nan, -0.07
EX20, 00:00:45, nan, -0.07
EX20, 00:00:45, nan, -0.07

EX20, 00:00:45, nan, -0.07
EX20, 00:00:45, nan, -0.07
EX20, 00:00:45, nan, -0.07
EX20, 00:00:46, nan, -0.07
EX20, 00:00:46, nan, -0.07
EX20, 00:00:46, nan, -0.07
EX20, 00:00:46, nan, -0.07
EX20, 00:00:46, nan, -0.07
EX20, 00:00:46, nan, -0.07
EX20, 00:00:46, nan, -0.07
EX20, 00:00:46, nan, -0.07
EX20, 00:00:47, nan, -0.07
EX20, 00:00:47, nan, -0.07
EX20, 00:00:47, nan, -0.07
EX20, 00:00:47, nan, -0.07
EX20, 00:00:47, nan, -0.07
EX20, 00:00:47, nan, -0.07
EX20, 00:00:47, nan, -0.07
EX20, 00:00:47, nan, -0.07
EX20, 00:00:48, nan, -0.07
EX20, 00:00:48, nan, -0.07
EX20, 00:00:48, nan, -0.07
EX20, 00:00:48, nan, -0.07
EX20, 00:00:48, nan, -0.07
EX20, 00:00:48, nan, -0.07
EX20, 00:00:48, nan, -0.07
EX20, 00:00:48, nan, -0.07
EX20, 00:00:49, nan, -0.07
EX20, 00:00:49, nan, -0.07
EX20, 00:00:49, nan, -0.07
EX20, 00:00:49, nan, -0.07
EX20, 00:00:49, nan, -0.07
EX20, 00:00:49, nan, -0.07
EX20, 00:00:49, nan, -0.07
EX20, 00:00:49, nan, -0.07
EX20, 00:00:50, nan, -0.07
EX20, 00:00:50, nan, -0.07

EX20, 00:00:50, nan, -0.07
EX20, 00:00:50, nan, -0.07
EX20, 00:00:50, nan, -0.07
EX20, 00:00:50, nan, -0.07
EX20, 00:00:50, nan, -0.07
EX20, 00:00:50, nan, -0.07
EX20, 00:00:51, nan, -0.07
EX20, 00:00:51, nan, -0.07
EX20, 00:00:51, nan, -0.07
EX20, 00:00:51, nan, -0.07
EX20, 00:00:51, nan, -0.07
EX20, 00:00:51, nan, -0.07
EX20, 00:00:51, nan, -0.07
EX20, 00:00:52, nan, -0.07
EX20, 00:00:52, nan, -0.07
EX20, 00:00:52, nan, -0.07
EX20, 00:00:52, nan, -0.07
EX20, 00:00:52, nan, -0.07
EX20, 00:00:52, nan, -0.07
EX20, 00:00:52, nan, -0.07
EX20, 00:00:52, nan, -0.07
EX20, 00:00:53, nan, -0.07
EX20, 00:00:53, nan, -0.07
EX20, 00:00:53, nan, -0.07
EX20, 00:00:53, nan, -0.07
