# 
{"kP":"0.1","kD":"0","kI":"0","density":"997","profile":["dive: -1, 0.3, 30.00, 30.00"]}

dive: -1, 0.3, 30.00, 30.00
EX20, 00:06:58, -0.07, -0.09
EX20, 00:06:58, nan, -0.08
EX20, 00:06:58, nan, -0.08
EX20, 00:06:58, nan, -0.08
EX20, 00:06:58, nan, -0.08
EX20, 00:06:59, nan, -0.08
EX20, 00:06:59, nan, -0.08
EX20, 00:06:59, -0.00, -0.08
EX20, 00:06:59, -0.00, -0.08
EX20, 00:06:59, -0.00, -0.08
EX20, 00:06:59, -0.00, -0.08
EX20, 00:06:59, -0.00, -0.08
EX20, 00:06:59, -0.00, -0.08
EX20, 00:07:00, -0.00, -0.08
EX20, 00:07:00, -0.00, -0.08
EX20, 00:07:00, -0.00, -0.08
EX20, 00:07:00, -0.00, -0.08
EX20, 00:07:00, -0.00, -0.08
EX20, 00:07:00, -0.00, -0.08
EX20, 00:07:00, -0.00, -0.08
EX20, 00:07:00, -0.00, -0.08
EX20, 00:07:01, -0.00, -0.08
EX20, 00:07:01, -0.00, -0.08
EX20, 00:07:01, -0.00, -0.08
EX20, 00:07:01, -0.00, -0.08
EX20, 00:07:01, -0.00, -0.08
EX20, 00:07:01, -0.00, -0.08
EX20, 00:07:01, -0.00, -0.08
EX20, 00:07:01, -0.00, -0.08
EX20, 00:07:02, -0.00, -0.08
EX20, 00:07:02, -0.00, -0.08
EX20, 00:07:02, -0.00, -0.08
EX20, 00:07:02, -0.00, -0.08
EX20, 00:07:02, -0.00, -0.08
EX20, 00:07:02, -0.00, -0.08

EX20, 00:07:02, -0.00, -0.08
EX20, 00:07:02, -0.00, -0.08
EX20, 00:07:03, -0.00, -0.08
EX20, 00:07:03, -0.00, -0.08
EX20, 00:07:03, -0.00, -0.08
EX20, 00:07:03, -0.00, -0.08
EX20, 00:07:03, -0.00, -0.08
EX20, 00:07:03, -0.00, -0.08
EX20, 00:07:03, -0.00, -0.08
EX20, 00:07:03, -0.00, -0.08
EX20, 00:07:04, -0.00, -0.08
EX20, 00:07:04, -0.00, -0.08
EX20, 00:07:04, -0.00, -0.08
