# 
{"kP":"0.08","kD":"0","kI":"0","density":"997","profile":["dive: -2, 0.3, 10.00, 10.00"]}

dive: -2, 0.3, 10.00, 10.00
EX20, 00:02:05, 0.00, -0.15
EX20, 00:02:05, -0.00, -0.15
EX20, 00:02:05, -0.00, -0.15
EX20, 00:02:05, -0.00, -0.15
EX20, 00:02:05, -0.00, -0.15
EX20, 00:02:05, -0.00, -0.15
EX20, 00:02:05, -0.00, -0.15
EX20, 00:02:06, -0.00, -0.15
EX20, 00:02:06, -0.00, -0.15
EX20, 00:02:06, -0.00, -0.15
EX20, 00:02:06, -0.00, -0.15
EX20, 00:02:06, -0.00, -0.15
EX20, 00:02:06, -0.00, -0.15
EX20, 00:02:06, -0.00, -0.15
EX20, 00:02:06, -0.00, -0.15
EX20, 00:02:07, -0.00, -0.15
EX20, 00:02:07, -0.00, -0.15
EX20, 00:02:07, -0.00, -0.15
EX20, 00:02:07, -0.00, -0.15
EX20, 00:02:07, -0.00, -0.15
EX20, 00:02:07, -0.00, -0.15
EX20, 00:02:07, -0.00, -0.15
EX20, 00:02:07, -0.00, -0.15
EX20, 00:02:08, -0.00, -0.15
EX20, 00:02:08, -0.00, -0.15
EX20, 00:02:08, -0.00, -0.15
EX20, 00:02:08, -0.00, -0.15
EX20, 00:02:08, -0.00, -0.15
EX20, 00:02:08, -0.00, -0.15
EX20, 00:02:08, -0.00, -0.15
EX20, 00:02:08, -0.00, -0.15
EX20, 00:02:09, -0.00, -0.15
EX20, 00:02:09, -0.00, -0.15
EX20, 00:02:09, -0.00, -0.15

EX20, 00:02:09, -0.00, -0.15
EX20, 00:02:09, -0.00, -0.15
EX20, 00:02:09, -0.00, -0.15
EX20, 00:02:09, -0.00, -0.15
EX20, 00:02:09, -0.00, -0.15
EX20, 00:02:10, -0.00, -0.15
EX20, 00:02:10, -0.00, -0.15
EX20, 00:02:10, -0.00, -0.15
EX20, 00:02:10, -0.00, -0.15
EX20, 00:02:10, -0.00, -0.15
EX20, 00:02:10, -0.00, -0.15
EX20, 00:02:10, -0.00, -0.15
EX20, 00:02:11, -0.00, -0.15
EX20, 00:02:11, -0.00, -0.15
EX20, 00:02:11, -0.00, -0.15
EX20, 00:02:11, -0.00, -0.15
EX20, 00:02:11, -0.00, -0.15
EX20, 00:02:11, -0.00, -0.15
EX20, 00:02:11, -0.00, -0.15
EX20, 00:02:11, -0.00, -0.15
EX20, 00:02:12, -0.00, -0.15
EX20, 00:02:12, -0.00, -0.15
EX20, 00:02:12, -0.00, -0.15
EX20, 00:02:12, -0.00, -0.15
EX20, 00:02:12, -0.00, -0.15
EX20, 00:02:12, -0.00, -0.15
EX20, 00:02:12, -0.00, -0.15
EX20, 00:02:12, -0.00, -0.15
EX20, 00:02:13, -0.00, -0.15
EX20, 00:02:13, -0.00, -0.15
EX20, 00:02:13, -0.00, -0.15
EX20, 00:02:13, -0.00, -0.15
EX20, 00:02:13, -0.00, -0.15
EX20, 00:02:13, -0.00, -0.15

EX20, 00:02:13, -0.00, -0.15
EX20, 00:02:13, -0.00, -0.15
EX20, 00:02:14, -0.00, -0.15
EX20, 00:02:14, -0.00, -0.15
EX20, 00:02:14, -0.00, -0.15
EX20, 00:02:14, -0.00, -0.15
EX20, 00:02:14, -0.00, -0.15
EX20, 00:02:14, -0.00, -0.15
EX20, 00:02:14, -0.00, -0.15
EX20, 00:02:14, -0.00, -0.15
EX20, 00:02:15, -0.00, -0.15


# profile complete
