# 
{"kP":"1","kD":"0","kI":"0","density":"997","profile":["dive: -1, 0.5, 30.00, 100.00"]}

dive: -1, 0.5, 30.00, 100.00
EX20, 00:02:17, nan, -0.07
EX20, 00:02:17, nan, -0.08
EX20, 00:02:17, nan, -0.08
EX20, 00:02:17, nan, -0.07
EX20, 00:02:18, nan, -0.07
EX20, 00:02:18, nan, -0.07
EX20, 00:02:18, nan, -0.07
EX20, 00:02:18, nan, -0.07
EX20, 00:02:18, nan, -0.07
EX20, 00:02:18, nan, -0.07
EX20, 00:02:18, nan, -0.07
EX20, 00:02:19, nan, -0.07
EX20, 00:02:19, nan, -0.07
EX20, 00:02:19, nan, -0.07
EX20, 00:02:19, nan, -0.07
EX20, 00:02:19, nan, -0.07
EX20, 00:02:19, nan, -0.07
EX20, 00:02:19, nan, -0.07
EX20, 00:02:19, nan, -0.07
EX20, 00:02:20, nan, -0.07
EX20, 00:02:20, nan, -0.07
EX20, 00:02:20, nan, -0.07
EX20, 00:02:20, nan, -0.07
EX20, 00:02:20, nan, -0.07
EX20, 00:02:20, nan, -0.07
EX20, 00:02:20, nan, -0.07
EX20, 00:02:20, nan, -0.07
EX20, 00:02:21, nan, -0.07
EX20, 00:02:21, nan, -0.07
EX20, 00:02:21, nan, -0.07
EX20, 00:02:21, nan, -0.07
EX20, 00:02:21, nan, -0.07
EX20, 00:02:21, nan, -0.07
EX20, 00:02:21, nan, -0.07
EX20, 00:02:21, nan, -0.07
EX20, 00:02:22, nan, -0.07
EX20, 00:02:22, nan, -0.07

EX20, 00:02:22, nan, -0.07
EX20, 00:02:22, nan, -0.07
EX20, 00:02:22, nan, -0.07
EX20, 00:02:22, nan, -0.07
EX20, 00:02:22, nan, -0.07
EX20, 00:02:22, nan, -0.07
EX20, 00:02:23, nan, -0.07
EX20, 00:02:23, nan, -0.07
EX20, 00:02:23, nan, -0.07
EX20, 00:02:23, nan, -0.07
EX20, 00:02:23, nan, -0.07
EX20, 00:02:23, nan, -0.07
EX20, 00:02:23, nan, -0.07
EX20, 00:02:23, nan, -0.07
EX20, 00:02:24, nan, -0.07
EX20, 00:02:24, nan, -0.07
EX20, 00:02:24, nan, -0.07
EX20, 00:02:24, nan, -0.07
EX20, 00:02:24, nan, -0.07
EX20, 00:02:24, nan, -0.07
EX20, 00:02:24, nan, -0.07
EX20, 00:02:24, nan, -0.07
EX20, 00:02:25, nan, -0.07
EX20, 00:02:25, nan, -0.07
EX20, 00:02:25, nan, -0.07
EX20, 00:02:25, nan, -0.07
EX20, 00:02:25, nan, -0.07
EX20, 00:02:25, nan, -0.07
EX20, 00:02:25, nan, -0.07
EX20, 00:02:25, nan, -0.07
EX20, 00:02:26, nan, -0.07
EX20, 00:02:26, nan, -0.07
EX20, 00:02:26, nan, -0.07
EX20, 00:02:26, nan, -0.07
