# 
{"kP":"1","kD":"0","kI":"0","density":"997","profile":["dive: 2, 0.3, 30.00, 120.00"]}

dive: 2, 0.3, 30.00, 120.00
EX20, 00:06:20, 0.00, -0.11
EX20, 00:06:20, 0.01, -0.11
EX20, 00:06:20, 0.01, -0.11
EX20, 00:06:20, 0.01, -0.11
EX20, 00:06:20, 0.01, -0.11
EX20, 00:06:21, 0.01, -0.11
EX20, 00:06:21, 0.01, -0.11
EX20, 00:06:21, 0.01, -0.11
EX20, 00:06:21, 0.01, -0.11
EX20, 00:06:21, 0.01, -0.11
EX20, 00:06:21, 0.01, -0.11
EX20, 00:06:21, 0.01, -0.11
EX20, 00:06:21, 0.01, -0.11
EX20, 00:06:22, 0.01, -0.11
EX20, 00:06:22, 0.01, -0.11
EX20, 00:06:22, 0.01, -0.11
EX20, 00:06:22, 0.01, -0.11
EX20, 00:06:22, 0.01, -0.11
EX20, 00:06:22, 0.01, -0.11
EX20, 00:06:22, 0.01, -0.11
EX20, 00:06:22, 0.01, -0.11
EX20, 00:06:23, 0.01, -0.11
EX20, 00:06:23, 0.01, -0.11
EX20, 00:06:23, 0.01, -0.11
EX20, 00:06:23, 0.01, -0.11
EX20, 00:06:23, 0.01, -0.11
EX20, 00:06:23, 0.01, -0.11
EX20, 00:06:23, 0.01, -0.11
EX20, 00:06:23, 0.01, -0.11
EX20, 00:06:24, 0.01, -0.11
EX20, 00:06:24, 0.01, -0.11
EX20, 00:06:24, 0.01, -0.11
EX20, 00:06:24, 0.01, -0.11
EX20, 00:06:24, 0.01, -0.11
EX20, 00:06:24, 0.01, -0.11

EX20, 00:06:24, 0.01, -0.11
EX20, 00:06:24, 0.01, -0.11
EX20, 00:06:25, 0.01, -0.11
EX20, 00:06:25, 0.01, -0.11
EX20, 00:06:25, 0.01, -0.11
EX20, 00:06:25, 0.01, -0.11
EX20, 00:06:25, 0.01, -0.11
EX20, 00:06:25, 0.01, -0.11
EX20, 00:06:25, 0.01, -0.11
EX20, 00:06:26, 0.01, -0.11
EX20, 00:06:26, 0.01, -0.11
EX20, 00:06:26, 0.01, -0.11
EX20, 00:06:26, 0.01, -0.11
EX20, 00:06:26, 0.01, -0.11
EX20, 00:06:26, 0.01, -0.11
EX20, 00:06:26, 0.01, -0.11
EX20, 00:06:26, 0.01, -0.11
EX20, 00:06:27, 0.01, -0.11
EX20, 00:06:27, 0.01, -0.11
EX20, 00:06:27, 0.01, -0.11
EX20, 00:06:27, 0.01, -0.11
EX20, 00:06:27, 0.01, -0.11
EX20, 00:06:27, 0.01, -0.11
EX20, 00:06:27, 0.01, -0.11
EX20, 00:06:27, 0.01, -0.11
EX20, 00:06:28, 0.01, -0.11
EX20, 00:06:28, 0.01, -0.11
EX20, 00:06:28, 0.01, -0.11
EX20, 00:06:28, 0.01, -0.11
EX20, 00:06:28, 0.01, -0.11
EX20, 00:06:28, 0.01, -0.11
EX20, 00:06:28, 0.01, -0.11
EX20, 00:06:28, 0.01, -0.11
EX20, 00:06:29, 0.01, -0.11
EX20, 00:06:29, 0.01, -0.11

EX20, 00:06:29, 0.01, -0.11
EX20, 00:06:29, 0.01, -0.11
EX20, 00:06:29, 0.01, -0.11
EX20, 00:06:29, 0.01, -0.11
EX20, 00:06:29, 0.01, -0.11
EX20, 00:06:29, 0.01, -0.11
EX20, 00:06:30, 0.01, -0.11
EX20, 00:06:30, 0.01, -0.11
EX20, 00:06:30, 0.01, -0.11
EX20, 00:06:30, 0.01, -0.11
EX20, 00:06:30, 0.01, -0.11
EX20, 00:06:30, 0.01, -0.11
EX20, 00:06:30, 0.01, -0.11
EX20, 00:06:30, 0.01, -0.11
EX20, 00:06:31, 0.01, -0.11
EX20, 00:06:31, 0.01, -0.11
EX20, 00:06:31, 0.01, -0.11
EX20, 00:06:31, 0.01, -0.11
EX20, 00:06:31, 0.01, -0.11
EX20, 00:06:31, 0.01, -0.11
EX20, 00:06:31, 0.01, -0.11
EX20, 00:06:32, 0.01, -0.11
EX20, 00:06:32, 0.01, -0.11
EX20, 00:06:32, 0.01, -0.11
EX20, 00:06:32, 0.01, -0.11
EX20, 00:06:32, 0.01, -0.11
EX20, 00:06:32, 0.01, -0.11
EX20, 00:06:32, 0.01, -0.11
EX20, 00:06:32, 0.01, -0.11
EX20, 00:06:33, 0.01, -0.11
EX20, 00:06:33, 0.01, -0.11
EX20, 00:06:33, 0.01, -0.11
EX20, 00:06:33, 0.01, -0.11
EX20, 00:06:33, 0.01, -0.11
EX20, 00:06:33, 0.01, -0.11

EX20, 00:06:33, 0.01, -0.11
EX20, 00:06:33, 0.01, -0.11
EX20, 00:06:34, 0.01, -0.11
EX20, 00:06:34, 0.01, -0.11
EX20, 00:06:34, 0.01, -0.11
EX20, 00:06:34, 0.01, -0.11
EX20, 00:06:34, 0.01, -0.11
EX20, 00:06:34, 0.01, -0.11
EX20, 00:06:34, 0.01, -0.11
EX20, 00:06:34, 0.01, -0.11
EX20, 00:06:35, 0.01, -0.11
EX20, 00:06:35, 0.01, -0.11
EX20, 00:06:35, 0.01, -0.11
EX20, 00:06:35, 0.01, -0.11
EX20, 00:06:35, 0.01, -0.11
EX20, 00:06:35, 0.01, -0.11
EX20, 00:06:35, 0.01, -0.11
EX20, 00:06:35, 0.01, -0.11
EX20, 00:06:36, 0.01, -0.11
EX20, 00:06:36, 0.01, -0.11
EX20, 00:06:36, 0.01, -0.11
EX20, 00:06:36, 0.01, -0.11
EX20, 00:06:36, 0.01, -0.11
EX20, 00:06:36, 0.01, -0.11
EX20, 00:06:36, 0.01, -0.11
EX20, 00:06:36, 0.01, -0.11
EX20, 00:06:37, 0.01, -0.11
EX20, 00:06:37, 0.01, -0.11
EX20, 00:06:37, 0.01, -0.11
EX20, 00:06:37, 0.01, -0.11
EX20, 00:06:37, 0.01, -0.11
EX20, 00:06:37, 0.01, -0.11
EX20, 00:06:37, 0.01, -0.11
EX20, 00:06:37, 0.01, -0.11
EX20, 00:06:38, 0.01, -0.11

EX20, 00:06:38, 0.01, -0.11
EX20, 00:06:38, 0.01, -0.11
EX20, 00:06:38, 0.01, -0.11
EX20, 00:06:38, 0.01, -0.11
EX20, 00:06:38, 0.01, -0.11
EX20, 00:06:38, 0.01, -0.11
EX20, 00:06:39, 0.01, -0.11
EX20, 00:06:39, 0.01, -0.11
EX20, 00:06:39, 0.01, -0.11
EX20, 00:06:39, 0.01, -0.11
EX20, 00:06:39, 0.01, -0.11
EX20, 00:06:39, 0.01, -0.11
EX20, 00:06:39, 0.01, -0.11
EX20, 00:06:39, 0.01, -0.11
EX20, 00:06:40, 0.01, -0.11
EX20, 00:06:40, 0.01, -0.11
EX20, 00:06:40, 0.01, -0.11
EX20, 00:06:40, 0.01, -0.11
EX20, 00:06:40, 0.01, -0.11
EX20, 00:06:40, 0.01, -0.11
EX20, 00:06:40, 0.01, -0.11
EX20, 00:06:40, 0.01, -0.11
EX20, 00:06:41, 0.01, -0.11
EX20, 00:06:41, 0.01, -0.11
EX20, 00:06:41, 0.01, -0.11
EX20, 00:06:41, 0.01, -0.11
EX20, 00:06:41, 0.01, -0.11
EX20, 00:06:41, 0.01, -0.11
EX20, 00:06:41, 0.01, -0.11
EX20, 00:06:41, 0.01, -0.11
EX20, 00:06:42, 0.01, -0.11
EX20, 00:06:42, 0.01, -0.11
EX20, 00:06:42, 0.01, -0.11
EX20, 00:06:42, 0.01, -0.11
EX20, 00:06:42, 0.01, -0.11

EX20, 00:06:42, 0.01, -0.11
EX20, 00:06:42, 0.01, -0.11
EX20, 00:06:42, 0.01, -0.11
EX20, 00:06:43, 0.01, -0.11
EX20, 00:06:43, 0.01, -0.11
EX20, 00:06:43, 0.01, -0.11
EX20, 00:06:43, 0.01, -0.11
EX20, 00:06:43, 0.01, -0.11
EX20, 00:06:43, 0.01, -0.11
EX20, 00:06:43, 0.01, -0.11
EX20, 00:06:44, 0.01, -0.11
EX20, 00:06:44, 0.01, -0.11
EX20, 00:06:44, 0.01, -0.11
EX20, 00:06:44, 0.01, -0.11
EX20, 00:06:44, 0.01, -0.11
EX20, 00:06:44, 0.01, -0.11
EX20, 00:06:44, 0.01, -0.11
EX20, 00:06:44, 0.01, -0.11
EX20, 00:06:45, 0.01, -0.11
EX20, 00:06:45, 0.01, -0.11
EX20, 00:06:45, 0.01, -0.11
EX20, 00:06:45, 0.01, -0.11
EX20, 00:06:45, 0.01, -0.11
EX20, 00:06:45, 0.01, -0.11
EX20, 00:06:45, 0.01, -0.11
EX20, 00:06:45, 0.01, -0.11
EX20, 00:06:46, 0.01, -0.11
EX20, 00:06:46, 0.01, -0.11
EX20, 00:06:46, 0.01, -0.11
EX20, 00:06:46, 0.01, -0.11
