# 
{"kP":"1","kD":"0","kI":"0","density":"997","profile":["dive: 2, 0.3, 30.00, 10.00"]}

dive: 2, 0.3, 30.00, 10.00
EX20, 00:01:07, nan, -0.15
EX20, 00:01:08, 0.10, -0.15
EX20, 00:01:08, 0.10, -0.15
EX20, 00:01:08, 0.10, -0.15
EX20, 00:01:08, 0.10, -0.15
EX20, 00:01:08, 0.10, -0.15
EX20, 00:01:08, 0.10, -0.15
EX20, 00:01:08, 0.10, -0.15
EX20, 00:01:08, 0.10, -0.15
EX20, 00:01:09, 0.10, -0.15
EX20, 00:01:09, 0.10, -0.15
EX20, 00:01:09, 0.10, -0.15
EX20, 00:01:09, 0.10, -0.15
EX20, 00:01:09, 0.10, -0.15
EX20, 00:01:09, 0.10, -0.15
EX20, 00:01:09, 0.10, -0.15
EX20, 00:01:09, 0.10, -0.15
EX20, 00:01:10, 0.10, -0.15
EX20, 00:01:10, 0.10, -0.15
EX20, 00:01:10, 0.10, -0.15
EX20, 00:01:10, 0.10, -0.15
EX20, 00:01:10, 0.10, -0.15
EX20, 00:01:10, 0.10, -0.15
EX20, 00:01:10, 0.10, -0.15
EX20, 00:01:10, 0.10, -0.15
EX20, 00:01:11, 0.10, -0.15
EX20, 00:01:11, 0.10, -0.15
EX20, 00:01:11, 0.10, -0.15
EX20, 00:01:11, 0.10, -0.15
EX20, 00:01:11, 0.10, -0.15
EX20, 00:01:11, 0.10, -0.15
EX20, 00:01:11, 0.10, -0.15
EX20, 00:01:12, 0.10, -0.15
EX20, 00:01:12, 0.10, -0.15
EX20, 00:01:12, 0.10, -0.15

EX20, 00:01:12, 0.10, -0.15
EX20, 00:01:12, 0.10, -0.15
EX20, 00:01:12, 0.10, -0.15
EX20, 00:01:12, 0.10, -0.15
EX20, 00:01:12, 0.10, -0.15
EX20, 00:01:13, 0.10, -0.15
EX20, 00:01:13, 0.10, -0.15
EX20, 00:01:13, 0.10, -0.15
EX20, 00:01:13, 0.10, -0.15
EX20, 00:01:13, 0.10, -0.15
EX20, 00:01:13, 0.10, -0.15
EX20, 00:01:13, 0.10, -0.15
EX20, 00:01:13, 0.10, -0.15
EX20, 00:01:14, 0.10, -0.15
EX20, 00:01:14, 0.10, -0.15
EX20, 00:01:14, 0.10, -0.15
EX20, 00:01:14, 0.10, -0.15
EX20, 00:01:14, 0.10, -0.15
EX20, 00:01:14, 0.10, -0.15
EX20, 00:01:14, 0.10, -0.15
EX20, 00:01:14, 0.10, -0.15
EX20, 00:01:15, 0.10, -0.15
EX20, 00:01:15, 0.10, -0.15
EX20, 00:01:15, 0.10, -0.15
EX20, 00:01:15, 0.10, -0.15
EX20, 00:01:15, 0.10, -0.15
EX20, 00:01:15, 0.10, -0.15
EX20, 00:01:15, 0.10, -0.15
EX20, 00:01:15, 0.10, -0.15
EX20, 00:01:16, 0.10, -0.15
EX20, 00:01:16, 0.10, -0.15
EX20, 00:01:16, 0.10, -0.15
EX20, 00:01:16, 0.10, -0.15
EX20, 00:01:16, 0.10, -0.15
EX20, 00:01:16, 0.10, -0.15

EX20, 00:01:16, 0.10, -0.15
EX20, 00:01:16, 0.10, -0.15
EX20, 00:01:17, 0.10, -0.15
EX20, 00:01:17, 0.10, -0.15
EX20, 00:01:17, 0.10, -0.15
EX20, 00:01:17, 0.10, -0.15
EX20, 00:01:17, 0.10, -0.15
EX20, 00:01:17, 0.10, -0.15
EX20, 00:01:17, 0.10, -0.15


# profile complete
