# 
{"kP":"3","kD":"0","kI":"0","density":"997","profile":["dive: 1, 0.3, 30.00, 30.00"]}

dive: 1, 0.3, 30.00, 30.00
EX20, 00:03:21, -0.07, -0.09
EX20, 00:03:21, 0.08, -0.09
EX20, 00:03:21, 0.08, -0.09
EX20, 00:03:21, 0.08, -0.09
EX20, 00:03:21, 0.08, -0.09
EX20, 00:03:22, 0.08, -0.09
EX20, 00:03:22, 0.08, -0.09
EX20, 00:03:22, 0.09, -0.09
EX20, 00:03:22, 0.09, -0.09
EX20, 00:03:22, 0.09, -0.09
EX20, 00:03:22, 0.09, -0.09
EX20, 00:03:22, 0.09, -0.09
EX20, 00:03:22, 0.09, -0.09
EX20, 00:03:23, 0.08, -0.09
EX20, 00:03:23, 0.08, -0.09
EX20, 00:03:23, 0.08, -0.09
EX20, 00:03:23, 0.08, -0.09
EX20, 00:03:23, 0.08, -0.09
EX20, 00:03:23, 0.08, -0.09
EX20, 00:03:23, 0.08, -0.09
EX20, 00:03:24, 0.08, -0.09
EX20, 00:03:24, 0.08, -0.09
EX20, 00:03:24, 0.08, -0.09
EX20, 00:03:24, 0.08, -0.09
EX20, 00:03:24, 0.08, -0.09
EX20, 00:03:24, 0.08, -0.09
EX20, 00:03:24, 0.08, -0.09
EX20, 00:03:24, 0.08, -0.09
EX20, 00:03:25, 0.08, -0.09
EX20, 00:03:25, 0.08, -0.09
EX20, 00:03:25, 0.08, -0.09
EX20, 00:03:25, 0.08, -0.09
EX20, 00:03:25, 0.08, -0.09
EX20, 00:03:25, 0.08, -0.09
EX20, 00:03:25, 0.08, -0.09

EX20, 00:03:25, 0.08, -0.09
EX20, 00:03:26, 0.08, -0.09
EX20, 00:03:26, 0.08, -0.09
EX20, 00:03:26, 0.08, -0.09
EX20, 00:03:26, 0.08, -0.09
EX20, 00:03:26, 0.08, -0.09
EX20, 00:03:26, 0.08, -0.09
EX20, 00:03:26, 0.08, -0.09
EX20, 00:03:26, 0.09, -0.09
EX20, 00:03:27, 0.09, -0.09
EX20, 00:03:27, 0.09, -0.09
EX20, 00:03:27, 0.09, -0.09
EX20, 00:03:27, 0.09, -0.09
EX20, 00:03:27, 0.09, -0.09
EX20, 00:03:27, 0.07, -0.09
EX20, 00:03:27, 0.07, -0.09
EX20, 00:03:27, 0.07, -0.09
EX20, 00:03:28, 0.07, -0.09
EX20, 00:03:28, 0.07, -0.09
EX20, 00:03:28, 0.07, -0.09
EX20, 00:03:28, 0.08, -0.09
EX20, 00:03:28, 0.08, -0.09
EX20, 00:03:28, 0.08, -0.09
EX20, 00:03:28, 0.08, -0.09
EX20, 00:03:28, 0.08, -0.09
EX20, 00:03:29, 0.08, -0.09
EX20, 00:03:29, 0.08, -0.09
EX20, 00:03:29, 0.08, -0.09
EX20, 00:03:29, 0.08, -0.09
EX20, 00:03:29, 0.08, -0.09
EX20, 00:03:29, 0.08, -0.09
EX20, 00:03:29, 0.08, -0.09
EX20, 00:03:30, 0.08, -0.09
EX20, 00:03:30, 0.08, -0.09
EX20, 00:03:30, 0.08, -0.09

EX20, 00:03:30, 0.08, -0.09
EX20, 00:03:30, 0.08, -0.09
EX20, 00:03:30, 0.08, -0.09
EX20, 00:03:30, 0.08, -0.09
EX20, 00:03:30, 0.08, -0.09
EX20, 00:03:31, 0.08, -0.09
EX20, 00:03:31, 0.08, -0.09
EX20, 00:03:31, 0.08, -0.09
EX20, 00:03:31, 0.08, -0.09
EX20, 00:03:31, 0.08, -0.09
EX20, 00:03:31, 0.08, -0.09
EX20, 00:03:31, 0.08, -0.09
EX20, 00:03:31, 0.08, -0.09
EX20, 00:03:32, 0.08, -0.09
EX20, 00:03:32, 0.08, -0.09
EX20, 00:03:32, 0.08, -0.09
EX20, 00:03:32, 0.08, -0.09
EX20, 00:03:32, 0.08, -0.09
EX20, 00:03:32, 0.08, -0.09
EX20, 00:03:32, 0.08, -0.09
EX20, 00:03:32, 0.08, -0.09
EX20, 00:03:33, 0.08, -0.09
EX20, 00:03:33, 0.08, -0.09
EX20, 00:03:33, 0.08, -0.09
EX20, 00:03:33, 0.08, -0.09
EX20, 00:03:33, 0.08, -0.09
EX20, 00:03:33, 0.08, -0.09
EX20, 00:03:33, 0.08, -0.09
EX20, 00:03:33, 0.08, -0.09
EX20, 00:03:34, 0.08, -0.09
EX20, 00:03:34, 0.08, -0.09
EX20, 00:03:34, 0.08, -0.09
EX20, 00:03:34, 0.08, -0.09
EX20, 00:03:34, 0.07, -0.09
EX20, 00:03:34, 0.07, -0.09

EX20, 00:03:34, 0.07, -0.09
EX20, 00:03:34, 0.07, -0.09
EX20, 00:03:35, 0.07, -0.09
EX20, 00:03:35, 0.07, -0.09
EX20, 00:03:35, 0.07, -0.09
EX20, 00:03:35, 0.08, -0.09
EX20, 00:03:35, 0.08, -0.09
EX20, 00:03:35, 0.08, -0.09
EX20, 00:03:35, 0.08, -0.09
EX20, 00:03:35, 0.08, -0.09
EX20, 00:03:36, 0.08, -0.09
EX20, 00:03:36, 0.08, -0.09
EX20, 00:03:36, 0.08, -0.09
EX20, 00:03:36, 0.08, -0.09
EX20, 00:03:36, 0.08, -0.09
EX20, 00:03:36, 0.08, -0.09
EX20, 00:03:36, 0.08, -0.09
