# 
{"kP":"1","kD":"0","kI":"0","density":"997","profile":["dive: -0.5, 0.4, 30.00, 100.00"]}

dive: -0.5, 0.4, 30.00, 100.00
EX20, 00:01:05, 0.00, -0.07
EX20, 00:01:05, nan, -0.07
EX20, 00:01:05, nan, -0.07
EX20, 00:01:06, nan, -0.07
EX20, 00:01:06, nan, -0.07
EX20, 00:01:06, nan, -0.07
EX20, 00:01:06, nan, -0.07
EX20, 00:01:07, nan, -0.07
EX20, 00:01:07, nan, -0.07
EX20, 00:01:07, nan, -0.07
EX20, 00:01:07, nan, -0.07
EX20, 00:01:07, nan, -0.07
EX20, 00:01:07, nan, -0.07
EX20, 00:01:07, nan, -0.07
EX20, 00:01:07, nan, -0.07
EX20, 00:01:08, nan, -0.07
EX20, 00:01:08, nan, -0.07
EX20, 00:01:08, nan, -0.07
EX20, 00:01:08, nan, -0.07
EX20, 00:01:08, nan, -0.07
EX20, 00:01:08, nan, -0.07
EX20, 00:01:08, nan, -0.07
EX20, 00:01:08, nan, -0.07
EX20, 00:01:09, nan, -0.07
EX20, 00:01:09, nan, -0.07
EX20, 00:01:09, nan, -0.07
EX20, 00:01:09, nan, -0.07
EX20, 00:01:09, nan, -0.07
EX20, 00:01:09, nan, -0.07
EX20, 00:01:09, nan, -0.07
EX20, 00:01:09, nan, -0.07
EX20, 00:01:10, nan, -0.07
EX20, 00:01:10, nan, -0.07
EX20, 00:01:10, nan, -0.07
EX20, 00:01:10, nan, -0.07
EX20, 00:01:10, nan, -0.07
EX20, 00:01:10, nan, -0.07

EX20, 00:01:10, nan, -0.07
EX20, 00:01:11, nan, -0.07
EX20, 00:01:11, nan, -0.07
EX20, 00:01:11, nan, -0.07
EX20, 00:01:11, nan, -0.07
EX20, 00:01:11, nan, -0.07
EX20, 00:01:11, nan, -0.07
EX20, 00:01:11, nan, -0.07
EX20, 00:01:11, nan, -0.07
EX20, 00:01:12, nan, -0.07
EX20, 00:01:12, nan, -0.07
EX20, 00:01:12, nan, -0.07
EX20, 00:01:12, nan, -0.07
EX20, 00:01:12, nan, -0.07
EX20, 00:01:12, nan, -0.07
EX20, 00:01:12, nan, -0.07
EX20, 00:01:12, nan, -0.07
EX20, 00:01:13, nan, -0.07
EX20, 00:01:13, nan, -0.07
EX20, 00:01:13, nan, -0.07
EX20, 00:01:13, nan, -0.07
EX20, 00:01:13, nan, -0.07
EX20, 00:01:13, nan, -0.07
EX20, 00:01:13, nan, -0.07
EX20, 00:01:13, nan, -0.07
EX20, 00:01:14, nan, -0.07
EX20, 00:01:14, nan, -0.07
EX20, 00:01:14, nan, -0.07
EX20, 00:01:14, nan, -0.07
EX20, 00:01:14, nan, -0.07
EX20, 00:01:14, nan, -0.07
EX20, 00:01:14, nan, -0.07
EX20, 00:01:14, nan, -0.07
EX20, 00:01:15, nan, -0.07
EX20, 00:01:15, nan, -0.07
EX20, 00:01:15, nan, -0.07
EX20, 00:01:15, nan, -0.07

EX20, 00:01:15, nan, -0.07
EX20, 00:01:15, nan, -0.07
EX20, 00:01:15, nan, -0.07
EX20, 00:01:15, nan, -0.07
EX20, 00:01:16, nan, -0.07
EX20, 00:01:16, nan, -0.07
EX20, 00:01:16, nan, -0.07
EX20, 00:01:16, nan, -0.07
EX20, 00:01:16, nan, -0.07
EX20, 00:01:16, nan, -0.07
EX20, 00:01:16, nan, -0.07
EX20, 00:01:17, nan, -0.07
EX20, 00:01:17, nan, -0.07
EX20, 00:01:17, nan, -0.07
EX20, 00:01:17, nan, -0.07
EX20, 00:01:17, nan, -0.07
EX20, 00:01:17, nan, -0.07
EX20, 00:01:17, nan, -0.07
EX20, 00:01:17, nan, -0.07
EX20, 00:01:18, nan, -0.07
EX20, 00:01:18, nan, -0.07
