# 
{"kP":"10","kD":"0","kI":"0","density":"997","profile":["led: 3, 252, 207","dive: -5.0, 0.30, 30.00, 500.00"]}

led: 3, 252, 207
EX20, 00:03:44, 103.01, 0.17
EX20, 00:03:44, 103.87, 0.26
EX20, 00:03:44, 104.55, 0.33
EX20, 00:03:44, 105.06, 0.38
EX20, 00:03:45, 105.53, 0.43
EX20, 00:03:45, 105.93, 0.47
EX20, 00:03:45, 106.29, 0.51
EX20, 00:03:45, 106.62, 0.54
EX20, 00:03:45, 106.87, 0.57
EX20, 00:03:45, 107.13, 0.60
EX20, 00:03:45, 107.36, 0.62
EX20, 00:03:46, 107.58, 0.64
EX20, 00:03:46, 107.79, 0.66
EX20, 00:03:46, 107.97, 0.68
EX20, 00:03:46, 108.15, 0.70
EX20, 00:03:46, 108.31, 0.72
EX20, 00:03:46, 108.45, 0.73
EX20, 00:03:46, 108.59, 0.75
EX20, 00:03:46, 108.71, 0.76
EX20, 00:03:47, 108.83, 0.77

EX20, 00:03:47, 108.93, 0.78
EX20, 00:03:47, 109.03, 0.79
EX20, 00:03:47, 109.12, 0.80
EX20, 00:03:47, 109.20, 0.81
EX20, 00:03:47, 109.27, 0.82
EX20, 00:03:47, 109.33, 0.82
EX20, 00:03:47, 109.38, 0.83
EX20, 00:03:48, 109.43, 0.83
EX20, 00:03:48, 109.46, 0.84
EX20, 00:03:48, 109.49, 0.84
EX20, 00:03:48, 109.52, 0.84
EX20, 00:03:48, 109.53, 0.84
EX20, 00:03:48, 109.54, 0.84
EX20, 00:03:48, 109.54, 0.84
EX20, 00:03:48, 109.54, 0.84
EX20, 00:03:49, 109.53, 0.84
EX20, 00:03:49, 109.52, 0.84
EX20, 00:03:49, 109.51, 0.84
EX20, 00:03:49, 109.49, 0.84
EX20, 00:03:49, 109.47, 0.84
EX20, 00:03:49, 109.44, 0.83
EX20, 00:03:49, 109.42, 0.83
EX20, 00:03:49, 109.39, 0.83
EX20, 00:03:50, 109.36, 0.82
EX20, 00:03:50, 109.34, 0.82
EX20, 00:03:50, 109.32, 0.82
EX20, 00:03:50, 109.38, 0.83
EX20, 00:03:50, 109.45, 0.83
EX20, 00:03:50, 109.54, 0.84
EX20, 00:03:50, 109.63, 0.85
EX20, 00:03:50, 109.70, 0.86
