# 
{"kP":"0.04","kD":"0","kI":"0","density":"997","profile":["surface","dive: 2.5, 0.33, 40.0, 500.0, 0.44","dive: 0.4, 0.33, 40.0, 500.0, 0.0","dive: 2.5, 0.33, 40.0, 500.0, 0.44","dive: 0.4, 0.33, 40.0, 500.0, 0.0","surface","led: 0, 0, 125"]}

surface
EX20, 4853, 0.00


# dive: 2.5, 0.33, 40.0, 500.0, 0.44
EX20, 5889, 0.28
EX20, 6903, 0.28
EX20, 7917, 0.28
EX20, 8932, 0.39
EX20, 9946, 0.43
EX20, 10960, 0.41
EX20, 11975, 0.36
EX20, 12989, 0.29
EX20, 14002, 0.28
EX20, 15017, 0.30
EX20, 16031, 0.29
EX20, 17045, 0.28
EX20, 18060, 0.28
EX20, 19074, 0.30
EX20, 20088, 0.31
EX20, 21103, 0.34
EX20, 22117, 0.36
EX20, 23130, 0.39
EX20, 24145, 0.43
EX20, 25159, 0.49
EX20, 26173, 0.55
EX20, 27188, 0.63
EX20, 28202, 0.71
EX20, 29216, 0.78
EX20, 30231, 0.86
EX20, 31245, 0.93
EX20, 32258, 0.99
EX20, 33274, 1.04
EX20, 34287, 1.08
EX20, 35301, 1.11
EX20, 36317, 1.14
EX20, 37331, 1.16
EX20, 38345, 1.18
EX20, 39360, 1.20
EX20, 40374, 1.23
EX20, 41388, 1.27
EX20, 42403, 1.32
EX20, 43417, 1.36
EX20, 44431, 1.41
EX20, 45446, 1.46
EX20, 46460, 1.50
EX20, 47474, 1.54
EX20, 48489, 1.57
EX20, 49503, 1.59
EX20, 50517, 1.60
EX20, 51532, 1.61
EX20, 52546, 1.61
EX20, 53560, 1.62
EX20, 54575, 1.64
EX20, 55589, 1.66
EX20, 56603, 1.69
EX20, 57618, 1.72
EX20, 58632, 1.76
EX20, 59646, 1.80
EX20, 60661, 1.84

EX20, 61701, 1.87
EX20, 62715, 1.90
EX20, 63730, 1.92
EX20, 64744, 1.93
EX20, 65758, 1.93
EX20, 66773, 1.93
