# 
{"kP":"1","kD":"0","kI":"0","density":"997","profile":["dive: 0.5, 0.1, 15.00, 30.00"]}

dive: 0.5, 0.1, 15.00, 30.00
EX20, 00:05:00, 0.02, -0.07
EX20, 00:05:00, -0.03, -0.07
EX20, 00:05:00, -0.03, -0.07
EX20, 00:05:00, -0.03, -0.07
EX20, 00:05:00, -0.03, -0.07
EX20, 00:05:00, -0.03, -0.07
EX20, 00:05:01, -0.03, -0.07
EX20, 00:05:01, -0.03, -0.07
EX20, 00:05:01, -0.03, -0.07
EX20, 00:05:01, -0.03, -0.07
EX20, 00:05:01, -0.03, -0.07
EX20, 00:05:01, -0.03, -0.07
EX20, 00:05:01, -0.03, -0.07
EX20, 00:05:02, -0.03, -0.07
EX20, 00:05:02, -0.03, -0.07
EX20, 00:05:02, -0.03, -0.07
EX20, 00:05:02, -0.03, -0.07
EX20, 00:05:02, -0.03, -0.07
EX20, 00:05:02, -0.03, -0.07
EX20, 00:05:02, -0.03, -0.07
EX20, 00:05:02, -0.03, -0.07
EX20, 00:05:03, -0.03, -0.07
EX20, 00:05:03, -0.03, -0.07
EX20, 00:05:03, -0.03, -0.07
EX20, 00:05:03, -0.03, -0.07
EX20, 00:05:03, -0.03, -0.07
EX20, 00:05:03, -0.03, -0.07
EX20, 00:05:03, -0.03, -0.07
EX20, 00:05:03, -0.03, -0.07
EX20, 00:05:04, -0.03, -0.07
EX20, 00:05:04, -0.03, -0.07
EX20, 00:05:04, -0.03, -0.07
EX20, 00:05:04, -0.03, -0.07
EX20, 00:05:04, -0.03, -0.07

EX20, 00:05:04, -0.03, -0.07
EX20, 00:05:04, -0.03, -0.07
EX20, 00:05:04, -0.03, -0.07
EX20, 00:05:05, -0.03, -0.07
EX20, 00:05:05, -0.03, -0.07
EX20, 00:05:05, -0.03, -0.07
EX20, 00:05:05, -0.03, -0.07
EX20, 00:05:05, -0.03, -0.07
EX20, 00:05:05, -0.03, -0.07
EX20, 00:05:05, -0.03, -0.07
