# 
{"kP":"3","kD":"0","kI":"0","density":"997","profile":["dive: 2, 0.3, 30.00, 30.00"]}

dive: 2, 0.3, 30.00, 30.00
EX20, 00:01:41, 0.00, -0.09
EX20, 00:01:41, 0.00, -0.09
EX20, 00:01:41, 0.00, -0.09
EX20, 00:01:42, 0.00, -0.09
EX20, 00:01:42, 0.00, -0.09
EX20, 00:01:42, 0.00, -0.09
EX20, 00:01:42, 0.00, -0.09
EX20, 00:01:42, 0.00, -0.09
EX20, 00:01:42, 0.00, -0.09
EX20, 00:01:42, 0.00, -0.09
EX20, 00:01:42, 0.00, -0.09
EX20, 00:01:43, 0.00, -0.09
EX20, 00:01:43, 0.00, -0.09
EX20, 00:01:43, 0.00, -0.09
EX20, 00:01:43, 0.00, -0.09
EX20, 00:01:43, 0.00, -0.09
EX20, 00:01:43, 0.00, -0.09
EX20, 00:01:43, 0.00, -0.09
EX20, 00:01:44, 0.00, -0.09
EX20, 00:01:44, 0.00, -0.09
EX20, 00:01:44, 0.00, -0.09
EX20, 00:01:44, 0.00, -0.09
EX20, 00:01:44, 0.00, -0.09
EX20, 00:01:44, 0.00, -0.09
EX20, 00:01:44, 0.00, -0.09
EX20, 00:01:44, 0.00, -0.09
EX20, 00:01:45, 0.00, -0.09
EX20, 00:01:45, 0.00, -0.09
EX20, 00:01:45, 0.00, -0.09
EX20, 00:01:45, 0.00, -0.09
EX20, 00:01:45, 0.00, -0.09
EX20, 00:01:45, 0.00, -0.09
EX20, 00:01:45, 0.00, -0.09
EX20, 00:01:45, 0.00, -0.09
EX20, 00:01:46, 0.00, -0.09

EX20, 00:01:46, 0.00, -0.09
EX20, 00:01:46, 0.00, -0.09
EX20, 00:01:46, 0.00, -0.09
EX20, 00:01:46, 0.00, -0.09
EX20, 00:01:46, 0.00, -0.09
EX20, 00:01:46, 0.00, -0.09
EX20, 00:01:46, 0.00, -0.09
EX20, 00:01:47, 0.00, -0.09
EX20, 00:01:47, 0.00, -0.09
EX20, 00:01:47, 0.00, -0.09
EX20, 00:01:47, 0.00, -0.09
EX20, 00:01:47, 0.00, -0.09
EX20, 00:01:47, 0.00, -0.09
EX20, 00:01:47, 0.00, -0.09
EX20, 00:01:47, 0.00, -0.09
EX20, 00:01:48, 0.00, -0.09
EX20, 00:01:48, 0.00, -0.09
EX20, 00:01:48, 0.00, -0.09
EX20, 00:01:48, 0.00, -0.09
EX20, 00:01:48, 0.00, -0.09
EX20, 00:01:48, 0.00, -0.09
EX20, 00:01:48, 0.00, -0.09
EX20, 00:01:48, 0.00, -0.09
EX20, 00:01:49, 0.00, -0.09
EX20, 00:01:49, 0.00, -0.09
EX20, 00:01:49, 0.00, -0.09
EX20, 00:01:49, 0.00, -0.09
EX20, 00:01:49, 0.00, -0.09
EX20, 00:01:49, 0.00, -0.09
EX20, 00:01:49, 0.00, -0.09
EX20, 00:01:49, 0.00, -0.09
EX20, 00:01:50, 0.00, -0.09
EX20, 00:01:50, 0.00, -0.09
EX20, 00:01:50, 0.00, -0.09
EX20, 00:01:50, 0.00, -0.09

EX20, 00:01:50, 0.00, -0.09
EX20, 00:01:50, 0.00, -0.09
EX20, 00:01:50, 0.00, -0.09
EX20, 00:01:50, 0.00, -0.09
EX20, 00:01:51, 0.00, -0.09
EX20, 00:01:51, 0.00, -0.09
EX20, 00:01:51, 0.00, -0.09
EX20, 00:01:51, 0.00, -0.09
EX20, 00:01:51, 0.00, -0.09
EX20, 00:01:51, 0.00, -0.09
EX20, 00:01:51, 0.00, -0.09
EX20, 00:01:52, 0.00, -0.09
EX20, 00:01:52, 0.00, -0.09
EX20, 00:01:52, 0.00, -0.09
EX20, 00:01:52, 0.00, -0.09
EX20, 00:01:52, 0.00, -0.09
EX20, 00:01:52, 0.00, -0.09
EX20, 00:01:52, 0.00, -0.09
EX20, 00:01:52, 0.00, -0.09
EX20, 00:01:53, 0.00, -0.09
EX20, 00:01:53, 0.00, -0.09
EX20, 00:01:53, 0.00, -0.09
EX20, 00:01:53, 0.00, -0.09
EX20, 00:01:53, 0.00, -0.09
EX20, 00:01:53, 0.00, -0.09
EX20, 00:01:53, 0.00, -0.09
EX20, 00:01:53, 0.00, -0.09
EX20, 00:01:54, 0.00, -0.09
EX20, 00:01:54, 0.00, -0.09
EX20, 00:01:54, 0.00, -0.09
EX20, 00:01:54, 0.00, -0.09
EX20, 00:01:54, 0.00, -0.09
EX20, 00:01:54, 0.00, -0.09
EX20, 00:01:54, 0.00, -0.09
EX20, 00:01:54, 0.00, -0.09

EX20, 00:01:55, 0.00, -0.09
EX20, 00:01:55, 0.00, -0.09
EX20, 00:01:55, 0.00, -0.09
EX20, 00:01:55, 0.00, -0.09
EX20, 00:01:55, 0.00, -0.09
EX20, 00:01:55, 0.00, -0.09
EX20, 00:01:55, 0.00, -0.09
EX20, 00:01:55, 0.00, -0.09
EX20, 00:01:56, 0.00, -0.09
EX20, 00:01:56, 0.00, -0.09
EX20, 00:01:56, 0.00, -0.09
EX20, 00:01:56, 0.00, -0.09
EX20, 00:01:56, 0.00, -0.09
EX20, 00:01:56, 0.00, -0.09
EX20, 00:01:56, 0.00, -0.09
EX20, 00:01:56, 0.00, -0.09
EX20, 00:01:57, 0.00, -0.09
EX20, 00:01:57, 0.00, -0.09
EX20, 00:01:57, 0.00, -0.09
EX20, 00:01:57, 0.00, -0.09
EX20, 00:01:57, 0.00, -0.09
EX20, 00:01:57, 0.00, -0.09
EX20, 00:01:57, 0.00, -0.09
EX20, 00:01:57, 0.00, -0.09
EX20, 00:01:58, 0.00, -0.09
EX20, 00:01:58, 0.00, -0.09
EX20, 00:01:58, 0.00, -0.09
EX20, 00:01:58, 0.00, -0.09
EX20, 00:01:58, 0.00, -0.09
EX20, 00:01:58, 0.00, -0.09
