# 
{"kP":"0.1","kD":"0","kI":"0","density":"997","profile":["dive: -2, 0.3, 30.00, 60.00"]}

dive: -2, 0.3, 30.00, 60.00
EX20, 00:17:06, -0.01, -0.09
EX20, 00:17:06, -0.00, -0.09
EX20, 00:17:06, -0.00, -0.09
EX20, 00:17:06, -0.00, -0.09
EX20, 00:17:06, -0.00, -0.09
EX20, 00:17:06, -0.00, -0.09
EX20, 00:17:06, -0.00, -0.09
EX20, 00:17:07, -0.00, -0.09
EX20, 00:17:07, -0.00, -0.09
EX20, 00:17:07, -0.00, -0.09
EX20, 00:17:07, -0.00, -0.09
EX20, 00:17:07, -0.00, -0.09
EX20, 00:17:07, -0.00, -0.09
EX20, 00:17:07, -0.00, -0.09
EX20, 00:17:07, -0.00, -0.09
EX20, 00:17:08, -0.00, -0.09
EX20, 00:17:08, -0.00, -0.09
EX20, 00:17:08, -0.00, -0.09
EX20, 00:17:08, -0.00, -0.09
EX20, 00:17:08, -0.00, -0.09
EX20, 00:17:08, -0.00, -0.09
EX20, 00:17:08, -0.00, -0.09
EX20, 00:17:08, -0.00, -0.09
EX20, 00:17:09, -0.00, -0.09
EX20, 00:17:09, -0.00, -0.09
EX20, 00:17:09, -0.00, -0.09
EX20, 00:17:09, -0.00, -0.09
EX20, 00:17:09, -0.00, -0.09
EX20, 00:17:09, -0.00, -0.09
EX20, 00:17:09, -0.00, -0.09
EX20, 00:17:09, -0.00, -0.09
EX20, 00:17:10, -0.00, -0.09
EX20, 00:17:10, -0.00, -0.09
EX20, 00:17:10, -0.00, -0.09

EX20, 00:17:10, -0.00, -0.09
EX20, 00:17:10, -0.00, -0.09
EX20, 00:17:10, -0.00, -0.09
EX20, 00:17:10, -0.00, -0.09
EX20, 00:17:10, -0.00, -0.09
EX20, 00:17:11, -0.00, -0.09
EX20, 00:17:11, -0.00, -0.09
EX20, 00:17:11, -0.00, -0.09
EX20, 00:17:11, -0.00, -0.09
EX20, 00:17:11, -0.00, -0.09
EX20, 00:17:11, -0.00, -0.09
EX20, 00:17:11, -0.00, -0.09
EX20, 00:17:11, -0.00, -0.09
EX20, 00:17:12, -0.00, -0.09
EX20, 00:17:12, -0.00, -0.09
EX20, 00:17:12, -0.00, -0.09
EX20, 00:17:12, -0.00, -0.09
EX20, 00:17:12, -0.00, -0.09
EX20, 00:17:12, -0.00, -0.09
EX20, 00:17:12, -0.00, -0.09
EX20, 00:17:13, -0.00, -0.09
EX20, 00:17:13, -0.00, -0.09
EX20, 00:17:13, -0.00, -0.09
EX20, 00:17:13, -0.00, -0.09
EX20, 00:17:13, -0.00, -0.09
EX20, 00:17:13, -0.00, -0.09
EX20, 00:17:13, -0.00, -0.09
EX20, 00:17:13, -0.00, -0.09
EX20, 00:17:14, -0.00, -0.09
EX20, 00:17:14, -0.00, -0.09
EX20, 00:17:14, -0.00, -0.09
EX20, 00:17:14, -0.00, -0.09
EX20, 00:17:14, -0.00, -0.09
EX20, 00:17:14, -0.00, -0.09

EX20, 00:17:14, -0.00, -0.09
EX20, 00:17:14, -0.00, -0.09
EX20, 00:17:15, -0.00, -0.09
EX20, 00:17:15, -0.00, -0.09
EX20, 00:17:15, -0.00, -0.09
EX20, 00:17:15, -0.00, -0.09
EX20, 00:17:15, -0.00, -0.09
EX20, 00:17:15, -0.00, -0.09
EX20, 00:17:15, -0.00, -0.09
EX20, 00:17:15, -0.00, -0.09
EX20, 00:17:16, -0.00, -0.09
EX20, 00:17:16, -0.00, -0.09
EX20, 00:17:16, -0.00, -0.09
EX20, 00:17:16, -0.00, -0.09
EX20, 00:17:16, -0.00, -0.09
EX20, 00:17:16, -0.00, -0.09
EX20, 00:17:16, -0.00, -0.09
EX20, 00:17:16, -0.00, -0.09
EX20, 00:17:17, -0.00, -0.09
EX20, 00:17:17, -0.00, -0.09
EX20, 00:17:17, -0.00, -0.09
EX20, 00:17:17, -0.00, -0.09
EX20, 00:17:17, -0.00, -0.09
EX20, 00:17:17, -0.00, -0.09
EX20, 00:17:17, -0.00, -0.09
EX20, 00:17:17, -0.00, -0.09
EX20, 00:17:18, -0.00, -0.09
EX20, 00:17:18, -0.00, -0.09
EX20, 00:17:18, -0.00, -0.09
EX20, 00:17:18, -0.00, -0.09
EX20, 00:17:18, -0.00, -0.09
EX20, 00:17:18, -0.00, -0.09
EX20, 00:17:18, -0.00, -0.09
EX20, 00:17:18, -0.00, -0.09

EX20, 00:17:19, -0.00, -0.09
EX20, 00:17:19, -0.00, -0.09
EX20, 00:17:19, -0.00, -0.09
EX20, 00:17:19, -0.00, -0.09
EX20, 00:17:19, -0.00, -0.09
EX20, 00:17:19, -0.00, -0.09
EX20, 00:17:19, -0.00, -0.09
EX20, 00:17:19, -0.00, -0.09
EX20, 00:17:20, -0.00, -0.09
EX20, 00:17:20, -0.00, -0.09
EX20, 00:17:20, -0.00, -0.09
EX20, 00:17:20, -0.00, -0.09
EX20, 00:17:20, -0.00, -0.09
EX20, 00:17:20, -0.00, -0.09
EX20, 00:17:20, -0.00, -0.09
EX20, 00:17:21, -0.00, -0.09
EX20, 00:17:21, -0.00, -0.09
EX20, 00:17:21, -0.00, -0.09
EX20, 00:17:21, -0.00, -0.09
