# 
{"kP":"0.1","kD":"0","kI":"0","density":"997","profile":["dive: 1.8, 0.30, 30.00, 300.00","surface"]}

dive: 1.8, 0.30, 30.00, 300.00
EX20, 00:09:32, 0.16, 0.29
EX20, 00:09:32, 0.16, 0.31
EX20, 00:09:32, 0.16, 0.33
EX20, 00:09:32, 0.16, 0.34
EX20, 00:09:33, 0.16, 0.36
EX20, 00:09:33, 0.14, 0.37
EX20, 00:09:33, 0.14, 0.39
EX20, 00:09:33, 0.14, 0.41
EX20, 00:09:33, 0.14, 0.43
EX20, 00:09:33, 0.14, 0.44
EX20, 00:09:33, 0.14, 0.46
EX20, 00:09:33, 0.14, 0.48
EX20, 00:09:34, 0.14, 0.50
EX20, 00:09:34, 0.13, 0.52
EX20, 00:09:34, 0.13, 0.54
EX20, 00:09:34, 0.13, 0.56
EX20, 00:09:34, 0.13, 0.58
EX20, 00:09:34, 0.13, 0.60
EX20, 00:09:34, 0.13, 0.62
EX20, 00:09:34, 0.13, 0.64
EX20, 00:09:35, 0.13, 0.66
EX20, 00:09:35, 0.11, 0.68
EX20, 00:09:35, 0.11, 0.70
EX20, 00:09:35, 0.11, 0.72
EX20, 00:09:35, 0.11, 0.74
EX20, 00:09:35, 0.11, 0.77
EX20, 00:09:35, 0.11, 0.79
EX20, 00:09:35, 0.11, 0.81
EX20, 00:09:36, 0.11, 0.83
EX20, 00:09:36, 0.10, 0.85

EX20, 00:09:36, 0.10, 0.87
EX20, 00:09:36, 0.10, 0.90
EX20, 00:09:36, 0.10, 0.92
EX20, 00:09:36, 0.10, 0.94
EX20, 00:09:36, 0.10, 0.97
EX20, 00:09:36, 0.10, 0.99
EX20, 00:09:37, 0.10, 1.01
EX20, 00:09:37, 0.08, 1.04
EX20, 00:09:37, 0.08, 1.06
EX20, 00:09:37, 0.08, 1.08
EX20, 00:09:37, 0.08, 1.11
EX20, 00:09:37, 0.08, 1.13
EX20, 00:09:37, 0.08, 1.15
EX20, 00:09:38, 0.08, 1.18
EX20, 00:09:38, 0.08, 1.20
EX20, 00:09:38, 0.06, 1.23
EX20, 00:09:38, 0.06, 1.25
EX20, 00:09:38, 0.06, 1.27
EX20, 00:09:38, 0.06, 1.30
EX20, 00:09:38, 0.06, 1.32
EX20, 00:09:38, 0.06, 1.34
EX20, 00:09:39, 0.06, 1.37
EX20, 00:09:39, 0.06, 1.39
EX20, 00:09:39, 0.04, 1.42
EX20, 00:09:39, 0.04, 1.44
EX20, 00:09:39, 0.04, 1.46
EX20, 00:09:39, 0.04, 1.49
EX20, 00:09:39, 0.04, 1.51
EX20, 00:09:39, 0.04, 1.53
EX20, 00:09:40, 0.04, 1.56
EX20, 00:09:40, 0.04, 1.58
EX20, 00:09:40, 0.02, 1.61
EX20, 00:09:40, 0.02, 1.63
EX20, 00:09:40, 0.02, 1.65
EX20, 00:09:40, 0.02, 1.68
EX20, 00:09:40, 0.02, 1.70
EX20, 00:09:40, 0.02, 1.72

EX20, 00:09:41, 0.02, 1.75
EX20, 00:09:41, 0.02, 1.77
EX20, 00:09:41, 0.00, 1.79
EX20, 00:09:41, 0.00, 1.82
EX20, 00:09:41, 0.00, 1.84
EX20, 00:09:41, 0.00, 1.86
EX20, 00:09:41, 0.00, 1.89
EX20, 00:09:41, 0.00, 1.91
