# 
{"kP":"0.1","kD":"0","kI":"0","density":"997","profile":["dive: 1.8, 0.30, 30.00, 300.00","surface"]}

dive: 1.8, 0.30, 30.00, 300.00
EX20, 00:00:51, 0.00, -0.08
EX20, 00:00:52, nan, -0.08
EX20, 00:00:52, nan, -0.08
EX20, 00:00:52, nan, -0.08
EX20, 00:00:52, nan, -0.08
EX20, 00:00:52, nan, -0.08
EX20, 00:00:52, nan, -0.08
EX20, 00:00:52, nan, -0.08
EX20, 00:00:52, nan, -0.08
EX20, 00:00:53, nan, -0.08
EX20, 00:00:53, nan, -0.08
EX20, 00:00:53, nan, -0.08
EX20, 00:00:53, nan, -0.08
EX20, 00:00:53, nan, -0.08
EX20, 00:00:53, nan, -0.08
EX20, 00:00:53, nan, -0.08
EX20, 00:00:53, nan, -0.08
EX20, 00:00:54, nan, -0.08
EX20, 00:00:54, nan, -0.08
EX20, 00:00:54, nan, -0.08
EX20, 00:00:54, nan, -0.08
EX20, 00:00:54, nan, -0.08
EX20, 00:00:54, nan, -0.08
EX20, 00:00:54, nan, -0.08
EX20, 00:00:54, nan, -0.08
EX20, 00:00:55, nan, -0.08
EX20, 00:00:55, nan, -0.08
EX20, 00:00:55, nan, -0.08
EX20, 00:00:55, nan, -0.08
EX20, 00:00:55, nan, -0.08
EX20, 00:00:55, nan, -0.08
EX20, 00:00:55, nan, -0.08
EX20, 00:00:55, nan, -0.08
EX20, 00:00:56, nan, -0.08
EX20, 00:00:56, nan, -0.08
EX20, 00:00:56, nan, -0.08
EX20, 00:00:56, nan, -0.08

EX20, 00:00:56, nan, -0.08
EX20, 00:00:56, nan, -0.08
EX20, 00:00:56, nan, -0.08
EX20, 00:00:56, nan, -0.07
EX20, 00:00:57, nan, -0.08
EX20, 00:00:57, nan, -0.07
EX20, 00:00:57, nan, -0.08
EX20, 00:00:57, nan, -0.08
EX20, 00:00:57, nan, -0.08
EX20, 00:00:57, nan, -0.08
EX20, 00:00:57, nan, -0.07
EX20, 00:00:58, nan, -0.08
EX20, 00:00:58, nan, -0.08
EX20, 00:00:58, nan, -0.08
EX20, 00:00:58, nan, -0.08
EX20, 00:00:58, nan, -0.08
EX20, 00:00:58, nan, -0.08
EX20, 00:00:58, nan, -0.08
EX20, 00:00:58, nan, -0.08
EX20, 00:00:59, nan, -0.08
EX20, 00:00:59, nan, -0.08
EX20, 00:00:59, nan, -0.08
EX20, 00:00:59, nan, -0.08
EX20, 00:00:59, nan, -0.08
EX20, 00:00:59, nan, -0.08
EX20, 00:00:59, nan, -0.08
EX20, 00:00:59, nan, -0.08
EX20, 00:01:00, nan, -0.08
EX20, 00:01:00, nan, -0.08
EX20, 00:01:00, nan, -0.08
EX20, 00:01:00, nan, -0.07
EX20, 00:01:00, nan, -0.08
EX20, 00:01:00, nan, -0.08
EX20, 00:01:00, nan, -0.08
EX20, 00:01:00, nan, -0.08
EX20, 00:01:01, nan, -0.08
EX20, 00:01:01, nan, -0.08

EX20, 00:01:01, nan, -0.08
EX20, 00:01:01, nan, -0.08
EX20, 00:01:01, nan, -0.08
EX20, 00:01:01, nan, -0.08
EX20, 00:01:01, nan, -0.08
EX20, 00:01:01, nan, -0.08
EX20, 00:01:02, nan, -0.07
EX20, 00:01:02, nan, -0.08
EX20, 00:01:02, nan, -0.08
EX20, 00:01:02, nan, -0.08
EX20, 00:01:02, nan, -0.07
EX20, 00:01:02, nan, -0.08
EX20, 00:01:02, nan, -0.08
EX20, 00:01:02, nan, -0.08
EX20, 00:01:03, nan, -0.08
EX20, 00:01:03, nan, -0.08
EX20, 00:01:03, nan, -0.08
EX20, 00:01:03, nan, -0.08
EX20, 00:01:03, nan, -0.08
EX20, 00:01:03, nan, -0.08
EX20, 00:01:03, nan, -0.08
EX20, 00:01:03, nan, -0.08
EX20, 00:01:04, nan, -0.08
EX20, 00:01:04, nan, -0.08
EX20, 00:01:04, nan, -0.08
EX20, 00:01:04, nan, -0.08
EX20, 00:01:04, nan, -0.08
EX20, 00:01:04, nan, -0.08
EX20, 00:01:04, nan, -0.08
EX20, 00:01:04, nan, -0.08
EX20, 00:01:05, nan, -0.08
EX20, 00:01:05, nan, -0.07
EX20, 00:01:05, nan, -0.08
EX20, 00:01:05, nan, -0.08
EX20, 00:01:05, nan, -0.08
EX20, 00:01:05, nan, -0.08
EX20, 00:01:05, nan, -0.08

