# 
{"kP":"1","kD":"0","kI":"0","density":"997","profile":["dive: -2, 0.3, 5.00, 10.00"]}

dive: -2, 0.3, 5.00, 10.00
EX20, 00:22:06, -0.05, -0.09
EX20, 00:22:06, -0.05, -0.09
EX20, 00:22:06, -0.05, -0.09
EX20, 00:22:06, -0.05, -0.09
EX20, 00:22:06, -0.05, -0.09
EX20, 00:22:06, -0.05, -0.09
EX20, 00:22:07, -0.05, -0.09
EX20, 00:22:07, -0.05, -0.09
EX20, 00:22:07, -0.05, -0.09
EX20, 00:22:07, -0.05, -0.09
EX20, 00:22:07, -0.05, -0.09
EX20, 00:22:07, -0.05, -0.09
EX20, 00:22:07, -0.05, -0.09
EX20, 00:22:07, -0.05, -0.09
EX20, 00:22:08, -0.05, -0.09
EX20, 00:22:08, -0.05, -0.09
EX20, 00:22:08, -0.05, -0.09
EX20, 00:22:08, -0.05, -0.09
EX20, 00:22:08, -0.05, -0.09
EX20, 00:22:08, -0.05, -0.09
EX20, 00:22:08, -0.05, -0.09
EX20, 00:22:08, -0.05, -0.09
EX20, 00:22:09, -0.05, -0.09
EX20, 00:22:09, -0.05, -0.09
EX20, 00:22:09, -0.05, -0.09
EX20, 00:22:09, -0.05, -0.09
EX20, 00:22:09, -0.05, -0.09
EX20, 00:22:09, -0.05, -0.09
EX20, 00:22:09, -0.05, -0.09
EX20, 00:22:09, -0.05, -0.09
EX20, 00:22:10, -0.05, -0.09
EX20, 00:22:10, -0.05, -0.09
EX20, 00:22:10, -0.05, -0.09
EX20, 00:22:10, -0.05, -0.09

EX20, 00:22:10, -0.05, -0.09
EX20, 00:22:10, -0.05, -0.09
EX20, 00:22:10, -0.05, -0.09
EX20, 00:22:11, -0.05, -0.09
EX20, 00:22:11, -0.05, -0.09
EX20, 00:22:11, -0.05, -0.09
EX20, 00:22:11, -0.05, -0.09
EX20, 00:22:11, -0.05, -0.09
EX20, 00:22:11, -0.05, -0.09
EX20, 00:22:11, -0.05, -0.09
EX20, 00:22:11, -0.05, -0.09
EX20, 00:22:12, -0.05, -0.09
EX20, 00:22:12, -0.05, -0.09
EX20, 00:22:12, -0.05, -0.09
EX20, 00:22:12, -0.05, -0.09
EX20, 00:22:12, -0.05, -0.09
EX20, 00:22:12, -0.05, -0.09
EX20, 00:22:12, -0.05, -0.09
EX20, 00:22:12, -0.05, -0.09
EX20, 00:22:13, -0.05, -0.09
EX20, 00:22:13, -0.05, -0.09
EX20, 00:22:13, -0.05, -0.09
EX20, 00:22:13, -0.05, -0.09
EX20, 00:22:13, -0.05, -0.09
EX20, 00:22:13, -0.05, -0.09
EX20, 00:22:13, -0.05, -0.09
EX20, 00:22:13, -0.05, -0.09
EX20, 00:22:14, -0.05, -0.09
EX20, 00:22:14, -0.05, -0.09
EX20, 00:22:14, -0.05, -0.09
EX20, 00:22:14, -0.05, -0.09
EX20, 00:22:14, -0.05, -0.09
EX20, 00:22:14, -0.05, -0.09
EX20, 00:22:14, -0.05, -0.09

EX20, 00:22:14, -0.05, -0.09
EX20, 00:22:15, -0.05, -0.09
EX20, 00:22:15, -0.05, -0.09
EX20, 00:22:15, -0.05, -0.09
EX20, 00:22:15, -0.05, -0.09
EX20, 00:22:15, -0.05, -0.09
EX20, 00:22:15, -0.05, -0.09
EX20, 00:22:15, -0.05, -0.09
EX20, 00:22:15, -0.05, -0.09
EX20, 00:22:16, -0.05, -0.09
EX20, 00:22:16, -0.05, -0.09


# profile complete
