# 
{"kP":"2","kD":"0","kI":"0","density":"997","profile":["dive: 1.4, 0.30, 30.00, 300.00","surface"]}

dive: 1.4, 0.30, 30.00, 300.00
EX20, 00:23:11, -0.30, 1.64
EX20, 00:23:11, -0.30, 1.67
EX20, 00:23:11, -0.30, 1.69
EX20, 00:23:11, -0.30, 1.72
EX20, 00:23:11, -0.30, 1.75
EX20, 00:23:11, -0.73, 1.78
EX20, 00:23:11, -0.73, 1.80
EX20, 00:23:12, -0.73, 1.83
EX20, 00:23:12, -0.73, 1.86
EX20, 00:23:12, -0.73, 1.89
EX20, 00:23:12, -0.73, 1.91
EX20, 00:23:12, -0.73, 1.94
EX20, 00:23:12, -0.73, 1.97
EX20, 00:23:12, -1.18, 2.00
EX20, 00:23:12, -1.18, 2.03
EX20, 00:23:13, -1.18, 2.05
EX20, 00:23:13, -1.18, 2.08
EX20, 00:23:13, -1.18, 2.11
EX20, 00:23:13, -1.18, 2.14
EX20, 00:23:13, -1.18, 2.17
EX20, 00:23:13, -1.18, 2.19
EX20, 00:23:13, -1.62, 2.22
EX20, 00:23:14, -1.62, 2.25
EX20, 00:23:14, -1.62, 2.28
EX20, 00:23:14, -1.62, 2.30
EX20, 00:23:14, -1.62, 2.33
EX20, 00:23:14, -1.62, 2.36
EX20, 00:23:14, -1.62, 2.39
EX20, 00:23:14, -1.62, 2.42
EX20, 00:23:14, -2.07, 2.44
EX20, 00:23:15, -2.07, 2.47
EX20, 00:23:15, -2.07, 2.50

EX20, 00:23:15, -2.07, 2.53
EX20, 00:23:15, -2.07, 2.55
EX20, 00:23:15, -2.07, 2.58
EX20, 00:23:15, -2.07, 2.61
EX20, 00:23:15, -2.07, 2.63
EX20, 00:23:15, -2.51, 2.66
EX20, 00:23:16, -2.51, 2.69
EX20, 00:23:16, -2.51, 2.72
EX20, 00:23:16, -2.51, 2.74
EX20, 00:23:16, -2.51, 2.77
EX20, 00:23:16, -2.51, 2.80
EX20, 00:23:16, -2.51, 2.82
EX20, 00:23:16, -2.51, 2.85
EX20, 00:23:16, -2.94, 2.88
EX20, 00:23:17, -2.94, 2.90
EX20, 00:23:17, -2.94, 2.93
EX20, 00:23:17, -2.94, 2.96
EX20, 00:23:17, -2.94, 2.98
EX20, 00:23:17, -2.94, 3.01
EX20, 00:23:17, -2.94, 3.04
EX20, 00:23:17, -2.94, 3.06
EX20, 00:23:17, -3.36, 3.09
EX20, 00:23:18, -3.36, 3.11
EX20, 00:23:18, -3.36, 3.14
EX20, 00:23:18, -3.36, 3.16
EX20, 00:23:18, -3.36, 3.19
EX20, 00:23:18, -3.36, 3.22
EX20, 00:23:18, -3.36, 3.24
EX20, 00:23:18, -3.36, 3.27
EX20, 00:23:18, -3.76, 3.29
EX20, 00:23:19, -3.76, 3.32
EX20, 00:23:19, -3.76, 3.34
EX20, 00:23:19, -3.76, 3.36
EX20, 00:23:19, -3.76, 3.36
EX20, 00:23:19, -3.76, 3.36

EX20, 00:23:19, -3.76, 3.36
EX20, 00:23:19, -3.76, 3.36
EX20, 00:23:19, -3.92, 3.36
EX20, 00:23:20, -3.92, 3.36
EX20, 00:23:20, -3.92, 3.36
EX20, 00:23:20, -3.92, 3.36
EX20, 00:23:20, -3.92, 3.36
EX20, 00:23:20, -3.92, 3.36
EX20, 00:23:20, -3.92, 3.36
EX20, 00:23:20, -3.92, 3.36
EX20, 00:23:20, -3.91, 3.36
EX20, 00:23:21, -3.91, 3.36
EX20, 00:23:21, -3.91, 3.36
EX20, 00:23:21, -3.91, 3.36
EX20, 00:23:21, -3.91, 3.36
