# 
{"kP":"5","kD":"0","kI":"0","density":"997","profile":["dive: 2, 0.3, 30.00, 120.00"]}

dive: 2, 0.3, 30.00, 120.00
EX20, 00:14:58, nan, -0.10
EX20, 00:14:58, nan, -0.10
EX20, 00:14:58, nan, -0.10
EX20, 00:14:58, nan, -0.10
EX20, 00:15:01, nan, -0.10
EX20, 00:15:01, nan, -0.11
EX20, 00:15:01, nan, -0.11
EX20, 00:15:01, nan, -0.11
EX20, 00:15:01, nan, -0.11
EX20, 00:15:01, nan, -0.10
EX20, 00:15:01, nan, -0.11
EX20, 00:15:02, nan, -0.10
EX20, 00:15:02, nan, -0.10
EX20, 00:15:03, nan, -0.11
EX20, 00:15:03, nan, -0.11
EX20, 00:15:03, nan, -0.11
EX20, 00:15:03, nan, -0.11
EX20, 00:15:03, nan, -0.11
EX20, 00:15:03, nan, -0.11
EX20, 00:15:03, nan, -0.10
EX20, 00:15:04, nan, -0.10
EX20, 00:15:04, nan, -0.10
EX20, 00:15:04, nan, -0.10
EX20, 00:15:04, nan, -0.10
EX20, 00:15:04, nan, -0.10
EX20, 00:15:04, nan, -0.10
EX20, 00:15:04, nan, -0.10
EX20, 00:15:05, nan, -0.10
EX20, 00:15:05, nan, -0.10
EX20, 00:15:05, nan, -0.10
EX20, 00:15:05, nan, -0.10
EX20, 00:15:05, nan, -0.10
EX20, 00:15:05, nan, -0.10
EX20, 00:15:05, nan, -0.10
EX20, 00:15:05, nan, -0.10
EX20, 00:15:06, nan, -0.10
EX20, 00:15:06, nan, -0.10

EX20, 00:15:06, nan, -0.10
EX20, 00:15:06, nan, -0.10
EX20, 00:15:06, nan, -0.10
EX20, 00:15:06, nan, -0.10
EX20, 00:15:06, nan, -0.10
EX20, 00:15:06, nan, -0.10
EX20, 00:15:07, nan, -0.10
EX20, 00:15:07, nan, -0.10
EX20, 00:15:07, nan, -0.10
EX20, 00:15:07, nan, -0.10
EX20, 00:15:07, nan, -0.10
EX20, 00:15:07, nan, -0.10
EX20, 00:15:07, nan, -0.10
EX20, 00:15:07, nan, -0.10
EX20, 00:15:08, nan, -0.10
EX20, 00:15:08, nan, -0.10
EX20, 00:15:08, nan, -0.10
EX20, 00:15:08, nan, -0.10
EX20, 00:15:08, nan, -0.10
EX20, 00:15:08, nan, -0.10
EX20, 00:15:08, nan, -0.10
EX20, 00:15:08, nan, -0.10
EX20, 00:15:09, nan, -0.10
EX20, 00:15:09, nan, -0.10
EX20, 00:15:09, nan, -0.10
EX20, 00:15:09, nan, -0.10
EX20, 00:15:09, nan, -0.10
EX20, 00:15:09, nan, -0.10
EX20, 00:15:09, nan, -0.10
EX20, 00:15:09, nan, -0.10
EX20, 00:15:10, nan, -0.10
EX20, 00:15:10, nan, -0.10
EX20, 00:15:10, nan, -0.10
EX20, 00:15:10, nan, -0.10
EX20, 00:15:10, nan, -0.10
EX20, 00:15:10, nan, -0.10
EX20, 00:15:10, nan, -0.11

EX20, 00:15:10, nan, -0.10
EX20, 00:15:11, nan, -0.10
EX20, 00:15:11, nan, -0.10
EX20, 00:15:11, nan, -0.10
EX20, 00:15:11, nan, -0.10
EX20, 00:15:11, nan, -0.10
EX20, 00:15:11, nan, -0.10
EX20, 00:15:11, nan, -0.10
EX20, 00:15:11, nan, -0.10
EX20, 00:15:12, nan, -0.10
EX20, 00:15:12, nan, -0.10
EX20, 00:15:12, nan, -0.10
EX20, 00:15:12, nan, -0.10
EX20, 00:15:12, nan, -0.11
EX20, 00:15:12, nan, -0.10
EX20, 00:15:12, nan, -0.10
EX20, 00:15:13, nan, -0.10
EX20, 00:15:13, nan, -0.10
EX20, 00:15:13, nan, -0.11
EX20, 00:15:13, nan, -0.10
EX20, 00:15:13, nan, -0.10
EX20, 00:15:13, nan, -0.10
EX20, 00:15:13, nan, -0.10
EX20, 00:15:13, nan, -0.10
EX20, 00:15:14, nan, -0.10
EX20, 00:15:14, nan, -0.10
EX20, 00:15:14, nan, -0.10
EX20, 00:15:14, nan, -0.10
EX20, 00:15:14, nan, -0.10
EX20, 00:15:14, nan, -0.10
EX20, 00:15:14, nan, -0.10
EX20, 00:15:14, nan, -0.10
EX20, 00:15:15, nan, -0.10
EX20, 00:15:15, nan, -0.10
EX20, 00:15:15, nan, -0.10
EX20, 00:15:15, nan, -0.10
EX20, 00:15:15, nan, -0.10

EX20, 00:15:15, nan, -0.11
EX20, 00:15:15, nan, -0.11
EX20, 00:15:15, nan, -0.10
EX20, 00:15:16, nan, -0.10
EX20, 00:15:16, nan, -0.10
EX20, 00:15:16, nan, -0.10
EX20, 00:15:16, nan, -0.10
EX20, 00:15:16, nan, -0.10
EX20, 00:15:16, nan, -0.10
EX20, 00:15:16, nan, -0.10
EX20, 00:15:16, nan, -0.10
EX20, 00:15:17, nan, -0.10
EX20, 00:15:17, nan, -0.10
EX20, 00:15:17, nan, -0.11
EX20, 00:15:17, nan, -0.10
EX20, 00:15:17, nan, -0.10
EX20, 00:15:17, nan, -0.10
EX20, 00:15:17, nan, -0.10
EX20, 00:15:17, nan, -0.11
EX20, 00:15:18, nan, -0.10
EX20, 00:15:18, nan, -0.10
EX20, 00:15:18, nan, -0.10
EX20, 00:15:18, nan, -0.11
EX20, 00:15:18, nan, -0.10
EX20, 00:15:18, nan, -0.10
EX20, 00:15:18, nan, -0.10
EX20, 00:15:18, nan, -0.10
EX20, 00:15:19, nan, -0.10
EX20, 00:15:19, nan, -0.10
EX20, 00:15:19, nan, -0.10
EX20, 00:15:19, nan, -0.10
EX20, 00:15:19, nan, -0.10
EX20, 00:15:19, nan, -0.10
EX20, 00:15:19, nan, -0.10
EX20, 00:15:19, nan, -0.10
EX20, 00:15:20, nan, -0.10
EX20, 00:15:20, nan, -0.11

EX20, 00:15:20, nan, -0.11
EX20, 00:15:20, nan, -0.10
EX20, 00:15:20, nan, -0.11
EX20, 00:15:20, nan, -0.11
EX20, 00:15:20, nan, -0.11
EX20, 00:15:20, nan, -0.10
EX20, 00:15:21, nan, -0.11
EX20, 00:15:21, nan, -0.10
EX20, 00:15:21, nan, -0.11
EX20, 00:15:21, nan, -0.11
EX20, 00:15:21, nan, -0.10
EX20, 00:15:21, nan, -0.10
EX20, 00:15:21, nan, -0.10
EX20, 00:15:21, nan, -0.10
EX20, 00:15:22, nan, -0.11
EX20, 00:15:22, nan, -0.10
EX20, 00:15:22, nan, -0.11
EX20, 00:15:22, nan, -0.11
EX20, 00:15:22, nan, -0.11
EX20, 00:15:22, nan, -0.10
EX20, 00:15:22, nan, -0.11
EX20, 00:15:22, nan, -0.11
EX20, 00:15:23, nan, -0.10
EX20, 00:15:23, nan, -0.10
EX20, 00:15:23, nan, -0.11
EX20, 00:15:23, nan, -0.11
EX20, 00:15:23, nan, -0.11
EX20, 00:15:23, nan, -0.10
EX20, 00:15:23, nan, -0.11
EX20, 00:15:24, nan, -0.10
EX20, 00:15:24, nan, -0.10
EX20, 00:15:24, nan, -0.10
EX20, 00:15:24, nan, -0.11
EX20, 00:15:24, nan, -0.10
EX20, 00:15:24, nan, -0.10
EX20, 00:15:24, nan, -0.11
EX20, 00:15:24, nan, -0.10

EX20, 00:15:24, nan, -0.11
EX20, 00:15:25, nan, -0.11
EX20, 00:15:25, nan, -0.11
EX20, 00:15:25, nan, -0.11
EX20, 00:15:25, nan, -0.11
EX20, 00:15:25, nan, -0.10
EX20, 00:15:25, nan, -0.11
EX20, 00:15:25, nan, -0.11
EX20, 00:15:26, nan, -0.11
EX20, 00:15:26, nan, -0.10
EX20, 00:15:26, nan, -0.11
EX20, 00:15:26, nan, -0.11
EX20, 00:15:26, nan, -0.11
EX20, 00:15:26, nan, -0.11
EX20, 00:15:26, nan, -0.10
EX20, 00:15:26, nan, -0.11
EX20, 00:15:27, nan, -0.10
EX20, 00:15:27, nan, -0.11
EX20, 00:15:27, nan, -0.11
EX20, 00:15:27, nan, -0.10
EX20, 00:15:27, nan, -0.10
EX20, 00:15:27, nan, -0.10
EX20, 00:15:27, nan, -0.11
EX20, 00:15:27, nan, -0.11
EX20, 00:15:28, nan, -0.11
EX20, 00:15:28, nan, -0.11
EX20, 00:15:28, nan, -0.11
EX20, 00:15:28, nan, -0.11
EX20, 00:15:28, nan, -0.11
EX20, 00:15:28, nan, -0.11
EX20, 00:15:28, nan, -0.11
EX20, 00:15:28, nan, -0.10
EX20, 00:15:29, nan, -0.10
EX20, 00:15:29, nan, -0.11
EX20, 00:15:29, nan, -0.11
EX20, 00:15:29, nan, -0.11
EX20, 00:15:29, nan, -0.10

EX20, 00:15:29, nan, -0.11
EX20, 00:15:29, nan, -0.11
EX20, 00:15:29, nan, -0.11
EX20, 00:15:30, nan, -0.11
EX20, 00:15:30, nan, -0.11
EX20, 00:15:30, nan, -0.11
EX20, 00:15:30, nan, -0.10
EX20, 00:15:30, nan, -0.11
EX20, 00:15:30, nan, -0.10
EX20, 00:15:30, nan, -0.11
EX20, 00:15:30, nan, -0.11
EX20, 00:15:31, nan, -0.11
EX20, 00:15:31, nan, -0.11
EX20, 00:15:31, nan, -0.11
EX20, 00:15:31, nan, -0.10
EX20, 00:15:31, nan, -0.11
EX20, 00:15:31, nan, -0.11
EX20, 00:15:31, nan, -0.11
EX20, 00:15:31, nan, -0.11
EX20, 00:15:32, nan, -0.10
EX20, 00:15:32, nan, -0.11
EX20, 00:15:32, nan, -0.11
EX20, 00:15:32, nan, -0.10
EX20, 00:15:32, nan, -0.11
EX20, 00:15:32, nan, -0.11
EX20, 00:15:32, nan, -0.11
EX20, 00:15:32, nan, -0.11
EX20, 00:15:33, nan, -0.11
EX20, 00:15:33, nan, -0.11
EX20, 00:15:33, nan, -0.11
EX20, 00:15:33, nan, -0.11
EX20, 00:15:33, nan, -0.11
EX20, 00:15:33, nan, -0.11
EX20, 00:15:33, nan, -0.10
EX20, 00:15:33, nan, -0.11
EX20, 00:15:34, nan, -0.11
EX20, 00:15:34, nan, -0.11

EX20, 00:15:34, nan, -0.11
EX20, 00:15:34, nan, -0.11
EX20, 00:15:34, nan, -0.11
EX20, 00:15:34, nan, -0.11
EX20, 00:15:34, nan, -0.11
EX20, 00:15:35, nan, -0.11
EX20, 00:15:35, nan, -0.11
EX20, 00:15:35, nan, -0.11
EX20, 00:15:35, nan, -0.11
EX20, 00:15:35, nan, -0.11
EX20, 00:15:35, nan, -0.11
EX20, 00:15:35, nan, -0.11
EX20, 00:15:35, nan, -0.11
EX20, 00:15:36, nan, -0.11
EX20, 00:15:36, nan, -0.11
EX20, 00:15:36, nan, -0.11
EX20, 00:15:36, nan, -0.11
EX20, 00:15:36, nan, -0.11
EX20, 00:15:36, nan, -0.11
EX20, 00:15:36, nan, -0.11
EX20, 00:15:36, nan, -0.11
EX20, 00:15:37, nan, -0.11
EX20, 00:15:37, nan, -0.11
EX20, 00:15:37, nan, -0.11
EX20, 00:15:37, nan, -0.11
EX20, 00:15:37, nan, -0.11
EX20, 00:15:37, nan, -0.11
EX20, 00:15:37, nan, -0.11
EX20, 00:15:37, nan, -0.10
EX20, 00:15:38, nan, -0.11
EX20, 00:15:38, nan, -0.11
EX20, 00:15:38, nan, -0.11
EX20, 00:15:38, nan, -0.11
EX20, 00:15:38, nan, -0.11
EX20, 00:15:38, nan, -0.11
EX20, 00:15:38, nan, -0.11
EX20, 00:15:38, nan, -0.11

EX20, 00:15:39, nan, -0.11
EX20, 00:15:39, nan, -0.11
EX20, 00:15:39, nan, -0.11
EX20, 00:15:39, nan, -0.11
EX20, 00:15:39, nan, -0.11
EX20, 00:15:39, nan, -0.11
EX20, 00:15:39, nan, -0.11
EX20, 00:15:39, nan, -0.11
EX20, 00:15:40, nan, -0.11
EX20, 00:15:40, nan, -0.11
EX20, 00:15:40, nan, -0.11
EX20, 00:15:40, nan, -0.11
EX20, 00:15:40, nan, -0.11
EX20, 00:15:40, nan, -0.11
EX20, 00:15:40, nan, -0.11
EX20, 00:15:40, nan, -0.11
EX20, 00:15:41, nan, -0.11
EX20, 00:15:41, nan, -0.11
EX20, 00:15:41, nan, -0.11
EX20, 00:15:41, nan, -0.11
EX20, 00:15:41, nan, -0.11
EX20, 00:15:41, nan, -0.11
EX20, 00:15:41, nan, -0.11
EX20, 00:15:41, nan, -0.11
EX20, 00:15:42, nan, -0.11
EX20, 00:15:42, nan, -0.11
EX20, 00:15:42, nan, -0.11
EX20, 00:15:42, nan, -0.11
EX20, 00:15:42, nan, -0.11
EX20, 00:15:42, nan, -0.11
EX20, 00:15:42, nan, -0.11
EX20, 00:15:43, nan, -0.11
EX20, 00:15:43, nan, -0.11
EX20, 00:15:43, nan, -0.11
EX20, 00:15:43, nan, -0.11
EX20, 00:15:43, nan, -0.11
EX20, 00:15:43, nan, -0.11

EX20, 00:15:43, nan, -0.11
EX20, 00:15:43, nan, -0.11
EX20, 00:15:44, nan, -0.11
EX20, 00:15:44, nan, -0.11
EX20, 00:15:44, nan, -0.11
EX20, 00:15:44, nan, -0.11
EX20, 00:15:44, nan, -0.11
EX20, 00:15:44, nan, -0.11
EX20, 00:15:44, nan, -0.11
EX20, 00:15:44, nan, -0.11
EX20, 00:15:45, nan, -0.11
EX20, 00:15:45, nan, -0.11
EX20, 00:15:45, nan, -0.11
EX20, 00:15:45, nan, -0.11
EX20, 00:15:45, nan, -0.11
EX20, 00:15:45, nan, -0.11
EX20, 00:15:45, nan, -0.11
EX20, 00:15:45, nan, -0.11
EX20, 00:15:46, nan, -0.11
EX20, 00:15:46, nan, -0.11
EX20, 00:15:46, nan, -0.11
