# 
{"kP":"1","kD":"0","kI":"0","density":"997","profile":["dive: 2.0, 0.30, 30.00, 300.00"]}

dive: 2.0, 0.30, 30.00, 300.00
EX20, 00:01:16, 0.00, -0.10
EX20, 00:01:16, 2.10, -0.10
EX20, 00:01:16, 2.10, -0.10
EX20, 00:01:16, 2.10, -0.10
EX20, 00:01:17, 2.10, -0.10
EX20, 00:01:17, 2.10, -0.10
EX20, 00:01:17, 2.10, -0.10
EX20, 00:01:17, 2.10, -0.10
EX20, 00:01:17, 2.10, -0.09
EX20, 00:01:17, 2.09, -0.09
EX20, 00:01:17, 2.09, -0.09
EX20, 00:01:17, 2.09, -0.09
EX20, 00:01:18, 2.09, -0.09
EX20, 00:01:18, 2.09, -0.09
EX20, 00:01:18, 2.09, -0.09
EX20, 00:01:18, 2.09, -0.09
EX20, 00:01:18, 2.09, -0.09
EX20, 00:01:18, 2.09, -0.09
EX20, 00:01:18, 2.09, -0.09
EX20, 00:01:18, 2.09, -0.09
EX20, 00:01:19, 2.09, -0.09
EX20, 00:01:19, 2.09, -0.09
EX20, 00:01:19, 2.09, -0.09
EX20, 00:01:19, 2.09, -0.09
EX20, 00:01:19, 2.09, -0.09
EX20, 00:01:19, 2.09, -0.09
EX20, 00:01:19, 2.09, -0.08
EX20, 00:01:19, 2.09, -0.08
EX20, 00:01:20, 2.09, -0.09
EX20, 00:01:20, 2.09, -0.09
EX20, 00:01:20, 2.09, -0.09
EX20, 00:01:20, 2.09, -0.09
EX20, 00:01:20, 2.09, -0.09
EX20, 00:01:20, 2.09, -0.09
EX20, 00:01:20, 2.09, -0.09

EX20, 00:01:21, 2.09, -0.09
EX20, 00:01:21, 2.09, -0.09
EX20, 00:01:21, 2.09, -0.08
EX20, 00:01:21, 2.09, -0.08
EX20, 00:01:21, 2.09, -0.07
EX20, 00:01:21, 2.09, -0.07
EX20, 00:01:21, 2.06, -0.06
EX20, 00:01:21, 2.06, -0.05
EX20, 00:01:22, 2.06, -0.04
EX20, 00:01:22, 2.06, -0.04
EX20, 00:01:22, 2.06, -0.03
EX20, 00:01:22, 2.06, -0.02
EX20, 00:01:22, 2.06, -0.01
EX20, 00:01:22, 2.06, -0.00
EX20, 00:01:22, 2.00, 0.01
EX20, 00:01:22, 2.00, 0.02
EX20, 00:01:23, 2.00, 0.03
EX20, 00:01:23, 2.00, 0.04
EX20, 00:01:23, 2.00, 0.05
EX20, 00:01:23, 2.00, 0.06
EX20, 00:01:23, 2.00, 0.07
EX20, 00:01:23, 2.00, 0.08
EX20, 00:01:23, 1.91, 0.09
EX20, 00:01:23, 1.91, 0.11
EX20, 00:01:24, 1.91, 0.12
EX20, 00:01:24, 1.91, 0.13
EX20, 00:01:24, 1.91, 0.15
EX20, 00:01:24, 1.91, 0.16
EX20, 00:01:24, 1.91, 0.18
EX20, 00:01:24, 1.91, 0.19
EX20, 00:01:24, 1.80, 0.21
EX20, 00:01:24, 1.80, 0.22
EX20, 00:01:25, 1.80, 0.24
EX20, 00:01:25, 1.80, 0.26
EX20, 00:01:25, 1.80, 0.27
EX20, 00:01:25, 1.80, 0.29

EX20, 00:01:25, 1.80, 0.30
EX20, 00:01:25, 1.80, 0.32
EX20, 00:01:25, 1.67, 0.34
EX20, 00:01:25, 1.67, 0.36
EX20, 00:01:26, 1.67, 0.37
EX20, 00:01:26, 1.67, 0.39
EX20, 00:01:26, 1.67, 0.41
EX20, 00:01:26, 1.67, 0.43
EX20, 00:01:26, 1.67, 0.45
EX20, 00:01:26, 1.67, 0.47
EX20, 00:01:26, 1.52, 0.49
EX20, 00:01:26, 1.52, 0.51
EX20, 00:01:27, 1.52, 0.53
EX20, 00:01:27, 1.52, 0.55
EX20, 00:01:27, 1.52, 0.57
EX20, 00:01:27, 1.52, 0.59
EX20, 00:01:27, 1.52, 0.61
EX20, 00:01:27, 1.52, 0.63
EX20, 00:01:27, 1.36, 0.66
EX20, 00:01:27, 1.36, 0.68
EX20, 00:01:28, 1.36, 0.70
EX20, 00:01:28, 1.36, 0.72
EX20, 00:01:28, 1.36, 0.74
EX20, 00:01:28, 1.36, 0.77
EX20, 00:01:28, 1.36, 0.79
EX20, 00:01:28, 1.36, 0.81
EX20, 00:01:28, 1.18, 0.83
EX20, 00:01:29, 1.18, 0.86
EX20, 00:01:29, 1.18, 0.88
EX20, 00:01:29, 1.18, 0.90
EX20, 00:01:29, 1.18, 0.93
EX20, 00:01:29, 1.18, 0.95
EX20, 00:01:29, 1.18, 0.97
EX20, 00:01:29, 1.18, 1.00
EX20, 00:01:29, 1.00, 1.02
EX20, 00:01:30, 1.00, 1.04
EX20, 00:01:30, 1.00, 1.07

EX20, 00:01:30, 1.00, 1.09
EX20, 00:01:30, 1.00, 1.11
EX20, 00:01:30, 1.00, 1.14
EX20, 00:01:30, 1.00, 1.16
EX20, 00:01:30, 1.00, 1.19
EX20, 00:01:30, 0.80, 1.21
EX20, 00:01:31, 0.80, 1.24
EX20, 00:01:31, 0.80, 1.26
EX20, 00:01:31, 0.80, 1.29
EX20, 00:01:31, 0.80, 1.31
EX20, 00:01:31, 0.80, 1.34
EX20, 00:01:31, 0.80, 1.36
EX20, 00:01:31, 0.80, 1.39
EX20, 00:01:31, 0.60, 1.41
EX20, 00:01:32, 0.60, 1.44
EX20, 00:01:32, 0.60, 1.47
EX20, 00:01:32, 0.60, 1.49
EX20, 00:01:32, 0.60, 1.52
EX20, 00:01:32, 0.60, 1.54
EX20, 00:01:32, 0.60, 1.57
EX20, 00:01:32, 0.60, 1.59
EX20, 00:01:32, 0.40, 1.62
EX20, 00:01:33, 0.40, 1.65
EX20, 00:01:33, 0.40, 1.67
EX20, 00:01:33, 0.40, 1.70
EX20, 00:01:33, 0.40, 1.72
EX20, 00:01:33, 0.40, 1.75
EX20, 00:01:33, 0.40, 1.78
EX20, 00:01:33, 0.40, 1.80
EX20, 00:01:33, 0.19, 1.83
EX20, 00:01:34, 0.19, 1.86
EX20, 00:01:34, 0.19, 1.88
EX20, 00:01:34, 0.19, 1.91
EX20, 00:01:34, 0.19, 1.93
EX20, 00:01:34, 0.19, 1.96
EX20, 00:01:34, 0.19, 1.99
EX20, 00:01:34, 0.19, 2.01

EX20, 00:01:34, -0.03, 2.04
EX20, 00:01:35, -0.03, 2.07
EX20, 00:01:35, -0.03, 2.09
EX20, 00:01:35, -0.03, 2.12
EX20, 00:01:35, -0.03, 2.14
EX20, 00:01:35, -0.03, 2.17
EX20, 00:01:35, -0.03, 2.20
EX20, 00:01:35, -0.03, 2.22
EX20, 00:01:35, -0.24, 2.25
EX20, 00:01:36, -0.24, 2.28
EX20, 00:01:36, -0.24, 2.30
EX20, 00:01:36, -0.24, 2.33
EX20, 00:01:36, -0.24, 2.35
EX20, 00:01:36, -0.24, 2.38
EX20, 00:01:36, -0.24, 2.41
EX20, 00:01:36, -0.24, 2.43
EX20, 00:01:37, -0.45, 2.46
EX20, 00:01:37, -0.45, 2.48
EX20, 00:01:37, -0.45, 2.51
EX20, 00:01:37, -0.45, 2.53
EX20, 00:01:37, -0.45, 2.56
EX20, 00:01:37, -0.45, 2.59
EX20, 00:01:37, -0.45, 2.61
EX20, 00:01:37, -0.45, 2.64
EX20, 00:01:38, -0.65, 2.66
EX20, 00:01:38, -0.65, 2.69
EX20, 00:01:38, -0.65, 2.71
EX20, 00:01:38, -0.65, 2.74
EX20, 00:01:38, -0.65, 2.76
EX20, 00:01:38, -0.65, 2.79
EX20, 00:01:38, -0.65, 2.81
EX20, 00:01:38, -0.65, 2.83
EX20, 00:01:39, -0.85, 2.86
EX20, 00:01:39, -0.85, 2.88
EX20, 00:01:39, -0.85, 2.91

EX20, 00:01:39, -0.85, 2.93
EX20, 00:01:39, -0.85, 2.95
EX20, 00:01:39, -0.85, 2.97
EX20, 00:01:39, -0.85, 3.00
EX20, 00:01:39, -0.85, 3.02
EX20, 00:01:40, -1.04, 3.04
EX20, 00:01:40, -1.04, 3.07
EX20, 00:01:40, -1.04, 3.09
EX20, 00:01:40, -1.04, 3.11
EX20, 00:01:40, -1.04, 3.13
EX20, 00:01:40, -1.04, 3.16
EX20, 00:01:40, -1.04, 3.18
EX20, 00:01:40, -1.04, 3.20
EX20, 00:01:41, -1.22, 3.22
EX20, 00:01:41, -1.22, 3.25
EX20, 00:01:41, -1.22, 3.27
EX20, 00:01:41, -1.22, 3.29
EX20, 00:01:41, -1.22, 3.31
EX20, 00:01:41, -1.22, 3.32
EX20, 00:01:41, -1.22, 3.32
EX20, 00:01:41, -1.22, 3.31
EX20, 00:01:42, -1.32, 3.31
EX20, 00:01:42, -1.32, 3.32
EX20, 00:01:42, -1.32, 3.31
EX20, 00:01:42, -1.32, 3.31
EX20, 00:01:42, -1.32, 3.31
EX20, 00:01:42, -1.32, 3.32
EX20, 00:01:42, -1.32, 3.32
EX20, 00:01:42, -1.32, 3.32
EX20, 00:01:43, -1.32, 3.32
EX20, 00:01:43, -1.32, 3.32
EX20, 00:01:43, -1.32, 3.32
EX20, 00:01:43, -1.32, 3.32
EX20, 00:01:43, -1.32, 3.32
EX20, 00:01:43, -1.32, 3.32

EX20, 00:01:43, -1.32, 3.32
EX20, 00:01:43, -1.32, 3.32
EX20, 00:01:44, -1.32, 3.32
EX20, 00:01:44, -1.32, 3.32
EX20, 00:01:44, -1.32, 3.32
EX20, 00:01:44, -1.32, 3.32
EX20, 00:01:44, -1.32, 3.32
EX20, 00:01:44, -1.32, 3.32
EX20, 00:01:44, -1.32, 3.32
