# 
{"kP":"1","kD":"0","kI":"0","density":"997","profile":["dive: -10.0, 0.30, 30.00, 300.00","surface"]}

dive: -10.0, 0.30, 30.00, 300.00
EX20, 00:02:11, -9.91, -0.09
EX20, 00:02:11, -9.91, -0.09
EX20, 00:02:11, -9.91, -0.09
EX20, 00:02:12, -9.91, -0.09
EX20, 00:02:12, -9.91, -0.09
EX20, 00:02:12, -9.91, -0.09
EX20, 00:02:12, -9.91, -0.09
EX20, 00:02:12, -9.91, -0.09
EX20, 00:02:12, -9.91, -0.09
EX20, 00:02:12, -9.91, -0.09
EX20, 00:02:13, -9.91, -0.09
EX20, 00:02:13, -9.91, -0.09
EX20, 00:02:13, -9.91, -0.09
EX20, 00:02:13, -9.91, -0.09
EX20, 00:02:13, -9.91, -0.09
EX20, 00:02:13, -9.91, -0.09
EX20, 00:02:13, -9.91, -0.09
EX20, 00:02:13, -9.91, -0.09
EX20, 00:02:14, -9.91, -0.09
EX20, 00:02:14, -9.91, -0.09
EX20, 00:02:14, -9.91, -0.09
EX20, 00:02:14, -9.91, -0.09

EX20, 00:02:14, -9.91, -0.09
EX20, 00:02:14, -9.91, -0.09
EX20, 00:02:14, -9.91, -0.09
EX20, 00:02:14, -9.91, -0.09
EX20, 00:02:15, -9.91, -0.09
EX20, 00:02:15, -9.91, -0.09
EX20, 00:02:15, -9.91, -0.09
EX20, 00:02:15, -9.91, -0.09
EX20, 00:02:15, -9.91, -0.09
EX20, 00:02:15, -9.91, -0.09
EX20, 00:02:15, -9.91, -0.09
EX20, 00:02:15, -9.91, -0.09
EX20, 00:02:17, -9.91, -0.09
EX20, 00:02:18, -9.90, -0.10
EX20, 00:02:21, -9.90, -0.10
EX20, 00:02:24, -9.90, -0.10
EX20, 00:02:24, -9.90, -0.10
EX20, 00:02:24, -9.90, -0.10
EX20, 00:02:24, -9.90, -0.10
EX20, 00:02:24, -9.90, -0.10
EX20, 00:02:24, -9.90, -0.10
EX20, 00:02:24, -9.90, -0.10
EX20, 00:02:25, -9.90, -0.10
EX20, 00:02:25, -9.90, -0.09
EX20, 00:02:25, -9.90, -0.09
EX20, 00:02:25, -9.90, -0.09
EX20, 00:02:25, -9.90, -0.09
EX20, 00:02:25, -9.90, -0.09
EX20, 00:02:25, -9.90, -0.09
EX20, 00:02:25, -9.90, -0.09
EX20, 00:02:26, -9.90, -0.09
EX20, 00:02:26, -9.90, -0.09
EX20, 00:02:26, -9.91, -0.09
EX20, 00:02:26, -9.91, -0.09

EX20, 00:02:26, -9.91, -0.09
EX20, 00:02:26, -9.91, -0.10
