# 
{"kP":"10","kD":"0","kI":"0","density":"997","profile":["dive: 2, 0.3, 30.00, 60.00"]}

dive: 2, 0.3, 30.00, 60.00
EX20, 00:01:07, 0.00, -0.10
EX20, 00:01:07, 0.50, -0.10
EX20, 00:01:07, 0.50, -0.10
EX20, 00:01:07, 0.50, -0.10
EX20, 00:01:07, 0.50, -0.10
EX20, 00:01:07, 0.50, -0.10
EX20, 00:01:08, 0.50, -0.10
EX20, 00:01:08, 0.52, -0.10
EX20, 00:01:08, 0.52, -0.10
EX20, 00:01:08, 0.52, -0.10
EX20, 00:01:08, 0.52, -0.10
EX20, 00:01:08, 0.52, -0.10
EX20, 00:01:08, 0.52, -0.10
EX20, 00:01:08, 0.52, -0.10
EX20, 00:01:09, 0.52, -0.10
EX20, 00:01:09, 0.52, -0.10
EX20, 00:01:09, 0.52, -0.10
EX20, 00:01:09, 0.52, -0.10
EX20, 00:01:09, 0.52, -0.10
EX20, 00:01:09, 0.51, -0.10
EX20, 00:01:09, 0.51, -0.10
EX20, 00:01:09, 0.51, -0.10
EX20, 00:01:10, 0.51, -0.10
EX20, 00:01:10, 0.51, -0.10
EX20, 00:01:10, 0.51, -0.10
EX20, 00:01:10, 0.53, -0.10
EX20, 00:01:10, 0.53, -0.10
EX20, 00:01:10, 0.53, -0.10
EX20, 00:01:10, 0.53, -0.10
EX20, 00:01:10, 0.53, -0.10
EX20, 00:01:11, 0.53, -0.10
EX20, 00:01:11, 0.51, -0.10
EX20, 00:01:11, 0.51, -0.10
EX20, 00:01:11, 0.51, -0.10
EX20, 00:01:11, 0.51, -0.10

EX20, 00:01:11, 0.51, -0.10
EX20, 00:01:11, 0.51, -0.10
EX20, 00:01:11, 0.51, -0.10
EX20, 00:01:12, 0.51, -0.10
EX20, 00:01:12, 0.51, -0.10
EX20, 00:01:12, 0.51, -0.10
EX20, 00:01:12, 0.51, -0.10
EX20, 00:01:12, 0.51, -0.10
EX20, 00:01:12, 0.51, -0.10
EX20, 00:01:12, 0.51, -0.10
EX20, 00:01:12, 0.51, -0.10
EX20, 00:01:13, 0.51, -0.10
EX20, 00:01:13, 0.51, -0.10
EX20, 00:01:13, 0.51, -0.10
EX20, 00:01:13, 0.50, -0.10
EX20, 00:01:13, 0.50, -0.10
EX20, 00:01:13, 0.50, -0.10
EX20, 00:01:13, 0.50, -0.10
EX20, 00:01:14, 0.50, -0.10
EX20, 00:01:14, 0.50, -0.10
EX20, 00:01:14, 0.50, -0.10
EX20, 00:01:14, 0.50, -0.10
EX20, 00:01:14, 0.50, -0.10
EX20, 00:01:14, 0.50, -0.10
EX20, 00:01:14, 0.50, -0.10
EX20, 00:01:14, 0.50, -0.10
EX20, 00:01:15, 0.50, -0.10
EX20, 00:01:15, 0.50, -0.10
EX20, 00:01:15, 0.50, -0.10
EX20, 00:01:15, 0.50, -0.10
EX20, 00:01:15, 0.50, -0.10
EX20, 00:01:15, 0.50, -0.10
EX20, 00:01:15, 0.49, -0.10
EX20, 00:01:15, 0.49, -0.10
EX20, 00:01:16, 0.49, -0.10

EX20, 00:01:16, 0.49, -0.10
EX20, 00:01:16, 0.49, -0.10
EX20, 00:01:16, 0.49, -0.10
EX20, 00:01:16, 0.50, -0.10
EX20, 00:01:16, 0.50, -0.10
EX20, 00:01:16, 0.50, -0.10
EX20, 00:01:16, 0.50, -0.10
EX20, 00:01:17, 0.50, -0.10
EX20, 00:01:17, 0.50, -0.10
EX20, 00:01:17, 0.49, -0.10
EX20, 00:01:17, 0.49, -0.10
EX20, 00:01:17, 0.49, -0.10
EX20, 00:01:17, 0.49, -0.10
EX20, 00:01:17, 0.49, -0.10
EX20, 00:01:17, 0.49, -0.10
EX20, 00:01:18, 0.50, -0.10
EX20, 00:01:18, 0.50, -0.10
EX20, 00:01:18, 0.50, -0.10
EX20, 00:01:18, 0.50, -0.10
EX20, 00:01:18, 0.50, -0.10
EX20, 00:01:18, 0.50, -0.10
EX20, 00:01:18, 0.50, -0.10
EX20, 00:01:18, 0.50, -0.10
EX20, 00:01:19, 0.50, -0.10
EX20, 00:01:19, 0.50, -0.10
EX20, 00:01:19, 0.50, -0.10
EX20, 00:01:19, 0.50, -0.10
EX20, 00:01:19, 0.51, -0.10
EX20, 00:01:19, 0.51, -0.10
EX20, 00:01:19, 0.51, -0.10
EX20, 00:01:19, 0.51, -0.10
EX20, 00:01:20, 0.51, -0.10
EX20, 00:01:20, 0.51, -0.10
EX20, 00:01:20, 0.49, -0.10
EX20, 00:01:20, 0.49, -0.10

EX20, 00:01:20, 0.49, -0.10
EX20, 00:01:20, 0.49, -0.10
EX20, 00:01:20, 0.49, -0.10
EX20, 00:01:21, 0.49, -0.10
EX20, 00:01:21, 0.49, -0.10
EX20, 00:01:21, 0.49, -0.10
EX20, 00:01:21, 0.49, -0.10
EX20, 00:01:21, 0.49, -0.10
EX20, 00:01:21, 0.49, -0.10
EX20, 00:01:21, 0.49, -0.10
EX20, 00:01:21, 0.49, -0.10
EX20, 00:01:22, 0.49, -0.10
EX20, 00:01:22, 0.49, -0.10
EX20, 00:01:22, 0.49, -0.10
EX20, 00:01:22, 0.49, -0.10
EX20, 00:01:22, 0.49, -0.10
EX20, 00:01:22, 0.51, -0.10
EX20, 00:01:22, 0.51, -0.10
EX20, 00:01:22, 0.51, -0.10
EX20, 00:01:23, 0.51, -0.10
EX20, 00:01:23, 0.51, -0.10
EX20, 00:01:23, 0.51, -0.10
EX20, 00:01:23, 0.50, -0.10
EX20, 00:01:23, 0.50, -0.10
EX20, 00:01:23, 0.50, -0.10
EX20, 00:01:23, 0.50, -0.10
EX20, 00:01:23, 0.50, -0.10
EX20, 00:01:24, 0.50, -0.10
EX20, 00:01:24, 0.50, -0.10
EX20, 00:01:24, 0.50, -0.10
EX20, 00:01:24, 0.50, -0.10
EX20, 00:01:24, 0.50, -0.10
EX20, 00:01:24, 0.50, -0.10
EX20, 00:01:24, 0.50, -0.10
EX20, 00:01:24, 0.49, -0.10

EX20, 00:01:25, 0.49, -0.10
EX20, 00:01:25, 0.49, -0.10
EX20, 00:01:25, 0.49, -0.10
EX20, 00:01:25, 0.49, -0.10
EX20, 00:01:25, 0.49, -0.10
EX20, 00:01:25, 0.49, -0.10
EX20, 00:01:25, 0.48, -0.10
EX20, 00:01:25, 0.48, -0.10
EX20, 00:01:26, 0.48, -0.10
EX20, 00:01:26, 0.48, -0.10
EX20, 00:01:26, 0.48, -0.10
EX20, 00:01:26, 0.48, -0.10
EX20, 00:01:26, 0.50, -0.10
EX20, 00:01:26, 0.50, -0.10
EX20, 00:01:26, 0.50, -0.10
EX20, 00:01:27, 0.50, -0.10
EX20, 00:01:27, 0.50, -0.10
EX20, 00:01:27, 0.50, -0.10
EX20, 00:01:27, 0.48, -0.10
EX20, 00:01:27, 0.48, -0.10
EX20, 00:01:27, 0.48, -0.10
EX20, 00:01:27, 0.48, -0.10
EX20, 00:01:27, 0.48, -0.10
EX20, 00:01:28, 0.48, -0.10
EX20, 00:01:28, 0.51, -0.10
EX20, 00:01:28, 0.51, -0.10
EX20, 00:01:28, 0.51, -0.10
EX20, 00:01:28, 0.51, -0.10
EX20, 00:01:28, 0.51, -0.10
EX20, 00:01:28, 0.51, -0.10
EX20, 00:01:28, 0.50, -0.10
EX20, 00:01:29, 0.50, -0.10
EX20, 00:01:29, 0.50, -0.10
EX20, 00:01:29, 0.50, -0.10
EX20, 00:01:29, 0.50, -0.10

EX20, 00:01:29, 0.50, -0.10
EX20, 00:01:29, 0.51, -0.10
EX20, 00:01:29, 0.51, -0.10
EX20, 00:01:29, 0.51, -0.10
EX20, 00:01:30, 0.51, -0.10
EX20, 00:01:30, 0.51, -0.10
EX20, 00:01:30, 0.51, -0.10
EX20, 00:01:30, 0.51, -0.10
EX20, 00:01:30, 0.51, -0.10
EX20, 00:01:30, 0.51, -0.10
EX20, 00:01:30, 0.51, -0.10
EX20, 00:01:30, 0.51, -0.10
EX20, 00:01:31, 0.51, -0.10
EX20, 00:01:31, 0.51, -0.10
EX20, 00:01:31, 0.51, -0.10
EX20, 00:01:31, 0.51, -0.10
EX20, 00:01:31, 0.51, -0.10
EX20, 00:01:31, 0.51, -0.10
EX20, 00:01:31, 0.51, -0.10
EX20, 00:01:31, 0.48, -0.10
EX20, 00:01:32, 0.48, -0.10
EX20, 00:01:32, 0.48, -0.10
EX20, 00:01:32, 0.48, -0.10
EX20, 00:01:32, 0.48, -0.10
EX20, 00:01:32, 0.48, -0.10
EX20, 00:01:32, 0.50, -0.10
EX20, 00:01:32, 0.50, -0.10
EX20, 00:01:32, 0.50, -0.10
EX20, 00:01:33, 0.50, -0.10
EX20, 00:01:33, 0.50, -0.10
EX20, 00:01:33, 0.50, -0.10
EX20, 00:01:33, 0.50, -0.10
EX20, 00:01:33, 0.50, -0.10
EX20, 00:01:33, 0.50, -0.10
EX20, 00:01:33, 0.50, -0.10

EX20, 00:01:33, 0.50, -0.10
EX20, 00:01:34, 0.50, -0.10
EX20, 00:01:34, 0.48, -0.10
EX20, 00:01:34, 0.48, -0.10
EX20, 00:01:34, 0.48, -0.10
EX20, 00:01:34, 0.48, -0.10
EX20, 00:01:34, 0.48, -0.10
EX20, 00:01:34, 0.48, -0.10
EX20, 00:01:35, 0.50, -0.10
EX20, 00:01:35, 0.50, -0.10
EX20, 00:01:35, 0.50, -0.10
EX20, 00:01:35, 0.50, -0.10
EX20, 00:01:35, 0.50, -0.10
EX20, 00:01:35, 0.50, -0.10
EX20, 00:01:35, 0.49, -0.10
EX20, 00:01:35, 0.49, -0.10
EX20, 00:01:36, 0.49, -0.10
EX20, 00:01:36, 0.49, -0.10
EX20, 00:01:36, 0.49, -0.10
EX20, 00:01:36, 0.49, -0.10
EX20, 00:01:36, 0.50, -0.10
