# 
{"kP":"0.08","kD":"0","kI":"0","density":"997","profile":["dive: -2, 0.3, 1.00, 30.00"]}

dive: -2, 0.3, 1.00, 30.00
EX20, 00:02:22, 0.00, -0.15
EX20, 00:02:22, -0.00, -0.15
EX20, 00:02:23, -0.00, -0.15
EX20, 00:02:23, -0.00, -0.15
EX20, 00:02:23, -0.00, -0.15
EX20, 00:02:23, -0.00, -0.15
EX20, 00:02:23, -0.00, -0.15
EX20, 00:02:23, -0.00, -0.15
EX20, 00:02:23, -0.00, -0.15
EX20, 00:02:23, -0.00, -0.15
EX20, 00:02:24, -0.00, -0.15
EX20, 00:02:24, -0.00, -0.15
EX20, 00:02:24, -0.00, -0.15
EX20, 00:02:24, -0.00, -0.15
EX20, 00:02:24, -0.00, -0.15
EX20, 00:02:24, -0.00, -0.15
EX20, 00:02:24, -0.00, -0.15
EX20, 00:02:24, -0.00, -0.15
EX20, 00:02:25, -0.00, -0.15
EX20, 00:02:25, -0.00, -0.15
EX20, 00:02:25, -0.00, -0.15
EX20, 00:02:25, -0.00, -0.15
EX20, 00:02:25, -0.00, -0.15
EX20, 00:02:25, -0.00, -0.15
EX20, 00:02:25, -0.00, -0.15
EX20, 00:02:26, -0.00, -0.15
EX20, 00:02:26, -0.00, -0.15
EX20, 00:02:26, -0.00, -0.15
EX20, 00:02:26, -0.00, -0.15
EX20, 00:02:26, -0.00, -0.15
EX20, 00:02:26, -0.00, -0.15
EX20, 00:02:26, -0.00, -0.15
EX20, 00:02:26, -0.00, -0.15
EX20, 00:02:27, -0.00, -0.15

EX20, 00:02:27, -0.00, -0.15
EX20, 00:02:27, -0.00, -0.15
EX20, 00:02:27, -0.00, -0.15
EX20, 00:02:27, -0.00, -0.15
EX20, 00:02:27, -0.00, -0.15
EX20, 00:02:27, -0.00, -0.15
EX20, 00:02:27, -0.00, -0.15
EX20, 00:02:28, -0.00, -0.15
EX20, 00:02:28, -0.00, -0.15
EX20, 00:02:28, -0.00, -0.15
EX20, 00:02:28, -0.00, -0.15
EX20, 00:02:28, -0.00, -0.15
EX20, 00:02:28, -0.00, -0.15
EX20, 00:02:28, -0.00, -0.15
EX20, 00:02:28, -0.00, -0.15
EX20, 00:02:29, -0.00, -0.15
EX20, 00:02:29, -0.00, -0.15
EX20, 00:02:29, -0.00, -0.15
EX20, 00:02:29, -0.00, -0.15
EX20, 00:02:29, -0.00, -0.15
EX20, 00:02:29, -0.00, -0.15
EX20, 00:02:29, -0.00, -0.15
EX20, 00:02:29, -0.00, -0.15
EX20, 00:02:30, -0.00, -0.15
EX20, 00:02:30, -0.00, -0.15
EX20, 00:02:30, -0.00, -0.15
EX20, 00:02:30, -0.00, -0.15
EX20, 00:02:30, -0.00, -0.15
EX20, 00:02:30, -0.00, -0.15
EX20, 00:02:30, -0.00, -0.15
EX20, 00:02:30, -0.00, -0.15
EX20, 00:02:31, -0.00, -0.15
EX20, 00:02:31, -0.00, -0.15
EX20, 00:02:31, -0.00, -0.15

EX20, 00:02:31, -0.00, -0.15
EX20, 00:02:31, -0.00, -0.15
EX20, 00:02:31, -0.00, -0.15
EX20, 00:02:31, -0.00, -0.15
EX20, 00:02:32, -0.00, -0.15
EX20, 00:02:32, -0.00, -0.15
EX20, 00:02:32, -0.00, -0.15
EX20, 00:02:32, -0.00, -0.15
EX20, 00:02:32, -0.00, -0.15
EX20, 00:02:32, -0.00, -0.15
EX20, 00:02:32, -0.00, -0.15
EX20, 00:02:32, -0.00, -0.15
EX20, 00:02:33, -0.00, -0.15
EX20, 00:02:33, -0.00, -0.15
EX20, 00:02:33, -0.00, -0.15
EX20, 00:02:33, -0.00, -0.15
EX20, 00:02:33, -0.00, -0.15
EX20, 00:02:33, -0.00, -0.15
EX20, 00:02:33, -0.00, -0.15
EX20, 00:02:33, -0.00, -0.15
EX20, 00:02:34, -0.00, -0.15
EX20, 00:02:34, -0.00, -0.15
EX20, 00:02:34, -0.00, -0.15
EX20, 00:02:34, -0.00, -0.15
EX20, 00:02:34, -0.00, -0.15
EX20, 00:02:34, -0.00, -0.15
EX20, 00:02:34, -0.00, -0.15
EX20, 00:02:34, -0.00, -0.15
EX20, 00:02:35, -0.00, -0.15
EX20, 00:02:35, -0.00, -0.15
EX20, 00:02:35, -0.00, -0.15
EX20, 00:02:35, -0.00, -0.15
EX20, 00:02:35, -0.00, -0.15
EX20, 00:02:35, -0.00, -0.15

EX20, 00:02:35, -0.00, -0.15
EX20, 00:02:35, -0.00, -0.15
EX20, 00:02:36, -0.00, -0.15
EX20, 00:02:36, -0.00, -0.15
EX20, 00:02:36, -0.00, -0.15
EX20, 00:02:36, -0.00, -0.15
EX20, 00:02:36, -0.00, -0.15
EX20, 00:02:36, -0.00, -0.15
EX20, 00:02:36, -0.00, -0.15
EX20, 00:02:36, -0.00, -0.15
EX20, 00:02:37, -0.00, -0.15
EX20, 00:02:37, -0.00, -0.15
EX20, 00:02:37, -0.00, -0.15
EX20, 00:02:37, -0.00, -0.15
EX20, 00:02:37, -0.00, -0.15
EX20, 00:02:37, -0.00, -0.15
EX20, 00:02:37, -0.00, -0.15
EX20, 00:02:37, -0.00, -0.15
EX20, 00:02:38, -0.00, -0.15
EX20, 00:02:38, -0.00, -0.15
EX20, 00:02:38, -0.00, -0.15
EX20, 00:02:38, -0.00, -0.15
EX20, 00:02:38, -0.00, -0.15
EX20, 00:02:38, -0.00, -0.15
EX20, 00:02:38, -0.00, -0.15
EX20, 00:02:39, -0.00, -0.15
EX20, 00:02:39, -0.00, -0.15
EX20, 00:02:39, -0.00, -0.15
EX20, 00:02:39, -0.00, -0.15
EX20, 00:02:39, -0.00, -0.15
EX20, 00:02:39, -0.00, -0.15
EX20, 00:02:39, -0.00, -0.15
EX20, 00:02:39, -0.00, -0.15
EX20, 00:02:40, -0.00, -0.15

EX20, 00:02:40, -0.00, -0.15
EX20, 00:02:40, -0.00, -0.15
EX20, 00:02:40, -0.00, -0.15
EX20, 00:02:40, -0.00, -0.15
EX20, 00:02:40, -0.00, -0.15
EX20, 00:02:40, -0.00, -0.15
EX20, 00:02:40, -0.00, -0.15
EX20, 00:02:41, -0.00, -0.15
EX20, 00:02:41, -0.00, -0.15
EX20, 00:02:41, -0.00, -0.15
EX20, 00:02:41, -0.00, -0.15
EX20, 00:02:41, -0.00, -0.15
