# 
{"kP":"5","kD":"0","kI":"0","density":"997","profile":["led: 156,17,242","dive: 02.0, 0.30, 003.00, 200.00"]}

led: 156,17,242
EX20, 00:01:00, 100.60, -0.07


# dive: 02.0, 0.30, 003.00, 200.00
EX20, 00:01:00, 100.61, -0.07
EX20, 00:01:00, 100.61, -0.07
EX20, 00:01:00, 100.61, -0.07
EX20, 00:01:01, 100.62, -0.07
EX20, 00:01:01, 100.63, -0.07
EX20, 00:01:01, 100.63, -0.07
EX20, 00:01:01, 100.63, -0.07
EX20, 00:01:01, 100.63, -0.07
EX20, 00:01:01, 100.63, -0.07
EX20, 00:01:01, 100.63, -0.07
EX20, 00:01:01, 100.63, -0.07
EX20, 00:01:02, 100.67, -0.06
EX20, 00:01:02, 100.63, -0.07
EX20, 00:01:02, 100.62, -0.07
EX20, 00:01:02, 100.63, -0.07
EX20, 00:01:02, 100.65, -0.07
EX20, 00:01:02, 100.62, -0.07
EX20, 00:01:02, 100.62, -0.07
EX20, 00:01:02, 100.62, -0.07
EX20, 00:01:03, 100.62, -0.07
EX20, 00:01:03, 100.62, -0.07
EX20, 00:01:03, 100.63, -0.07
EX20, 00:01:03, 100.65, -0.07
EX20, 00:01:03, 100.67, -0.06
EX20, 00:01:03, 100.68, -0.06
EX20, 00:01:03, 100.72, -0.06
EX20, 00:01:03, 100.75, -0.06
EX20, 00:01:04, 100.79, -0.05
EX20, 00:01:04, 100.82, -0.05
EX20, 00:01:04, 100.86, -0.04
EX20, 00:01:04, 100.90, -0.04
EX20, 00:01:04, 100.94, -0.04
EX20, 00:01:04, 100.99, -0.03

EX20, 00:01:04, 101.05, -0.03
EX20, 00:01:04, 101.11, -0.02
EX20, 00:01:05, 101.15, -0.01
EX20, 00:01:05, 101.21, -0.01
EX20, 00:01:05, 101.28, -0.00
EX20, 00:01:05, 101.34, 0.00
EX20, 00:01:05, 101.41, 0.01
EX20, 00:01:05, 101.49, 0.02
EX20, 00:01:05, 101.56, 0.03
EX20, 00:01:05, 101.64, 0.03
EX20, 00:01:06, 101.73, 0.04
EX20, 00:01:06, 101.82, 0.05
EX20, 00:01:06, 101.91, 0.06
EX20, 00:01:06, 102.00, 0.07
EX20, 00:01:06, 102.10, 0.08
EX20, 00:01:06, 102.21, 0.09
EX20, 00:01:06, 102.31, 0.10
EX20, 00:01:06, 102.42, 0.11
EX20, 00:01:07, 102.53, 0.13
EX20, 00:01:07, 102.65, 0.14
EX20, 00:01:07, 102.77, 0.15
EX20, 00:01:07, 102.90, 0.16
EX20, 00:01:07, 103.04, 0.18
EX20, 00:01:07, 103.16, 0.19
EX20, 00:01:07, 103.30, 0.20
EX20, 00:01:07, 103.44, 0.22
EX20, 00:01:08, 103.59, 0.23
EX20, 00:01:08, 103.73, 0.25
EX20, 00:01:08, 103.88, 0.26
EX20, 00:01:08, 104.04, 0.28
EX20, 00:01:08, 104.20, 0.30
EX20, 00:01:08, 104.36, 0.31
EX20, 00:01:08, 104.52, 0.33
EX20, 00:01:09, 104.68, 0.35

EX20, 00:01:09, 104.84, 0.36
EX20, 00:01:09, 105.01, 0.38
EX20, 00:01:09, 105.19, 0.40
EX20, 00:01:09, 105.36, 0.42
EX20, 00:01:09, 105.54, 0.43
EX20, 00:01:09, 105.73, 0.45
EX20, 00:01:09, 105.92, 0.47
EX20, 00:01:10, 106.11, 0.49
EX20, 00:01:10, 106.30, 0.51
EX20, 00:01:10, 106.50, 0.53
EX20, 00:01:10, 106.70, 0.55
EX20, 00:01:10, 106.90, 0.57
EX20, 00:01:10, 107.11, 0.59
EX20, 00:01:10, 107.32, 0.62
EX20, 00:01:10, 107.54, 0.64
EX20, 00:01:11, 107.75, 0.66
EX20, 00:01:11, 107.98, 0.68
EX20, 00:01:11, 108.20, 0.71
EX20, 00:01:11, 108.43, 0.73
EX20, 00:01:11, 108.66, 0.75
EX20, 00:01:11, 108.90, 0.78
EX20, 00:01:11, 109.13, 0.80
EX20, 00:01:11, 109.38, 0.83
EX20, 00:01:12, 109.62, 0.85
EX20, 00:01:12, 109.87, 0.88
EX20, 00:01:12, 110.12, 0.90
EX20, 00:01:12, 110.37, 0.93
EX20, 00:01:12, 110.62, 0.95
EX20, 00:01:12, 110.88, 0.98
EX20, 00:01:12, 111.14, 1.01
EX20, 00:01:12, 111.39, 1.03
EX20, 00:01:13, 111.65, 1.06
EX20, 00:01:13, 111.93, 1.09
EX20, 00:01:13, 112.18, 1.11

EX20, 00:01:13, 112.44, 1.14
EX20, 00:01:13, 112.70, 1.17
EX20, 00:01:13, 112.97, 1.19
EX20, 00:01:13, 113.24, 1.22
EX20, 00:01:13, 113.51, 1.25
EX20, 00:01:14, 113.78, 1.28
EX20, 00:01:14, 114.05, 1.30
EX20, 00:01:14, 114.32, 1.33
EX20, 00:01:14, 114.60, 1.36
EX20, 00:01:14, 114.87, 1.39
EX20, 00:01:14, 115.15, 1.42
EX20, 00:01:14, 115.42, 1.44
EX20, 00:01:14, 115.70, 1.47
EX20, 00:01:15, 115.97, 1.50
EX20, 00:01:15, 116.25, 1.53
EX20, 00:01:15, 116.53, 1.56
EX20, 00:01:15, 116.81, 1.59
EX20, 00:01:15, 117.09, 1.61
EX20, 00:01:15, 117.37, 1.64
EX20, 00:01:15, 117.66, 1.67
EX20, 00:01:15, 117.94, 1.70
EX20, 00:01:16, 118.22, 1.73
EX20, 00:01:16, 118.51, 1.76
EX20, 00:01:16, 118.80, 1.79
EX20, 00:01:16, 119.09, 1.82
EX20, 00:01:16, 119.38, 1.85
EX20, 00:01:16, 119.67, 1.88
EX20, 00:01:16, 119.96, 1.91
EX20, 00:01:16, 120.25, 1.94
EX20, 00:01:17, 120.54, 1.97
EX20, 00:01:17, 120.82, 2.00
EX20, 00:01:17, 121.11, 2.03
EX20, 00:01:17, 121.40, 2.06
EX20, 00:01:17, 121.69, 2.09

EX20, 00:01:17, 121.96, 2.11
EX20, 00:01:17, 122.25, 2.14
EX20, 00:01:17, 122.54, 2.17
EX20, 00:01:18, 122.83, 2.20
EX20, 00:01:18, 123.13, 2.23
EX20, 00:01:18, 123.42, 2.26
EX20, 00:01:18, 123.71, 2.29
EX20, 00:01:18, 124.00, 2.32
EX20, 00:01:18, 124.29, 2.35
EX20, 00:01:18, 124.58, 2.38
EX20, 00:01:18, 124.88, 2.41
EX20, 00:01:19, 125.17, 2.44
EX20, 00:01:19, 125.47, 2.47
EX20, 00:01:19, 125.76, 2.50
EX20, 00:01:19, 126.05, 2.53
EX20, 00:01:19, 126.34, 2.56
EX20, 00:01:19, 126.64, 2.59
EX20, 00:01:19, 126.93, 2.62
EX20, 00:01:20, 127.21, 2.65
EX20, 00:01:20, 127.51, 2.68
EX20, 00:01:20, 127.81, 2.71
EX20, 00:01:20, 128.10, 2.74
EX20, 00:01:20, 128.38, 2.77
EX20, 00:01:20, 128.68, 2.80
EX20, 00:01:20, 128.96, 2.83
EX20, 00:01:20, 129.26, 2.86
EX20, 00:01:21, 129.55, 2.89
EX20, 00:01:21, 129.83, 2.92
EX20, 00:01:21, 130.13, 2.95
EX20, 00:01:21, 130.41, 2.98
EX20, 00:01:21, 130.70, 3.01
EX20, 00:01:21, 130.99, 3.04
EX20, 00:01:21, 131.27, 3.07
EX20, 00:01:21, 131.56, 3.09

EX20, 00:01:22, 131.83, 3.12
EX20, 00:01:22, 132.12, 3.15
EX20, 00:01:22, 132.41, 3.18
EX20, 00:01:22, 132.69, 3.21
EX20, 00:01:22, 132.98, 3.24
EX20, 00:01:22, 133.27, 3.27
EX20, 00:01:22, 133.55, 3.30
EX20, 00:01:22, 133.84, 3.33
EX20, 00:01:23, 134.13, 3.36
EX20, 00:01:23, 134.25, 3.37
EX20, 00:01:23, 134.19, 3.36
EX20, 00:01:23, 134.17, 3.36
EX20, 00:01:23, 134.19, 3.36
EX20, 00:01:23, 134.23, 3.37
EX20, 00:01:23, 134.24, 3.37
EX20, 00:01:23, 134.25, 3.37
EX20, 00:01:24, 134.26, 3.37
EX20, 00:01:24, 134.26, 3.37
EX20, 00:01:24, 134.25, 3.37
EX20, 00:01:24, 134.27, 3.37
EX20, 00:01:24, 134.26, 3.37
EX20, 00:01:24, 134.26, 3.37
EX20, 00:01:24, 134.27, 3.37
EX20, 00:01:24, 134.27, 3.37
EX20, 00:01:25, 134.27, 3.37
EX20, 00:01:25, 134.27, 3.37
EX20, 00:01:25, 134.26, 3.37
EX20, 00:01:25, 134.27, 3.37
EX20, 00:01:25, 134.27, 3.37
EX20, 00:01:25, 134.27, 3.37
EX20, 00:01:25, 134.27, 3.37
EX20, 00:01:25, 134.27, 3.37
EX20, 00:01:26, 134.26, 3.37
EX20, 00:01:26, 134.26, 3.37

EX20, 00:01:26, 134.27, 3.37
EX20, 00:01:26, 134.26, 3.37
EX20, 00:01:26, 134.26, 3.37
EX20, 00:01:26, 134.26, 3.37
EX20, 00:01:26, 134.26, 3.37
EX20, 00:01:26, 134.26, 3.37
EX20, 00:01:27, 134.26, 3.37
EX20, 00:01:27, 134.26, 3.37
EX20, 00:01:27, 134.26, 3.37
EX20, 00:01:27, 134.26, 3.37
EX20, 00:01:27, 134.26, 3.37
EX20, 00:01:27, 134.26, 3.37
EX20, 00:01:27, 134.27, 3.37
EX20, 00:01:27, 134.26, 3.37
EX20, 00:01:28, 134.27, 3.37
EX20, 00:01:28, 134.26, 3.37
EX20, 00:01:28, 134.27, 3.37
EX20, 00:01:28, 134.26, 3.37
EX20, 00:01:28, 134.26, 3.37
EX20, 00:01:28, 134.27, 3.37
EX20, 00:01:28, 134.27, 3.37
EX20, 00:01:28, 134.27, 3.37
EX20, 00:01:29, 134.27, 3.37
EX20, 00:01:29, 134.27, 3.37
EX20, 00:01:29, 134.27, 3.37
EX20, 00:01:29, 134.27, 3.37
EX20, 00:01:29, 134.27, 3.37
EX20, 00:01:29, 134.27, 3.37
EX20, 00:01:29, 134.27, 3.37
EX20, 00:01:30, 134.27, 3.37
EX20, 00:01:30, 134.27, 3.37
EX20, 00:01:30, 134.27, 3.37
EX20, 00:01:30, 134.27, 3.37
EX20, 00:01:30, 134.26, 3.37

EX20, 00:01:30, 134.26, 3.37
EX20, 00:01:30, 134.26, 3.37
EX20, 00:01:30, 134.26, 3.37
EX20, 00:01:31, 134.26, 3.37
EX20, 00:01:31, 134.26, 3.37
EX20, 00:01:31, 134.26, 3.37
EX20, 00:01:31, 134.26, 3.37
EX20, 00:01:31, 134.26, 3.37
EX20, 00:01:31, 134.26, 3.37
EX20, 00:01:31, 134.26, 3.37
EX20, 00:01:31, 134.26, 3.37
EX20, 00:01:32, 134.26, 3.37
EX20, 00:01:32, 134.26, 3.37
EX20, 00:01:32, 134.25, 3.37
EX20, 00:01:32, 134.26, 3.37
EX20, 00:01:32, 134.26, 3.37
EX20, 00:01:32, 134.25, 3.37
EX20, 00:01:32, 134.26, 3.37
EX20, 00:01:32, 134.26, 3.37
EX20, 00:01:33, 134.26, 3.37
EX20, 00:01:33, 134.26, 3.37
EX20, 00:01:33, 134.26, 3.37
EX20, 00:01:33, 134.26, 3.37
EX20, 00:01:33, 134.26, 3.37
EX20, 00:01:33, 134.26, 3.37
EX20, 00:01:33, 134.26, 3.37
EX20, 00:01:33, 134.26, 3.37
EX20, 00:01:34, 134.26, 3.37
EX20, 00:01:34, 134.26, 3.37
EX20, 00:01:34, 134.26, 3.37
EX20, 00:01:34, 134.26, 3.37
EX20, 00:01:34, 134.26, 3.37
EX20, 00:01:34, 134.26, 3.37
EX20, 00:01:34, 134.26, 3.37

EX20, 00:01:34, 134.26, 3.37
EX20, 00:01:35, 134.26, 3.37
EX20, 00:01:35, 134.26, 3.37
EX20, 00:01:35, 134.26, 3.37
EX20, 00:01:35, 134.26, 3.37
EX20, 00:01:35, 134.26, 3.37
EX20, 00:01:35, 134.26, 3.37
EX20, 00:01:35, 134.26, 3.37
EX20, 00:01:35, 134.26, 3.37
EX20, 00:01:36, 134.26, 3.37
EX20, 00:01:36, 134.26, 3.37
EX20, 00:01:36, 134.26, 3.37
EX20, 00:01:36, 134.26, 3.37
EX20, 00:01:36, 134.26, 3.37
EX20, 00:01:36, 134.26, 3.37
EX20, 00:01:36, 134.26, 3.37
EX20, 00:01:36, 134.26, 3.37
EX20, 00:01:37, 134.26, 3.37
EX20, 00:01:37, 134.26, 3.37
EX20, 00:01:37, 134.26, 3.37
EX20, 00:01:37, 134.26, 3.37
EX20, 00:01:37, 134.26, 3.37
EX20, 00:01:37, 134.26, 3.37
EX20, 00:01:37, 134.26, 3.37
EX20, 00:01:37, 134.26, 3.37
EX20, 00:01:38, 134.26, 3.37
EX20, 00:01:38, 134.26, 3.37
EX20, 00:01:38, 134.26, 3.37
EX20, 00:01:38, 134.25, 3.37
EX20, 00:01:38, 134.26, 3.37
EX20, 00:01:38, 134.26, 3.37
EX20, 00:01:38, 134.26, 3.37
EX20, 00:01:38, 134.26, 3.37
EX20, 00:01:39, 134.26, 3.37

EX20, 00:01:39, 134.26, 3.37
EX20, 00:01:39, 134.26, 3.37
EX20, 00:01:39, 134.26, 3.37
EX20, 00:01:39, 134.26, 3.37
EX20, 00:01:39, 134.26, 3.37
EX20, 00:01:39, 134.25, 3.37
EX20, 00:01:40, 134.26, 3.37
EX20, 00:01:40, 134.26, 3.37
EX20, 00:01:40, 134.26, 3.37
EX20, 00:01:40, 134.26, 3.37
EX20, 00:01:40, 134.25, 3.37
EX20, 00:01:40, 134.26, 3.37
EX20, 00:01:40, 134.26, 3.37
EX20, 00:01:40, 134.26, 3.37
EX20, 00:01:41, 134.26, 3.37
EX20, 00:01:41, 134.25, 3.37
EX20, 00:01:41, 134.26, 3.37
EX20, 00:01:41, 134.25, 3.37
EX20, 00:01:41, 134.25, 3.37
EX20, 00:01:41, 134.25, 3.37
EX20, 00:01:41, 134.25, 3.37
EX20, 00:01:41, 134.25, 3.37
EX20, 00:01:42, 134.25, 3.37
EX20, 00:01:42, 134.25, 3.37
EX20, 00:01:42, 134.25, 3.37
EX20, 00:01:42, 134.25, 3.37
EX20, 00:01:42, 134.25, 3.37
EX20, 00:01:42, 134.25, 3.37
EX20, 00:01:42, 134.25, 3.37
EX20, 00:01:42, 134.25, 3.37
EX20, 00:01:43, 134.25, 3.37
EX20, 00:01:43, 134.25, 3.37
EX20, 00:01:43, 134.24, 3.37
EX20, 00:01:43, 134.25, 3.37

EX20, 00:01:43, 134.24, 3.37
EX20, 00:01:43, 134.25, 3.37
EX20, 00:01:43, 134.24, 3.37
EX20, 00:01:43, 134.25, 3.37
EX20, 00:01:44, 134.25, 3.37
EX20, 00:01:44, 134.25, 3.37
EX20, 00:01:44, 134.25, 3.37
EX20, 00:01:44, 134.24, 3.37
EX20, 00:01:44, 134.24, 3.37
EX20, 00:01:44, 134.24, 3.37
EX20, 00:01:44, 134.24, 3.37
EX20, 00:01:44, 134.24, 3.37
EX20, 00:01:45, 134.24, 3.37
EX20, 00:01:45, 134.24, 3.37
EX20, 00:01:45, 134.24, 3.37
EX20, 00:01:45, 134.24, 3.37
EX20, 00:01:45, 134.24, 3.37
EX20, 00:01:45, 134.24, 3.37
EX20, 00:01:45, 134.24, 3.37
EX20, 00:01:45, 134.24, 3.37
EX20, 00:01:46, 134.24, 3.37
EX20, 00:01:46, 134.24, 3.37
EX20, 00:01:46, 134.24, 3.37
EX20, 00:01:46, 134.24, 3.37
EX20, 00:01:46, 134.24, 3.37
EX20, 00:01:46, 134.24, 3.37
EX20, 00:01:46, 134.24, 3.37
EX20, 00:01:46, 134.24, 3.37
EX20, 00:01:47, 134.24, 3.37
EX20, 00:01:47, 134.24, 3.37
EX20, 00:01:47, 134.24, 3.37
EX20, 00:01:47, 134.24, 3.37
EX20, 00:01:47, 134.23, 3.37
EX20, 00:01:47, 134.24, 3.37

