# 
{"kP":"1","kD":"0","kI":"0","density":"997","profile":["dive: -10.0, 0.30, 30.00, 300.00"]}

dive: -10.0, 0.30, 30.00, 300.00
EX20, 00:01:07, 0.00, -0.10
EX20, 00:01:07, -9.90, -0.10
EX20, 00:01:07, -9.90, -0.10
EX20, 00:01:07, -9.90, -0.10
EX20, 00:01:07, -9.90, -0.10
EX20, 00:01:07, -9.90, -0.10
EX20, 00:01:07, -9.90, -0.10
EX20, 00:01:07, -9.90, -0.10
EX20, 00:01:08, -9.90, -0.10
EX20, 00:01:08, -9.90, -0.10
EX20, 00:01:08, -9.90, -0.10
EX20, 00:01:08, -9.90, -0.10
EX20, 00:01:08, -9.90, -0.10
EX20, 00:01:08, -9.90, -0.10
EX20, 00:01:08, -9.90, -0.10
EX20, 00:01:08, -9.90, -0.10
EX20, 00:01:09, -9.90, -0.10
EX20, 00:01:09, -9.90, -0.10
EX20, 00:01:09, -9.90, -0.10
EX20, 00:01:09, -9.90, -0.10
EX20, 00:01:09, -9.90, -0.10
EX20, 00:01:09, -9.90, -0.10
EX20, 00:01:09, -9.90, -0.10
EX20, 00:01:09, -9.90, -0.10
EX20, 00:01:10, -9.90, -0.10
EX20, 00:01:10, -9.90, -0.10
EX20, 00:01:10, -9.90, -0.10
EX20, 00:01:10, -9.90, -0.10
EX20, 00:01:10, -9.90, -0.10
EX20, 00:01:10, -9.90, -0.10
EX20, 00:01:10, -9.90, -0.10
EX20, 00:01:10, -9.90, -0.10
EX20, 00:01:11, -9.90, -0.10
EX20, 00:01:11, -9.90, -0.10

EX20, 00:01:11, -9.90, -0.10
EX20, 00:01:11, -9.90, -0.10
EX20, 00:01:11, -9.90, -0.10
EX20, 00:01:11, -9.90, -0.10
EX20, 00:01:11, -9.90, -0.10
EX20, 00:01:12, -9.90, -0.10
EX20, 00:01:12, -9.90, -0.10
EX20, 00:01:12, -9.90, -0.10
EX20, 00:01:12, -9.90, -0.10
EX20, 00:01:12, -9.90, -0.10
EX20, 00:01:12, -9.90, -0.10
EX20, 00:01:12, -9.90, -0.10
EX20, 00:01:12, -9.90, -0.10
EX20, 00:01:13, -9.90, -0.10
EX20, 00:01:13, -9.90, -0.10
EX20, 00:01:13, -9.90, -0.10
EX20, 00:01:13, -9.90, -0.10
EX20, 00:01:13, -9.90, -0.10
EX20, 00:01:13, -9.90, -0.10
EX20, 00:01:13, -9.90, -0.10
EX20, 00:01:13, -9.90, -0.10
EX20, 00:01:14, -9.90, -0.10
EX20, 00:01:14, -9.90, -0.10
EX20, 00:01:14, -9.90, -0.10
EX20, 00:01:14, -9.90, -0.10
EX20, 00:01:14, -9.90, -0.10
EX20, 00:01:14, -9.90, -0.10
EX20, 00:01:14, -9.90, -0.10
EX20, 00:01:14, -9.90, -0.10
EX20, 00:01:15, -9.90, -0.10
EX20, 00:01:15, -9.90, -0.10
EX20, 00:01:15, -9.90, -0.10
EX20, 00:01:15, -9.90, -0.10
EX20, 00:01:15, -9.90, -0.10

EX20, 00:01:15, -9.90, -0.10
EX20, 00:01:15, -9.90, -0.10
EX20, 00:01:15, -9.90, -0.10
EX20, 00:01:16, -9.90, -0.10
EX20, 00:01:16, -9.90, -0.10
EX20, 00:01:16, -9.90, -0.10
EX20, 00:01:16, -9.90, -0.10
EX20, 00:01:16, -9.90, -0.10
EX20, 00:01:16, -9.90, -0.10
EX20, 00:01:16, -9.90, -0.10
EX20, 00:01:16, -9.90, -0.10
EX20, 00:01:17, -9.90, -0.10
EX20, 00:01:17, -9.90, -0.10
EX20, 00:01:17, -9.90, -0.10
EX20, 00:01:17, -9.90, -0.10
EX20, 00:01:17, -9.90, -0.10
EX20, 00:01:17, -9.90, -0.10
EX20, 00:01:17, -9.90, -0.10
EX20, 00:01:18, -9.90, -0.10
EX20, 00:01:18, -9.90, -0.10
EX20, 00:01:18, -9.90, -0.10
EX20, 00:01:18, -9.90, -0.10
EX20, 00:01:18, -9.90, -0.10
EX20, 00:01:18, -9.90, -0.10
EX20, 00:01:18, -9.90, -0.10
EX20, 00:01:18, -9.90, -0.10
EX20, 00:01:19, -9.90, -0.10
EX20, 00:01:19, -9.90, -0.10
EX20, 00:01:19, -9.90, -0.10
EX20, 00:01:19, -9.90, -0.10
EX20, 00:01:19, -9.90, -0.10
EX20, 00:01:19, -9.90, -0.10
EX20, 00:01:19, -9.90, -0.10
EX20, 00:01:19, -9.90, -0.10

