# 
{"kP":"10","kD":"0","kI":"0","density":"997","profile":["dive: 1.8, 0.30, 30.00, 120.00","surface"]}

dive: 1.8, 0.30, 30.00, 120.00
EX20, 00:04:28, nan, -0.10
EX20, 00:04:28, nan, -0.10
EX20, 00:04:28, nan, -0.10
EX20, 00:04:28, nan, -0.10
EX20, 00:04:28, nan, -0.10
EX20, 00:04:28, nan, -0.10
EX20, 00:04:28, nan, -0.10
EX20, 00:04:29, nan, -0.10
EX20, 00:04:29, nan, -0.10
EX20, 00:04:29, nan, -0.10
EX20, 00:04:29, nan, -0.10
EX20, 00:04:29, nan, -0.10
EX20, 00:04:29, nan, -0.10
EX20, 00:04:29, nan, -0.10
EX20, 00:04:29, nan, -0.10
EX20, 00:04:30, nan, -0.10
EX20, 00:04:30, nan, -0.10
EX20, 00:04:30, nan, -0.10
EX20, 00:04:31, nan, -0.10
EX20, 00:04:31, nan, -0.10
EX20, 00:04:31, nan, -0.10
EX20, 00:04:31, nan, -0.10
EX20, 00:04:31, nan, -0.10
EX20, 00:04:31, nan, -0.10
EX20, 00:04:31, nan, -0.10
EX20, 00:04:32, nan, -0.10
EX20, 00:04:32, nan, -0.10
EX20, 00:04:32, nan, -0.10
EX20, 00:04:32, nan, -0.09
EX20, 00:04:32, nan, -0.10
EX20, 00:04:32, nan, -0.10
EX20, 00:04:32, nan, -0.10
EX20, 00:04:32, nan, -0.10
EX20, 00:04:33, nan, -0.10
EX20, 00:04:33, nan, -0.10
EX20, 00:04:33, nan, -0.09
EX20, 00:04:33, nan, -0.10

EX20, 00:04:33, nan, -0.10
EX20, 00:04:33, nan, -0.10
EX20, 00:04:33, nan, -0.09
EX20, 00:04:33, nan, -0.10
EX20, 00:04:34, nan, -0.09
EX20, 00:04:34, nan, -0.10
EX20, 00:04:34, nan, -0.10
EX20, 00:04:34, nan, -0.10
EX20, 00:04:34, nan, -0.10
EX20, 00:04:34, nan, -0.10
EX20, 00:04:34, nan, -0.10
EX20, 00:04:34, nan, -0.09
EX20, 00:04:35, nan, -0.10
EX20, 00:04:35, nan, -0.10
EX20, 00:04:35, nan, -0.10
EX20, 00:04:35, nan, -0.10
EX20, 00:04:35, nan, -0.10
EX20, 00:04:35, nan, -0.10
EX20, 00:04:35, nan, -0.10
EX20, 00:04:36, nan, -0.10
EX20, 00:04:36, nan, -0.10
EX20, 00:04:36, nan, -0.10
EX20, 00:04:36, nan, -0.10
EX20, 00:04:36, nan, -0.10
EX20, 00:04:36, nan, -0.09
EX20, 00:04:36, nan, -0.09
EX20, 00:04:36, nan, -0.10
EX20, 00:04:37, nan, -0.10
EX20, 00:04:37, nan, -0.09
EX20, 00:04:37, nan, -0.09
EX20, 00:04:37, nan, -0.10
EX20, 00:04:37, nan, -0.10
EX20, 00:04:37, nan, -0.09
EX20, 00:04:37, nan, -0.09
EX20, 00:04:37, nan, -0.10
EX20, 00:04:38, nan, -0.10
EX20, 00:04:38, nan, -0.09

EX20, 00:04:38, nan, -0.09
EX20, 00:04:38, nan, -0.10
EX20, 00:04:38, nan, -0.10
EX20, 00:04:38, nan, -0.10
EX20, 00:04:38, nan, -0.09
EX20, 00:04:38, nan, -0.10
EX20, 00:04:39, nan, -0.10
EX20, 00:04:39, nan, -0.10
EX20, 00:04:39, nan, -0.10
EX20, 00:04:39, nan, -0.10
EX20, 00:04:39, nan, -0.10
EX20, 00:04:39, nan, -0.10
EX20, 00:04:39, nan, -0.10
EX20, 00:04:39, nan, -0.10
EX20, 00:04:40, nan, -0.10
EX20, 00:04:40, nan, -0.10
EX20, 00:04:40, nan, -0.10
EX20, 00:04:40, nan, -0.10
EX20, 00:04:40, nan, -0.10
EX20, 00:04:40, nan, -0.10
EX20, 00:04:40, nan, -0.10
EX20, 00:04:40, nan, -0.10
EX20, 00:04:41, nan, -0.10
EX20, 00:04:41, nan, -0.10
EX20, 00:04:41, nan, -0.10
EX20, 00:04:41, nan, -0.10
EX20, 00:04:41, nan, -0.10
EX20, 00:04:41, nan, -0.10
EX20, 00:04:41, nan, -0.10
EX20, 00:04:41, nan, -0.10
EX20, 00:04:42, nan, -0.10
EX20, 00:04:42, nan, -0.10
EX20, 00:04:42, nan, -0.10
EX20, 00:04:42, nan, -0.10
EX20, 00:04:42, nan, -0.10
EX20, 00:04:42, nan, -0.10
EX20, 00:04:42, nan, -0.10

EX20, 00:04:42, nan, -0.10
EX20, 00:04:43, nan, -0.10
EX20, 00:04:43, nan, -0.10
EX20, 00:04:43, nan, -0.10
EX20, 00:04:43, nan, -0.09
EX20, 00:04:43, nan, -0.09
EX20, 00:04:43, nan, -0.10
EX20, 00:04:43, nan, -0.10
EX20, 00:04:43, nan, -0.10
EX20, 00:04:44, nan, -0.09
EX20, 00:04:44, nan, -0.09
EX20, 00:04:44, nan, -0.10
EX20, 00:04:44, nan, -0.09
EX20, 00:04:44, nan, -0.09
EX20, 00:04:44, nan, -0.09
EX20, 00:04:44, nan, -0.09
EX20, 00:04:45, nan, -0.09
EX20, 00:04:45, nan, -0.10
EX20, 00:04:45, nan, -0.09
EX20, 00:04:45, nan, -0.09
EX20, 00:04:45, nan, -0.09
EX20, 00:04:45, nan, -0.09
EX20, 00:04:45, nan, -0.09
EX20, 00:04:45, nan, -0.09
EX20, 00:04:46, nan, -0.09
EX20, 00:04:46, nan, -0.09
EX20, 00:04:46, nan, -0.09
EX20, 00:04:46, nan, -0.09
EX20, 00:04:46, nan, -0.09
EX20, 00:04:46, nan, -0.09
EX20, 00:04:46, nan, -0.09
EX20, 00:04:46, nan, -0.10
EX20, 00:04:47, nan, -0.10
EX20, 00:04:47, nan, -0.09
EX20, 00:04:47, nan, -0.10
EX20, 00:04:47, nan, -0.10
EX20, 00:04:47, nan, -0.10

EX20, 00:04:47, nan, -0.10
EX20, 00:04:47, nan, -0.10
EX20, 00:04:47, nan, -0.10
EX20, 00:04:48, nan, -0.10
EX20, 00:04:48, nan, -0.10
EX20, 00:04:48, nan, -0.10
EX20, 00:04:48, nan, -0.10
EX20, 00:04:48, nan, -0.10
EX20, 00:04:48, nan, -0.10
EX20, 00:04:48, nan, -0.10
EX20, 00:04:48, nan, -0.10
EX20, 00:04:49, nan, -0.10
EX20, 00:04:49, nan, -0.10
EX20, 00:04:49, nan, -0.10
EX20, 00:04:49, nan, -0.10
EX20, 00:04:49, nan, -0.10
EX20, 00:04:49, nan, -0.10
EX20, 00:04:49, nan, -0.10
EX20, 00:04:49, nan, -0.10
EX20, 00:04:50, nan, -0.10
EX20, 00:04:50, nan, -0.10
EX20, 00:04:50, nan, -0.10
EX20, 00:04:50, nan, -0.10
EX20, 00:04:50, nan, -0.10
EX20, 00:04:50, nan, -0.10
EX20, 00:04:50, nan, -0.10
EX20, 00:04:50, nan, -0.10
EX20, 00:04:51, nan, -0.10
EX20, 00:04:51, nan, -0.10
EX20, 00:04:51, nan, -0.10
EX20, 00:04:51, nan, -0.10
EX20, 00:04:51, nan, -0.10
EX20, 00:04:51, nan, -0.10
EX20, 00:04:51, nan, -0.10
EX20, 00:04:51, nan, -0.10
EX20, 00:04:52, nan, -0.10
EX20, 00:04:52, nan, -0.10

