# 
{"kP":"0.1","kD":"0","kI":"0","density":"997","profile":["dive: 1, 0.3, 30.00, 60.00"]}

dive: 1, 0.3, 30.00, 60.00
EX20, 00:04:27, -0.00, -0.10
EX20, 00:04:27, 0.00, -0.10
EX20, 00:04:27, 0.00, -0.10
EX20, 00:04:27, 0.00, -0.10
EX20, 00:04:27, 0.00, -0.10
EX20, 00:04:27, 0.00, -0.10
EX20, 00:04:27, 0.00, -0.10
EX20, 00:04:27, 0.00, -0.10
EX20, 00:04:28, 0.00, -0.10
EX20, 00:04:28, 0.00, -0.10
EX20, 00:04:28, 0.00, -0.10
EX20, 00:04:28, 0.00, -0.10
EX20, 00:04:28, 0.00, -0.10
EX20, 00:04:28, 0.00, -0.10
EX20, 00:04:28, 0.00, -0.10
EX20, 00:04:28, 0.00, -0.10
EX20, 00:04:29, 0.00, -0.10
EX20, 00:04:29, 0.00, -0.10
EX20, 00:04:29, 0.00, -0.10
EX20, 00:04:29, 0.00, -0.10
EX20, 00:04:29, 0.00, -0.10
EX20, 00:04:29, 0.00, -0.10
EX20, 00:04:29, 0.00, -0.10
EX20, 00:04:29, 0.00, -0.10
EX20, 00:04:30, 0.00, -0.10
EX20, 00:04:30, 0.00, -0.10
EX20, 00:04:30, 0.00, -0.10
EX20, 00:04:30, 0.00, -0.10
EX20, 00:04:30, 0.00, -0.10
EX20, 00:04:30, 0.00, -0.10
EX20, 00:04:30, 0.00, -0.10
EX20, 00:04:30, 0.00, -0.10
EX20, 00:04:31, 0.00, -0.10
EX20, 00:04:31, 0.00, -0.10
EX20, 00:04:31, 0.00, -0.10

EX20, 00:04:31, 0.00, -0.10
EX20, 00:04:31, 0.00, -0.10
EX20, 00:04:31, 0.00, -0.10
EX20, 00:04:31, 0.00, -0.10
EX20, 00:04:31, 0.00, -0.10
EX20, 00:04:32, 0.00, -0.10
EX20, 00:04:32, 0.00, -0.10
EX20, 00:04:32, 0.00, -0.10
EX20, 00:04:32, 0.00, -0.10
EX20, 00:04:32, 0.00, -0.10
EX20, 00:04:32, 0.00, -0.10
EX20, 00:04:32, 0.00, -0.10
EX20, 00:04:33, 0.00, -0.10
EX20, 00:04:33, 0.00, -0.10
EX20, 00:04:33, 0.00, -0.10
EX20, 00:04:33, 0.00, -0.10
EX20, 00:04:33, 0.00, -0.10
EX20, 00:04:33, 0.00, -0.10
EX20, 00:04:33, 0.00, -0.10
EX20, 00:04:33, 0.00, -0.10
EX20, 00:04:34, 0.00, -0.10
EX20, 00:04:34, 0.00, -0.10
EX20, 00:04:34, 0.00, -0.10
EX20, 00:04:34, 0.00, -0.10
EX20, 00:04:34, 0.00, -0.10
EX20, 00:04:34, 0.00, -0.10
EX20, 00:04:34, 0.00, -0.10
EX20, 00:04:34, 0.00, -0.10
EX20, 00:04:35, 0.00, -0.10
EX20, 00:04:35, 0.00, -0.10
EX20, 00:04:35, 0.00, -0.10
EX20, 00:04:35, 0.00, -0.10
EX20, 00:04:35, 0.00, -0.10
EX20, 00:04:35, 0.00, -0.10
EX20, 00:04:35, 0.00, -0.10

EX20, 00:04:35, 0.00, -0.10
EX20, 00:04:36, 0.00, -0.10
EX20, 00:04:36, 0.00, -0.10
EX20, 00:04:36, 0.00, -0.10
EX20, 00:04:36, 0.00, -0.10
EX20, 00:04:36, 0.00, -0.10
EX20, 00:04:36, 0.00, -0.10
EX20, 00:04:36, 0.00, -0.10
EX20, 00:04:36, 0.00, -0.10
EX20, 00:04:37, 0.00, -0.10
EX20, 00:04:37, 0.00, -0.10
EX20, 00:04:37, 0.00, -0.10
EX20, 00:04:37, 0.00, -0.10
EX20, 00:04:37, 0.00, -0.10
EX20, 00:04:37, 0.00, -0.10
EX20, 00:04:37, 0.00, -0.10
EX20, 00:04:37, 0.00, -0.10
EX20, 00:04:38, 0.00, -0.10
